# Quest Data for Kalimdor - Ashenvale
# Generated: 2025-08-18 16:49:04
# Total quests: 76
# Comment scrape timestamp: 2025-08-18 17:33:29

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=908	Amongst the Ruins	27 Group	21	Horde	2750 XP	Kalimdor	Bring the Fathom Core to Je'neu Sancrea at Zoram'gar Outpost, Ashenvale. Fathom Core	Have you been successful in locating the fathom core? Without it we'll have no idea what the Twilight's Hammer is exactly up to down there.	N/A	N/A	Ok here. When you enter the instance, you first run up and kill some murlocs and crab dudes and you enter the first pool. It is not in this room. When you jump across the walkway, you run farther and find another poolroom full of mermaids. Its not here either. (Btw you should visit every room for names,quests,drops etc.) After you find the entrance to the next area, keep running straight till you find a room with murlocs. There is a named one in there if you'd like to kill it. If you dont then turn right and follow the right wall. Keep running down here till you kill everything and find the next pool room. The fathom core thing is in THIS room. It is in the middle of the water at the bottom. It looks like another one of those big shaman stones. Go to loot it but be warned. There is a named that pops right as you loot it. He drops a quest item that you take and it awards nice stuff. There you go :) Good luck	Can anyone post where they found the Fathom Core? I looked for an hour yesterday and couldn't find it.	Its in a pillar underwater in a big pool before the chamber of lord Kelris	I'm not sure, but I think you need to kill the Baron before the core itself spawns.	Its in a pillar underwater in a big pool before the chamber of lord Kelris
/?quest=1025	An Aggressive Defense	24	18	Alliance	1950 XP | Item: Moist Cornbread 10 | Item: Melon Juice 10	Kalimdor	Kill 1 Den Watcher, 2 Ursas, 10 Totemics, and 12 Warriors of the Foulweald tribe, and then return to Raene Wolfrunner in Astranaar. Foulweald Den Watcher slain Foulweald Ursa slain (2) Foulweald Totemic slain (10) Foulweald Warrior slain (12)	The furbolg were not always our enemy, <name>. But times change, and it is no longer a time of peace here in these dark woods.	Raene Wolfrunner	Raene Wolfrunner	This wasn't difficult as a 26 Mage, the Foulwealds all stick to their little areas like other Furbolgs, except the Pathfinders. They're not part of the quest, but they patrol around between the two camps and used ranged weapons, so watch your back.	I went to the 57,63 coordinate (follow the road east until you get to the Raynewood Retreat on your left side, almost directly across from that is a path heading south into a Foulweald camp).&nbsp Managed to work the perimeter starting to the left and had all my kills except 2 warriors. I used a lot of mana and bandages for my lv25 druid but made it through without dying. I went back up to the road and headed west again until I came to the next path on my left heading down into the valley again where I found a few more warriors to take out.&nbsp From here be sure to head to head directly south to the building you see.&nbsp It is Silverwind Refuge and you'll find a quest.&nbsp The first part of the quest gave me 1950 points and was easy. Oh and there is that darn Mystral Lake everyone talked about when trying to find the Talondeep Path!	The camps of the furbolgs are a ways east along the road, then just off the road to the south. They are north of the Silverwind Refuge. The mobs are actually called Foulweald XXX and range from level 23-25. It was not hard to get the Totemics and Warriors as single pulls and quickly kill them. However, the Ursas tend to hang out among groups of 3-4 other mob types. We found that by working into the camps from the east and being patient some of the Ursa guards would stray a bit, and we could pick them off. Then the Ursa itself would eventually stray to a separate hut, and you could pick them off single as well.	for u guys that have coords 58.62 along road	if you follow the road east from Astranaar, the foulweald camp is just southwest of the first fork that you come to in the road.
/?quest=1044	Answered Questions	30	25	Alliance	3050 XP | Pick: [Lunaris Bow, Moonbeam Wand]	Kalimdor	Return to Thyn'tel Bladeweaver in Darnassus.	N/A	Jonathan Carevin	Thyn'tel Bladeweaver	The creatures known as Worgen physically resemble folkloric werewolves. They were first summoned into the world of Azeroth by a Night Elf known as Valinda Starsong, after discovering an artifact called the Scythe of Elune. With it, she was able to call the Worgen into the world under her command. She used them to fight the corruption of the Burning Legion in Felwood, but, eventually, the Scythe worked on its own, calling more and more Worgen to Azeroth. Valinda lost the Scythe, and it was eventually rediscovered in Duskwood by a Defias henchman known as Jitters. This summoned the Worgen into the area, creating one of the area's major infestations of evil. Jitters also witnessed the butchering of a farming family by creatures known as Dark Riders, who are rumored to live and be controlled by a dark master in the ruined tower of Karazhan. This master is seeking the Scythe, no doubt to call forth an army of the wolfmen. A second influx of Worgen was summoned by the archmage Arugal during the beginnings of the Scourge in Lordaeron. Arugal intended to use the worgen as a tool to fight the Scourge, which proved to be successful, for a time. Ultimately, Arugal's magic was far too weak to control the Worgen fully, causing them to break free and wildly kill his countrymen. Arugal's failure and guilt over the death of his friends led to madness, as he began to think of himself as the 'father' of the Worgen. His most recent experimentation has lead to a town near to Shadowfang Keep to be infected with a curse that causes the human residents of the town to change into deadly Worgen at night. - wikipedia - This is prolly as much as we'll know or ever need to know about the Worgen.&nbsp Kill em & skin em. [url=http://upload.wikimedia.org/wikipedia/en/4/4a/Warcraft_Worgen.jpg]http://upload.wikimedia.org/wikipedia/en/4/4a/Warcraft_Worgen.jpg[/url]	... So in all this the question was never answered: What happened to the Scythe of Elune?	Completed 6 May 2006. I chose the wand as a quest reward, since Enchantrix claimed it DE'ed as Greater Magic Essense or a shard.&nbsp &nbsp Bad data, just got Soul Dust for it.&nbsp Oh well. Only reason I went through it, was the story line.&nbsp I suspect we'll see more about the Scythe of Elune, and origins of the Worgen in coming days. Questions that were left UN-Answered are: What world are the Worgen from?&nbsp Who has the Scythe?&nbsp And what diverted the pristess from going to Arugal's keep, and made her go to Duskwood? Can anyone post the quests that are related to the Scythe?&nbsp There's the Darkshire and Ashenvale ones, and someone mentioned a line of quests in Lakeshire (from who?), so there's probably a few more quest chains out there.	3050 XP at level 35.	[b]not quest related[/b] '[i]Elune[/i]' is mentioned in a book you can read on a bedside table in Booty Bay at 28,77. The book is called [u]The Sentinels and the Long Vigil[/u].
/?quest=6503	Ashenvale Outrunners	24	19	Horde	1950 XP	Kalimdor	Kill 9 Ashenvale Outrunners, then return to Kuray'bin at Splintertree Outpost. Ashenvale Outrunner slain (9)	I await reports of your outrunner kills, <name>.	Kuray'bin	Kuray'bin	Good concentration of them around (70, 76). They mostly stay close to trees. Just listen for the 'stealth' sound and keep hitting tab to select them as soon as they are in range.	The Ashenvale Outrunners are stealth in the coor [b]68,76 & 69,76[/b]	They are simply stealthing around x=68-76 y=68-74. For those of you without cosmos that is basicly the area between the road south of Splintertree Post and The Dor' Danil Barrow Den-a little on eithier side and also, surprisngly, I found Sharptalon hanging around. And the NPC is out in front of the tower at the beginning of the small path into Splintertree. I hope this is clear enough to anyone working on this quest.Please lt me know if it isn't.	these coords are correct ...68,76 to 69,76	I always find mine directly south of Splintertree. Just run in circles around the bases of the trees, the are always under the trees.
/?quest=909	Baron Aquanis	30 Group	21	Horde	3050 XP | Pick: [Outlaw Sabre, Witch's Finger]	Kalimdor	Bring the Strange Water Globe to Je'neu Sancrea at Zoram'gar Outpost, Ashenvale. Strange Water Globe Provided Item: Strange Water Globe	Ah, hello again <name>. I was just reading the waves the sea, much like I always do. What brings you to the outpost?	Strange Water Globe	Je'neu Sancrea	who drops this and where? is this the same as the befouled water globe?	If you don't need either reward item (as was my case) go for the sword which sells for more than twice the finger... Edited, Mon Oct 3 19:22:13 2005	Where can if ind the person who gives this quest im currently a lvl 35 nightelf hunter i need of money so can some1 plz comment where this quest starts	N/A	N/A
/?quest=6922	Baron Aquanis	30 Dungeon	21	Horde	3050 XP | Pick: [Outlaw Sabre, Witch's Finger]	Kalimdor	Bring the Strange Water Globe to Je'neu Sancrea at Zoram'gar Outpost, Ashenvale. Strange Water Globe Provided Item: Strange Water Globe	Ah, hello again <name>. I was just reading the waves the sea, much like I always do. What brings you to the outpost?	N/A	Je'neu Sancrea	Towards the end you will get to the Moonshrine Ruins.&nbsp Underneath the long walkway that leads to Kelris, there is a stone table down in the water.&nbsp This tablet is the fathom core to complete 'Amongst the Ruins', but it also summoned Baron Aquanis when we clicked it.&nbsp Kill Baron Aquanis and he will drop the strange water globe.&nbsp Then just return the globe to Je'neu at Zoram'gar.	Very good rewards for a fairly simple quest. All you have to do is kill Baron and he ALWAYS drops Strange Water Globe.	just got 500 rep with darkspeer, not 350 as indicated. i think yjust increased it with 2.3 as they did the low-level-experience-change. wintersaber-rep-grinding in winterfall already was increased rep, so i asume an general buff of reputation through quests	pringlesouce, we are not all paying on the same server... an why a lvl 60 i just went to BFD with a normal grp and got this its NP...	http://classicdb.ch/?quest=6921 is the quest to get the Fathom Core
/?quest=1010	Bathran's Hair	20	20	Alliance	775 XP	Kalimdor	Bring 5 Bathran's Hair to Orendil Broadleaf in Ashenvale. Bathran's Hair (5)	Have you gathered the Bathran's Hair, <name>? The child's health grows weaker by the hour...	Orendil Broadleaf	Orendil Broadleaf	What you're looking for is Bathran's Hair...so it would probably be found around Bathran's Haunt, right?&nbsp And you'd be right. 1.&nbsp The Bathran's Hair is found in plant bundles on the ground.&nbsp Just look for em, they're around. 2.&nbsp You can find them at 31, 24, around the Ruins of Ordil'Aron. Just slow down and read the quest and then look on your map.&nbsp It may seem like it takes longer to do but will save you time in scrambling around...	You get Batharan Hairs from items called 'Plant Bundles' on the ground. They are small and they are hard to see.	If you are an Herbalist, make sure you have the searchicon up and you'll be able to see where the Plant Bundles are located	Confirmed locations of Bathran's Hair: Ashenvale (29, 23) Ashenvale (30, 23) Ashenvale (31, 23) Ashenvale (31, 22) Ashenvale (31, 21) Ashenvale (32, 21) Ashenvale (32, 22) Ashenvale (32, 23) Ashenvale (33, 21) Ashenvale (33, 22)	This is where I found them: They were all bundles - I have no idea what that other person meant by brown cones (which I imagined to be like fel cones). They are actually like small stacks of hay tied at the top. I'm a gnome and they were almost as tall as me to give you some idea of height! 30-24 (this one was sorta 'buried' in the ground so it was the hardest to see) 31-22 (i got 3 here within 10 minutes, they respawned pretty quickly)right behind the small curved wall. 33-20 (at the base of the slope on the northwest side). I would assume there were more, but, these were the ones I found. This was an annoying quest, but very doable. gl!
/?quest=216	Between a Rock and a Thistlefur	24	21	Horde	1950 XP	Kalimdor	Take down 8 Thistlefur Avengers and 8 Thistlefur Shaman; most are located east of Zoram Strand in Thistlefur Village. Once completed, return to Karang Amakkar at Zoram'gar Outpost, Ashenvale. Thistlefur Avenger slain (8) Thistlefur Shaman slain (8)	Have you taken the fight to the Thistlefur? With a clear path between our bases, our chances of claiming the whole of Ashenvale increase dramatically.	Karang Amakkar	Karang Amakkar	31,44	(30,46)&nbsp &nbsp I Found them there!	Coords for the village are 36,37	Worth doing with Troll Charm (https://classicdb.ch/?quest=6462) and Warsong Supplies (https://classicdb.ch/?quest=6571) for the Logging Rope (https://classicdb.ch/?item=16743).	Quest text is a parody of the line [i]Mr. President, we must not allow... a mine shaft gap![/i] from the movie Dr. Strangelove.
/?quest=1054	Culling the Threat	25	18	Alliance	2000 XP | Item: Restoring Balm 2	Kalimdor	Bring Dal Bloodclaw's Skull to Raene Wolfrunner in Astranaar. Dal Bloodclaw's Skull	The furbolgs' corruption has caused Ashenvale to become a fraction of its former glory.	Raene Wolfrunner	Raene Wolfrunner	For those that want a more exact location: wanders in a small area at 38,35.	You must go thru the large wooden gate but not into the underground hold. I found him at roughly 38,34 but when I disturbed him without killing him he roamed about the general area quite a bit but eventually returned to the fire he was originally huddled around. Be prepared - it seems that you will draw about 3 - 4 adds no matter how careful once you pull him. Hes only a level higher than the others at 25.	OMG... I too had been running around inside the cave for an eternity. It just seemed like the place he'd be. I ran around in cat stealth for a while and counted 28 furbolgs in only about half the cave (so there's probably around 50 of them in there). Finally I read this, and went back outside to hunt amongst the camps... found him outside! Thanks!	Once you follow the directions to get to the camp from the previous poster and pass under/through the wooden gate to the main part of their village, the road forks north and east. To the east, next to an uphill trail, is a small village with about 5 or 6 Furbolg. This is the best place to wait for Dal. While waiting, keep the area clear of Furbolg. I usually wait on the south side of the east fork with my back to the hills, so nothing sneaks up behind me. Dal is easy to spot because he's about a head taller than the other Furbolgs.	20 seconds run north of Ash bridge is a path east/right, easiest to stay on the left after entering.&nbsp You must use this path, no other entrance it seems.&nbsp After about 4 fights you will see the large wooden gates to the village where he is located. Go through the gates, again staying on the left.&nbsp You will see a camp of many on the left.&nbsp He will be in that camp or wandering close by.&nbsp He is larger and different color.&nbsp Cross over to the other side/right side and just wait for him to come out. Watch and be careful others wander also.&nbsp As he starts north after his east move, tag him for a pull all the way to you at the base of the hill.&nbsp He will stay alone if you do it correct. Heal first, then loot him and retreat to hill base again.&nbsp Go out similar to entry.
/?quest=1016	Elemental Bracers	24	20	Alliance	1950 XP	Kalimdor	Collect 5 Intact Elemental Bracers and use the Divining Scroll on them. Afterwards, bring the Divined Scroll to Sentinel Velene Starstrike at the Silverwind Refuge. Divined Scroll Provided Item: Divining Scroll	Since you must destroy the bracers to kill the elementals, it will probably be difficult to find the specific ones that contain the information the divining scroll needs. You can trade bracers with others in order to obtain the ones you need, or perhaps you have the divined paper already?	Sentinel Velene Starstrike	Sentinel Velene Starstrike	The bracers drop off the water elementals in the lake right behind the outpost where you get he quest. The bracers you need are the 'intact' ones. The other bracers are vendor trash. After you have collected 5 intact bracers then you right click on the scroll and left click on the stack of 5 intact bracers. If you dont have a scroll then I would abandon the quest and start all over to get the scroll again. Once you have used the scroll on the bracers you'll need to go back to the quest giver to get the next part of the quest.(and get your exp)	Location: Ashenvale, Mystral Lake 47,70	Head south of this location to the little island in the lake. You'll find the mobs here. You can clearly see the bracers on their arms. In the center of the island is a lvl 27 so watch out. Once you return the (5) bracers you may notice like I did and a few others that the Diving Scroll is not in your possession as it says it should be. If this happens to you, simply abandon the quest and pick it up again. The bracers will still be in your inventory and you can immediately get the scroll and bind them.	You get a scroll when taking this quest, you must then kill the water elementals in and around the lake that you got the quest and collect 5 'Intact Elemental Bracers' then right click the scroll and take back to the npc. I got all 5 with about 8 kills, real easy! :)	The only bracers you need are 'Intact Bracers' as these are the quest items. They are gold. The other ones ie. fractured bracer etc. are all just rubbish. When youve got 5 intact bracer, use the scroll in your inventory from the quest giver. Just right click on the scroll, then hand quest in!
