# Quest Data for Kalimdor - Azshara
# Generated: 2025-08-18 16:47:32
# Total quests: 36
# Comment scrape timestamp: 2025-08-18 17:33:55

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=3382	A Crew Under Fire	57	48	Both	600 XP	Kalimdor	Defend Captain Vanessa Beltis, her crew and the Horizon Scout's passengers against the naga attack. Captain Vanessa Beltis must survive. Protect Captain Vanessa Beltis from the naga attack	Have you met with Andron yet? He rarely leaves Undercity, so I don't think it'd be too hard to find him.	Captain Vanessa Beltis	Captain Vanessa Beltis	WORST quest ever	The quest itself is fairly entertaining to complete but doesn't reward any xp, gold, item or rep whatsoever... so a waste of time unless you're just bored. Just make sure not to bother looking for this quest giver in order to do this. And btw Blizz... I just finished the quest and I'm disappointed - if this is a bug please fix it, 3-4k xp is the least you can do.	STILL unfinished or something. I was doing the Asharite quest when I fell down a gap. I ressed and found this q - thought I would do it for fun and to see what reward I would get. Horribly disappointed I didn't get anything at all - 600XP when at level cap = biggest waste of time ever. And a waste of runecloth ) If it isn't finished, why can't they just pick some random green weapon and have that as reward or something? Or just junk the quest all together until it is done? U can't even loot the naga!	I found these guys by accident while exploring the beaches and the quest does the same thing at lvl58. Very, very easy for a mage - just put up mana shield (frost ward helps too, but isn't necessary because they die so fast) and nova them right at the little gate where the crew is hiding behind. About 5 or so arcane explosions was enough to finish off each wave of the naga, so plenty of time between waves to refuel mana. It's disappointing that you can't loot them because soo many corpses. >_>	'Greetings --- I am Game Master ---. This quest is not fully impelemented and more will be added eventually. Please also bear in mind the quest is repeatable so if you wish to do so you can do it again.'
/?quest=7486	A Hero's Reward	60	60	Both	9950 XP | Pick: [Ocean's Breeze, Tidal Loop]	Kalimdor	Claim your reward from Hydraxis' Coffer.	N/A	Duke Hydraxis	Hydraxis' Coffer	To get this quest go to Baron Hydraxis in Azshara.&nbsp He gives a few quests to kill elementals around the world.&nbsp Return them, and he gives you a quest to kill some trash mobs in MC.&nbsp Once you have done that you need to get (if you haven't already) honoured with the hydraxians, at which point he gives you a quest to return the hands from 4 of the MC bosses.&nbsp Hand these in and he rewards you with this quest. Long process, but worth it for the reward which gives you a nice ring for Onyxia/Ragnaros/Lava Packs, as well as the ability to get Aqual Essences, which are required to summon Ragnaros.	Seems like a good deal of work just to get this ring, but you can summon Domo in MC, so I guess its worth it. The ring sucks though. I mean, sure, its alright and all, but hell, just go out and get a painweaver band, or an ogre king band or something. It's really not worth the time to do this. Still want it? Fine, fine. Here's a walk-through: [b]Get to Ashzara.[/b] If you don't know how to get there, go as far East as you can in Ashenvale. If you made it into the Barrens, you're too South, so go North until you see the Warsong Lumber Camp. There's a bridge in the area, or you can just swim over or whatever. Alliance camp is really close by, follow the road and you'll see it. The flightpath is from the Auberdine harbor to Ashzara. [b] Things about Ashzara [/b] Pretty heavy on the PVP for such a large area. You won't find anyone in the water/on the coast, but you will definately see other members near the flightpath camps or on the mainland. 60s also farm the area for Runecloth and such. No worries if you're not on a PVP server. Giants and such: There are elite Giants, Elementals, and such - wandering around the area. Cliff Stormers are on the mainland, and there are also (Tidewalkers?) in the water, also a giant. Mulgore again: Pretty highly popped area for creatures. [b] /Tloc for the Quest Giver [/b] 79, 74 [b]He gives the quests[/b] [56] Poisoned Water [57] Stormers and Rumblers These quests are mindless, but expensive and annoying for the traveling costs. It requires you to go to [u] Sithilus[/u] and [u]Eastern Plaguelands[/u].&nbsp 'Best if you hearth to IF, and fly to the East. [b] Tip [/b] For the Alliance, if you do UBRS and talk to Awbee, and grab their quest scale, you go back to Haleh (In Winterspring. Use the flightpath from Aszhara to Felwood, and then Winterspring) for a continuation to the quest. The next quest of that chain will teleport you to Eastern Plaguelands. This is great for the quest Poisoned Water, and will save you alot of time, and some silver in flying. [b] Poisoned Water [/b] Ride over to Blackwood Lake (50,50) in Eastern Plaguelands. There are about seven that spawn there at a time, and the respawn time is about five minutes. Once I cleared the lake, I had to wait for a minute or two for the respawn. Use the potion he gave you to clear, and pull the Elementals. The drop rate of their bracers is 100%. I'll update as I go along =) - Sorc./ Bronze from Chrommagus	Hydraxis' Coffer is located under water near Duke Hydraxis. Just dive a bit around the piece of rock he's standing on and you'll find it.	'crappy ring'? Here's a guaranteed fact for you: when ragnaros finally goes down, every tank in the raid that killed him will be wearing the ocean's breeze. These rings are brilliant for MC, and since as things stand now MC=endgame, these are the endgame rings. Sad, but true.	I can't help but think that after this quest line (farming MC and such), you'd expect an epic reward... Killing 4 bosses in MC in a 40 man raid seems pretty epic to. Don't get me wrong, the stats are nice, but I'd expect more for all the effort.
/?quest=5536	A Land Filled with Hatred	47	45	Both	4200 XP	Kalimdor	Kill 6 Haldarr Satyr, 2 Haldarr Tricksters, 2 Haldarr Felsworn and then return to Loh'atu on the border of Ashenvale. Haldarr Satyr slain (6) Haldarr Trickster slain (2) Haldarr Felsworn slain (2)	How goes your battle against the satyr, <class>?Are they as strong as you thought? Stronger? Or perhaps they were nothing to your own might.	Loh'atu	Loh'atu	20,62 Just keep killing just takes seconds for anyone.&nbsp I love these types of quests :/	for the ones who don't /tloc (including myself) Can anyone give a general Direction from the Start of the quest. or a General Location, from the Middle of Azshara. :-) P.S:. No offense.... but i don't think people wanna read 50 posts about Whether you like/dislike or how fast you finished this quest. (Just staing my opinion)	21,61 were the exact coordinates. It didn't take long at all. Just a touch of running around to find the right types of mobs.	The location is 20, 65 .	As of 2.0.8 nothing has changed. When I arrived on the scene there was a full complement of mobs but only 1 Satyr (yes, I checked the whole place). * Killed everything on top of the encampment and 2 Satyrs respawned * Did it again and 3 Satyrs respawned Look, any quest that relies on you killing the same mobs over and over is poorly designed.&nbsp At least the respawn time is fast. This could be an extremely annoying (instead of moderately annoying) quest for a lower level solo, since it would take so long to clear the place to get respawns and there's a decent chance of getting killed by a mob respawning at an inopportune moment. PLEASE do remember to group with anyone and everyone doing this (or similar) quests at the time, even if you can easily solo.&nbsp A group will finish this in no time even with unpredictable spawn percentages, and there's no sense fighting over mobs.
/?quest=3381	A Meeting with the Master	48	45	Both	2200 XP	Kalimdor	Bring 2 Undamaged Hippogryph Feathers to Sanath Lim-yo in Azshara if you wish to speak to his master. Undamaged Hippogryph Feather (2)	I remain here at my master's bidding. I've been given leave to ask any price I wish for transportation up to his tower. For now, I ask for only the two feathers from each traveler so I can continue to make my signature arrows.If you're not careful, I'll up the price. How does half a dozen gold sound?Yeah, I thought as much. Just mind yourself and I'll keep the price where it is.	Sanath Lim-yo	Sanath Lim-yo	It is no longer neccessary to collect feathers in exchange for transportation. Simply talk to the servent (Found east of the Horde camp) and he will send you up into the mountains. From there travel along the path and you will be able to complete the delivery.	When you click on him now, he complains about how once upon a time he was allowed to demand whatever he wanted of visitors, now he's required to just teleport them at once.&nbsp :-)	Sanath Lim-yo is located: 28,50	For Horde the reason to be teleported up is to complete 'Delivery to Archmage Xylem' which is a followup to 'Steaing Knowledge' : https://classicdb.ch/quest=1625 happy hunting :)	Upon completion (which took 26 kills to get the 2 feathers for), he teleports you up to the nearby highlands. There's a tower with some NPCs inside and one outside, but none of them talk to me. What was the point of this? Tower campers: Archmage Xylem (VERY cool 'water wings' on him) Joy Ar'nareth Rayan Dawnrisen Outside: Coral Moongale Also: Nyrill <Xylem's Apprentice>, who has the 'instaquest' to get back down. (no requirements).
/?quest=3381	A Meeting with the Master	48	45	Both	3100 XP	Kalimdor	Bring 2 Undamaged Hippogryph Feathers to Sanath Lim-yo in Azshara if you wish to speak to his master. Undamaged Hippogryph Feather (2)	I remain here at my master's bidding. I've been given leave to ask any price I wish for transportation up to his tower. For now, I ask for only the two feathers from each traveler so I can continue to make my signature arrows.If you're not careful, I'll up the price. How does half a dozen gold sound?Yeah, I thought as much. Just mind yourself and I'll keep the price where it is.	Sanath Lim-yo	Sanath Lim-yo	It is no longer neccessary to collect feathers in exchange for transportation. Simply talk to the servent (Found east of the Horde camp) and he will send you up into the mountains. From there travel along the path and you will be able to complete the delivery.	When you click on him now, he complains about how once upon a time he was allowed to demand whatever he wanted of visitors, now he's required to just teleport them at once.&nbsp :-)	Sanath Lim-yo is located: 28,50	For Horde the reason to be teleported up is to complete 'Delivery to Archmage Xylem' which is a followup to 'Steaing Knowledge' : https://classicdb.ch/quest=1625 happy hunting :)	Upon completion (which took 26 kills to get the 2 feathers for), he teleports you up to the nearby highlands. There's a tower with some NPCs inside and one outside, but none of them talk to me. What was the point of this? Tower campers: Archmage Xylem (VERY cool 'water wings' on him) Joy Ar'nareth Rayan Dawnrisen Outside: Coral Moongale Also: Nyrill <Xylem's Apprentice>, who has the 'instaquest' to get back down. (no requirements).
/?quest=6823	Agent of Hydraxis	60	60	Both	9950 XP	Kalimdor	Earn an Honored faction with the Hydraxian Waterlords, then talk to Duke Hydraxis in Azshara. Hydraxian Waterlords (Honored)	N/A	Duke Hydraxis	Duke Hydraxis	I wouldn't exactly say you get 'hundreds' of rep points from each kill in MC, but rather it's more like tens. I think I receive between 20 and 50 rep points per kill of Molten Giants, Ancient Core Hounds, Lava Surgers, and Firelords. This is with a full 40-man raid group and at lvl 60. Not sure if these latter facts make a difference on reputation received, but those are the numbers I have received. I think domo and the other bosses gave me about 200 or so...possibly as high as 400, but I can't remember. Good luck in there guys :)	Killing elementals will give u&nbsp 5 rep per kill until 5999/6000 friendly now.&nbsp It no longer stops at 3000.&nbsp This is as of 12/14/06.&nbsp This quest is part of a thread for MC to fight a boss	1a Poisoned Water (kill things in EPL) 1b Stormers and Rumblers (kill things in Sithilus) 2 Eye of the Emberseer (kill the fire elemental in UBRS) 3 THe Molten Core (kill some trash) 4 Agent of Hydraxis (get honroed rep) 5 Hands of the Enemy (kill 4 bosses) 6 A Hero's Reward (go get your ring)	It's typically 22 rep points per general kill in MC.AnThe elementals in Silithus give 5 reputation points for this until half into friendly (3000/6000)From there you eighter got to grind the Emberseer (20 points) or get to MC reputation runs	If you have 5999/6000 friendly with Hydraxian Waterlords, you need to kill 1 in MC to get Honored!
/?quest=3564	Andron's Payment to Jediga	52	45	Both	3800 XP	Kalimdor	Deliver Andron's Note to Jediga in Azshara. Andron's Note Provided Item: Andron's Note	Have you met with Andron yet? He rarely leaves Undercity, so I don't think it'd be too hard to find him.	Andron Gant	Jediga	This quest gives 5500 xp as of patch 2.3.	N/A	N/A	N/A	N/A
/?quest=3602	Azsharite	58 Group	45	Both	7750 XP	Kalimdor	Recover twenty Crystallized Azsharite from southern Azshara. You may use the Felhound to assist you in 'sniffing' out the location of cleverly hidden deposits. Return to Loramus when the task is complete. Crystallized Azsharite (20) Provided Item: Felhound Tracker Kit	Evil does not sleep, fool. You will have time for rest when you are finally dead. Now, bring me those crystals.	Loramus Thalipedes	Loramus Thalipedes	easier path to the souther peninsula from the quest giver is to swim directly to 58,73. From there run forward and go left, you'll see an uphill. Good luck with shortcut D	[b]okay heres how to find the azsharite crystals : go to 51,71 and go up the hill, now you are on the cliffs, this is where the cliff breakers (53-55 elite) guys are, these guys %^&* the azsharite ) here u can use the felhound the quest giver gave to u, but he will only go and find crystals if u are pretty close to them so i dont know if hes really useful. okay i hope this helps. Dont go search on the beaches or in the water u wont find anything, these crystals are up on the hill. [/b] linestepper- Neptulon - lvl 58 NE druid	The quest leads to: The Formation of Felbane: https://classicdb.ch/?quest=3621	I laughed myself silly the first time that I read the manual, but this turned out to be a rather easy quest. After you summon the felhound, the crystals can be found all over the place in the area between Lake Mennar and Ravencrest Monument and towards the Southern cliffs. The hounds don't actually find crystals and lead you to them, they just follow you around and get in the way when you're fighting the giants. I did this with a 57 druid friend, so we had no trouble killing the giants and that actually made the quest more entertaining, otherwise it's no different from herb gathering. The only thing I did wrong was get curious talk to Azuregos ... me being a squishie, he one-shot me at lvl 58 ^_^	While the quest is elite, it is easy to solo. The azsharite formations are located on the southern penninsula of the zone, from about 48-72 (x), to 76-92 (y). The only trick is to avoid the elite giants running around, but it isn't too hard.
/?quest=8575	Azuregos's Magical Ledger	60	60	Both	6600 XP	Kalimdor	Additional requirements to obtain this quest: Your reputation with Brood of Nozdormu must be at least Neutral Deliver Azuregos's Magical Ledger to Narain Soothfancy in Tanaris. Magical Ledger Provided Item: Magical Ledger	Ooooh! Magical pulsing thingy! For me?	Magical Ledger	Narain Soothfancy	This is part of the Scepter of the Shifting Sands quest line, specifically the Blue Shard. The conversation with Azuregos is very entertaining and highly recommended. http://www.wowwiki.com/Scepter_of_the_Shifting_Sands	my guess is azzy... but i got no idea	He is located at Steamweedle port. Loc is 65,18 Some good info I found here. [npc=11811] to 'Translating the Ledger' [quest=8576] asks for Scrying Goggles, a 500 lb chicken, and a copy of draconic for dummies. The Draconic for dummies comes from Onyxia, and Ragnaros according to Allak. will post more when I find it. Cain <Encore> Cenarius He gives 3 new quests at this point. Stevul, Ex-B.F.F. [quest=8577] Ask Me About My Business [quest=8584] Draconic For Dummies [quest=8597] <Encore> Cenarius Edited, Thu Apr 20 06:26:13 2006	When you are Neutral with Brood of Nozdormu u can go there and talk with azuregos and he gives u this letter, imba dragon >.<	This Quest is part of the Gates of Ahn'Qiraj event questline. Previous: [quest=8555] Next: [quest=8576] If you want to know how to complete it, or want to have a better overview of this questline, [url=https://classicdb.ch/guide=8299/classic-scarab-lord-legendary-mount-scepter-of-the-shifting-sands-guide]check out my guide about it here![/url]
/?quest=3508	Breaking the Ward	58	45	Both	3100 XP	Kalimdor	Wait for Loramus to complete the enlightenment spell.	N/A	Loramus Thalipedes	Loramus Thalipedes	This is a quest in a chain of 23 that runs pretty much all over the map. However, it all starts with the Fallen Hero of the Horde. (Hat tip to Xeir for the initial connectors between chains.) Technically, it's four chain quests that tie into each other: Chain 1: 1. [url=http://classicdb.ch/?quest=2784]Fall From Grace[/url] 2. [url=http://classicdb.ch/?quest=2621]The Disgraced One[/url] 3. [url=http://classicdb.ch/?quest=2622]The Missing Orders[/url] 4. [url=http://classicdb.ch/?quest=2623]The Swamp Talker[/url] Chain 2: 1. [url=http://classicdb.ch/?quest=2783]Petty Squabbles[/url] 2. [url=http://classicdb.ch/?quest=2801]A Tale of Sorrow[/url] 3. [url=http://classicdb.ch/?quest=2681]The Stones That Bind Us [/url] 4. [url=http://classicdb.ch/?quest=2702]Heroes of Old [/url] 5. [url=http://classicdb.ch/?quest=2701]Heroes of Old [/url] Chain 3: 1. [url=http://classicdb.ch/?quest=2721]Kirith [/url] 2. [url=http://classicdb.ch/?quest=2743]The Cover of Darkness [/url] 3. [url=http://classicdb.ch/?quest=2744]The Demon Hunter [/url] 4. [url=http://classicdb.ch/?quest=3141]Loramus [/url] 5. [url=http://classicdb.ch/?quest=3508]Breaking the Ward [/url] 6. [url=http://classicdb.ch/?quest=3509]The Name of the Beast [/url] 7. [url=http://classicdb.ch/?quest=3510]The Name of the Beast [/url] 8. [url=http://classicdb.ch/?quest=3511]The Name of the Beast [/url] 9. [url=http://classicdb.ch/?quest=3602]Azsharite [/url] Chain 4: 1. [url=http://classicdb.ch/?quest=3621]The Formation of Felbane [/url] 2. [url=http://classicdb.ch/?quest=3625]Enchanted Azsharite Fel Weaponry [/url] 3. [url=http://classicdb.ch/?quest=3626]Return to the Blasted Lands [/url] 4. [url=http://classicdb.ch/?quest=3627]Uniting the Shattered Amulet [/url] 5. [url=http://classicdb.ch/?quest=3628]You Are Rakh'likh, Demon [/url] Completing the entire chain gives you the following: 103,685XP at appropriate level Shard of Afrasa Enchanted Azsharite Felbane (Dagger, Sword or Staff) Necklace of Sanctuary Demon's Blood Demon Hide Sack	Please read my comments under the quest 'The Disgraced One' quest for complete quest line.	At 60 I got about 6g for talking to him and completing from finding him to completing this part of the chain, inclusive.	This q line is not long. It just looks long, but a lot of the qs are just listening bla bla bla.&nbsp First 5 (the first you get from the fallen hero) done in 20 min (alone). Now heading over to ashara to see what�s up there with Loramus.	N/A
