# Quest Data for Kalimdor - Darkshore
# Generated: 2025-08-18 16:47:11
# Total quests: 73
# Comment scrape timestamp: 2025-08-18 17:34:46

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=986	A Lost Master	20	10	Both	1550 XP	Kalimdor	Find 5 Fine Moonstalker Pelts and return them to Terenthis in Auberdine. Fine Moonstalker Pelt (5)	I can't in good conscience permit you to seek Volcor until I've crafted that cloak for you.	Terenthis	Terenthis	This quest can be a menace. Here are a few tips: This quest has an unpredictable drop rate. Typically a bad one. [url=http://classicdb.ch/?npc=2237]Moonstalker Sire[/url]s and [url=http://classicdb.ch/?npc=2071]Moonstalker Matriarch[/url] drop the pelts. It is easier to kill the Sires because they do not have adds. The Sires and Matriarchs can be found at 60,12 and 38, 80. If you do this quest at 60,12, pair it with [url=http://classicdb.ch/?quest=951]Mathystra Relics[/url], [url=http://classicdb.ch/?quest=2098]Gyromast's Retrieval[/url], [url=http://classicdb.ch/?quest=2078]Gyromast's Revenge[/url], Tower of Althalaxx ([url=http://classicdb.ch/?quest=965]Part 1[/url]) and ([url=http://classicdb.ch/?quest=966]Part 2[/url]). If you do this quest at 38,80, pair it with [url=http://classicdb.ch/?quest=1003]Buzzbox 525[/url], [url=http://classicdb.ch/?quest=948]Onu[/url] (and subsequent quests), and [url=http://classicdb.ch/?quest=729]The Absent-Minded Prospector[/url] (as well as subsequent quests). Also, if you're lucky and do this quest at 38,80 you may run into the rare spawn [url=http://classicdb.ch/?npc=2172]Strider Clutchmother[/url]. Also note: This quest requires level eleven and potentially the completion of [url=http://classicdb.ch/?quest=984]How Big A Threat?[/url] This quest is available to all Alliance races: Draenei, Night Elf, Human, and Gnome all can acquire it.	Look around grove of the ancients, on the east side of the road... make sure it says moonstalker *sire* or *matriarch*, although the only matriarch I found had a cub with her defending her. Anyway, I only had to kill 7 sires to get the 5 pelts.	This has got to be one of the most frustrating quests I have ever done.&nbsp I as well killed about 15 moonstalker sires/matriarchs without finding a single pelt.&nbsp I finally found an area that I got 5 pelts off of 5 kills. For those of you [b]with coordinates:[/b] The kills were at 38,81 38,83 37,82 39,80 and 39,79. For those of you [b]without coordinates:[/b] Follow the road south until you are in the 'Twilight Grove' area.&nbsp On the right, you will see what looks like 2x4's that have been made into a railing of sorts and on the left is a 'street light' and (usually) Grimclaw.&nbsp Follow the path on the right (headed west) until you can't see the main road anymore and start looking for the sires. I would recommend grouping up with a hunter for this quest as they can track beasts and shorten the time wasted on this quest.	Leads to [url=http://classicdb.ch/?quest=993]A Lost Master[/url] (Part 2)	Soloed this as a Lvl 16 Druid. Found 2 Matrarchs with cubs popping at an old temple near the Southern zone line. I could'nt handle the Lvl17 cubs AND the 20 Matriarchs. A single Sire popped every 20 minutes or so. I hung around an hour or so and got 2 pelts. A small group came and camped so, fed up, I left to farm Bear skins. I chanced upon a White PvP Bear a little bit North of there who turned out to be Grimclaw, who figures in the 2nd part of the quest. I found many Sires there, on both sides of the road, and gained the other 3 pelts very quickly. Be cautious of the bears in the area.
/?quest=993	A Lost Master	20	10	Both	775 XP	Kalimdor	Find Volcor in Darkshore and give him the Enchanted Moonstalker Cloak. Enchanted Moonstalker Cloak Provided Item: Enchanted Moonstalker Cloak	N/A	Terenthis	Volcor	set your stone to Auberdine. /wave at the white bear by the road It points toward the cave - you can SEE it if you stand by him and don't have your video settings nerfed. Equip cloak. left click and drag the cloak to your button bar. When you get close enough to the cave to see the guards, hit the cloak button. It turns you to a cat.&nbsp You are stealthed (it doesn't really look like it) so you can run right past them and get into the cave. Talk to the guy.&nbsp You finish the quest.&nbsp Take his next quest, choose escape by stealth. He takes the cloak, uses it, and runs out. You stone back to Aub.&nbsp Done, absolutely zero risk.	Just loved this quest so much I had to do it with my 19 Hunter. Cleared three or four bad guys with no trouble but then I ran into a problem. It seems that the Shamans can heal themselves, or at least the one to the left of the cave entrance. Needless to say, hunters cannot, so I got to make two grave runs this time. Actually it wasn't that far, just two plane changes but I think one of them was in Pittsburgh. The second time I sent my faithful pet into the scrimmage and ran into the cave. One hairy guy followed and we whacked at each other for awhile. Then two more came, followed by three more, followed by a brass band, the Pittsburgh Steelers team and the entire population of Tucson. It seems to me that once you achieve your objective - getting into the cave - the bad guys have lost. Killing the player at that point is just mean. Maybe the Spirit Healer in the North graveyard is lonely?	You can find Volcor sitting in a cave called 'Blackwood Den', which is south of the Grove of the Ancients along the mountian ridge (44,85). When you speak with him, you have a choice of how to escape the cave - escape by force, or by steath. If you're a rogue or similar character that can stealth, then the stealth method would be your best bet. As a hunter that option wasn't available to me, so I chose to 'escape by force'. Luckily, I had cleared out all the surrounding mobs before going in, so there weren't a ton of bad guys to kill. Even with the path clear, approximately 5 owlkins (or whatever they are) appeared anyway and attacked us. Volcor may walk slow, but he does fight along side you, so we were able to dispatch everyone. At most we had two monsters on us at one time. Once you get to the road, the escort quest is done and you can turn it in back at Auberdine.	From Grimclaw, head up to the edge of the mountains, skirting around the Blackwood mobs. The cave is slightly back to the north. You may have to pull/kill 1 or 2 to skirt into the cave. Talk to Volcor, and CHOOSE ESCAPE BY STEALTH! He will put on the cloak, & disappear. You can just run back out the same way, or - even easier - use your hearthstone, if it is attuned to Auberdine inn. If you choose to fight - like I did the first time - be aware that Volcor will walk RIGHT INTO/THROUGH THE CAMP. He's wounded already, so heal/buff him if at all possible. The fight will get you some exp & drops, so that isn't so bad.	Location 44, 85 is the cave that volcor is in. I had to clear 5 mobs, was able to pull them one at a time.&nbsp The warrior mobs are easy, the shaman mob (had to kill only 1) heal themselves...a bit more hassle. Then, walk into cave, talk to Volcor.&nbsp I selected 'stealth' out...he takes cloak and makes his own way out...and I just walk out back to town. Solo with 21 Drood :) Thanks to previous posts for useful tips.
/?quest=4812	As Water Cascades	14	12	Alliance	490 XP	Kalimdor	Fill the Empty Water Tube at the Auberdine moonwell, and then investigate the red crystal along Darkshore's eastern mountain wall. Moonwell Water Tube Provided Item: Empty Water Tube	The crystal looks very alien against the wooded scenery of Darkshore. You think you hear a very slight humming coming from deep within it.	Sentinel Glynda Nal'Shea	Mysterious Red Crystal	This quest is easy... The moonwell is RIGHT next to the person who gives you this quest. 37,43 if you REALLY need the co-ordinates. The next bit is so easy that theres no need to even bother using co-ordinates or whatever. You should [b]KNOW[/b] where the damn crystal is cause you just seen it from the previous quest. It's THE SAME CRYSTAL AS BEFORE!:S 48,49 are the co-ords for the crystal. For those without co-ordinates.. Stand directly under the D in Auberdine, on the map... The crystal is Directly east of that. The only... remotley ... 'difficult' part is cutting through the moonkin to get to it. Even though.. you've already done it once... If you're new at the game you might have your hands full, but if you can pull mobs away from the crowd then you'll be fine. I cant see why anyone needs help on this quest... Fight your way to the crystal, click it to pour the water over it and get the next quest. All that takes is getting back to Auberdine. You need co-ordinates for that too? �.�	Fill up the vial with water from the town moonwell then take it right back to the crystal that you just looked at.	the red crystal: 47,48	37,43 is the correct loc for the moonwell and 47,48 is for the red crystal	to be exact, it is 37.8, 44.0 and it's few meters right next to the questgiver (on the right side)
/?quest=954	Bashal'Aran	12	7	Both	675 XP	Kalimdor	Find the source of the strange blue aura in the ruins of Bashal'Aran.	N/A	Thundris Windweaver	Asterion	try /tloc 44,36	The objective of this quest is located at coordinates 44, 36 (https://classicdb.ch/?npc=3650). Thats only a few yards directly east of the Darkshore graveyard!	Thats it -&nbsp turn left out of Aub start counting with first lamppost and at nine stop look to right should be able to see blue light.&nbsp If not follow little swale in. Then the choice is yours right a short way and your then turn left to climb hill -&nbsp or left and work your way around.... Lots of little 11's and a few 12's...	If you follow the path to the right from just below Auberdine it brings you directly there. Asterion shows up as a dot on the minimap.	Quest starts at Thundris Windweaver (https://classicdb.ch/?npc=3649) - Night Elf NPC in Darkshore at back of the cross shaped building, behind the crafting area.
/?quest=955	Bashal'Aran	12	7	Both	900 XP	Kalimdor	Acquire 8 Grell Earrings for Asterion in Bashal'Aran. Grell Earring (8)	Once I have the earrings, I will cast the spell to search for the whereabouts of the seal that binds me. For centuries I have thought on the freedom destroying the seal would bring to me... Perhaps those centuries have taken a toll upon my mind that I might never recover...	Asterion	Asterion	The earrings drop off both Wild Grells and Vile Sprites, and the drop rate is usually about 25%.&nbsp I've confirmed this myself a few times. If you give up killing Wild Grells because you think they won't drop any, then guess what!&nbsp You won't get any more drops from them. To put it in perspective, while collecting these eight earrings you have almost a 50/50 chance of killing nine in a row without getting a drop [i]at least once[/i]. A random rate of .25 does [i]not[/i] mean that it will drop off every fourth kill.&nbsp It means that a player will succeed in about 32 kills [i]on average[/i].&nbsp If the drop rate is truly random then runs to 50+ kills will occasionally be necessary and there is little need to mention your misfortune here or propose that it happened because you were not in feral form, or because you were playing at night, or because you neglected to sacrifice a chicken to the gods.&nbsp Sometimes it just [i]happens[/i].	It took me only 18 minutes to finish this quest. Easy for rogues Sap, wait for energy to go up, backstab, wait for energy to hit 100, gouge, wait for energy to go up, backstab, sinister strike 3 times and then use a 5-point eviscerate as a ending attack. It [b]IS[/b] true that Vile Sprite drop the Earrings. But so do Wild Grell. If you think Deth'ryll Satyr drop them, you are wrong. The drop rate of earring from Deth'ryll Satyr is [b]0%[/b]. Although both Vile Sprite and Wild Grell drop the Grell Earrings, it would be best if you killed Wild Grell. Wild Grell are the ones who are orange and look similar in body form as Vile Sprites. Sprites are the yellowish green ones with red markings on them. Another way to differ them is to look for their weapon. Wild Grell use swords, while Vile Sprites use green potion like things (guessing the bottle contains poison since they are the ones who poison you). The drop rate of the Wild Grell to me was 50% while Vile Sprite's was about 15%. It's good to kill Vile Sprites too, if you want Linen, Copper, or more exp. To all who want the coordinates for the whole place where they are located, they are from 44,36 to 48,38 or around that area. [b]If you looking for the guy who gives the quest, Asterion, he is at 44,36. He is the only shirtless night elf with green hair kneeling down in a circle of blue in the area. Hard to miss. He is on top of the clift. For all who don't have coordinate addons, just go Northeast. Follow the long road leading North just west from Auberdine. You shouldn't miss it.[/b]	Drop rate around 40% over all Wild Grells and they´re all over the place =P	The earrings only drop off of the Grell the Satyr are for the next leg of the quest. Not sure if the drop item from the Satyr will drop prior to receiving the third leg as I knocked off several of them and didn't see the item.	I have done this quest this morning in 15 minutes, drop rate is 1 of 5 killed mobs. Quest is not bugged. Utahmar
/?quest=956	Bashal'Aran	13	7	Both	900 XP	Kalimdor	Obtain the Ancient Moonstone Seal and bring it to Asterion in Bashal'Aran. Ancient Moonstone Seal	The pillars of this shrine are as the bars of a prison to me, <name>. No strength I still possess might break them, and no magic I wield might destroy them...For a thousand years and more I have stared at them, wondering if at long last I outlived even the stone, would I be free? Or would it be invisible bars that held me then...	Asterion	Asterion	I completed this quest at level 12, and got 900 XP and an 'increase' in my Darnassus reputation.	you actually have to kill the satyrs around Bashal' Aran.&nbsp The above location is actually for the last part of the quest.	The Satyrs are actually straight east of Asterion into the depression. Took me 3 kills to get stone. They spawn about every 3-5 minutes.	Droped for me from one of the Satyrs. The drop rate around 10%	i found him at 46,38 its just 2 lvl 13s by a campfire by broken ruins nothing to worry about its the sunken in part of the ground pretty close to the guy in the blue aura thing
/?quest=957	Bashal'Aran	13	7	Both	675 XP | Pick: [Explorer's Vest, Vagabond Leggings, Elven Wand]	Kalimdor	Destroy the Ancient Moonstone Seal at the ancient flame in Ameth'Aran, then return to Asterion in Bashal'Aran. Destroy the seal at the ancient flame Provided Item: Ancient Moonstone Seal	In truth, <name>, I am afraid... Afraid that your coming--all of this--is merely a figment of a deranged mind. Can you know the torture that this is? I... Please, you must go quickly.	Asterion	Asterion	42,62 no idea why that other one is there..	Read the q description, always! The flame is in Ameth' aran which is south. Leave Auberdine and follow the road south. There is a signpost pointing to Ameth'aran. Walk round the edge of the camp, until you're on the other side, next to the mountains. The flame is in the camp, in a stone gazebo, a little hidden by trees. You should only have to kill 2 or 3 mobs to get to the flame. ALSO. The quest you get from the man standing on the dock by the inn in Auberdine ends here. He asks you to kill his ex girlfriends spirit. Shes usually wandering near the flame.	Asterion misleads you a bit... the flame is not blue in color, but green. In Ameth Aran, look for the standing, pillared structures, with a brazier of green flame inside. It's near the south end of the ruins, on a small hill. Once in front of it, simply 'use' the seal, and it will be destroyed.	For something that's supposed to be 'blue in color', the flame is awfully green. Sea green, at best. Use the picture to find it.	When standing on the flame the coordinates are [url=http://classicdb.ch/?maps=148:424618]42.4, 61.8[/url]. It's worth combining this with the other Ameth'Aran quests: [ul][li][url=http://classicdb.ch/?quest=953]The Fall of Ameth'Aran[/url][/li] [li][url=http://classicdb.ch/?quest=958]Tools of the Highborne[/url][/li] [li][url=http://classicdb.ch/?quest=963]For Love Eternal[/url][/li][/ul]
/?quest=4723	Beached Sea Creature	13	11	Both	460 XP	Kalimdor	Take the Sea Creature Bones to Gwennyth Bly'Leggonde in Auberdine. Sea Creature Bones Provided Item: Sea Creature Bones	Hello again, <name>! Are you here to report on another discovery?	Beached Sea Creature	Gwennyth Bly'Leggonde	You cannot do this quest until you have completed both 'Washed Ashore' quests. You can get this quest by clicking on the hanging guts inside of the creatures corpse. The creature is just north of Auberdine at loc (41,31). the corpse is right on the beach. You cant miss it.	Found this one at: 41, 31 just north of Auberdine. Surrounded by 7 Lvl 13 Murloc Coastrunners.	just walk around it, and keep clicking, you'll get it eventually.	There are 5 Turtles and 4 Sea Creatures not including the 1 turtle underwater and the 1st sea creature ur asked to find south of Auberdine. The 9 I mentioned are extras u can do on the side quest. I did this with my lvl 40 rogue and mount. Start from the top and go way down from the coast. The last 4 are close to one another on little patches of sand/land.	I can stand right on top of the carcass literally and it still says too far away. Is there a trick?
/?quest=4728	Beached Sea Creature	14	12	Both	490 XP	Kalimdor	Take the Sea Creature Bones to Gwennyth Bly'Leggonde in Auberdine. Sea Creature Bones Provided Item: Sea Creature Bones	Greetings once again, <name>! What brings you back to Auberdine? Are you here to report on another discovery, perhaps?	Beached Sea Turtle	Gwennyth Bly'Leggonde	Found this at 36, 70 just south of Auberdine	From Auberdine, follow the shoreline south. You'll run right into it.	This quest is very easy and I allways do it when I hit level 11 as a night elf. The fish is quite large so its very easy to find and you dont need to kill anything	Coords: 36,71	does anyone know where it is?
/?quest=4730	Beached Sea Creature	16	12	Both	575 XP	Kalimdor	Take the Sea Creature Bones to Gwennyth Bly'Leggonde in Auberdine. Sea Creature Bones Provided Item: Sea Creature Bones	Hello again, <name>! Are you here to report on another discovery?	Beached Sea Creature	Gwennyth Bly'Leggonde	There are several quests of a similar nature all along the Darkshore coastline. They require that you do [url=https://classicdb.ch/quest=4681]Washed Ashore[/url] first. [b]This one[/b] starts at 32,80.	This particular Beached Sea Creature can be found at 32.6, 80.7	N/A	N/A	N/A
