# Quest Data for Kalimdor - Darnassus
# Generated: 2025-08-18 16:48:12
# Total quests: 24
# Comment scrape timestamp: 2025-08-18 17:35:06

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5091	A Call to Arms: The Plaguelands!	50	50	Alliance	470 XP	Kalimdor	Seek out Commander Ashlam Valorfist. His base camp is located at Chillwind Camp, north of the Alterac Mountains.	N/A	Herald Moonstalker	Commander Ashlam Valorfist	You can find the boss man at 42,84. Good luck. Flight path is right by him.	Quest start NPC isn't Courier Hammerfall (unless you want to start the quest in Ironforge) the start NPC in Darnassus is Herald Moonstalker	He's a 42,85 in Chillwind Camp, just inside the border of Western Plaguelands.	N/A	N/A
/?quest=7799	A Donation of Mageweave	60	40	Alliance	3300 XP	Kalimdor	Mageweave is running low, and we could use your help to replenish our stocks! By counting on the community as a whole, we would only need a donation of 60 pieces of mageweave cloth from you to enable us to reach our goal. Such generosity would not go unnoticed by Darnassus, I assure you! If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Raedon Duskstriker	Raedon Duskstriker	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	390 Exp and 15 reputation points for a 58 hunter.	17 Reputation for a lvl 60 Human	Try to do this quest as soon as possible, else it's just a waste of good mageweave. Completed at lvl 40, awarded 3900 XP and 150 reputation points.	He won't even let me turn mageweave in, is there a level req on this?
/?quest=7800	A Donation of Runecloth	60	50	Alliance	6600 XP	Kalimdor	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Raedon Duskstriker	Raedon Duskstriker	The quest for enough reputation for another race's mount is very long. This is a link to a mod that lets you see what your reputation numbers are: [url=http://www.curse-gaming.com/mod.php?addid=299]Reputation Tracker[/url] Here is a list of reputation per level of faction: Hated: 36,000 reputation Hostile: 3,000 reputation Unfriendly: 3,000 reputation Neutral: 3,000 reputation Friendly: 6,000 reputation Honored: 12,000 reputation Revered: 21,000 reputation Exalted: 1,000 reputation As a non-night elf, you start out at 100/6,000 Friendly reputation with Darnassus. In order to purchase training to ride a mount, you must be Exalted with Darnassus. You need to gain 38,900 reptutation. When you do the 20 runecloth quest 'Additional Runecloth', you receive 50 reputation per turnin at level 50. That means you need at most 778 stacks of runecloth (less whatever reputation you have gained from quests). You need to do the [url=/quest=7792]Donation of Wool[/url] (60 wool turnin at level 15), [url=/quest=7798]Donation of Silk[/url] (60 silk turnin at level 25), [url=/quest=7799]Donation of Mageweave[/url] (60 mageweave turnin at level 40) and [url=/quest=7800]Donation of Runecloth[/url] (60 runecloth turnin at level 50) before you can get the repeatable quest Additional Runecloth (20 runecloth turnin) at level 50. As of patch 1.9, the 'Additional Runecloth' quest will have its level increased, though they are not raising the minimum level to start the quest. What this means is that level 60 characters will be able to do the 'Additional Runecloth' quest and receive full reputation gains. Previously, level 60 characters were not getting the full 50 reputation for stacks of runecloth. So, it will be easier to raise reputation with allied races at level 60 after patch 1.9. You gain full reputation by completing green or higher quests. Once a quest is grayed out, you will receive less reputuation. The more levels the quest has been gray, the less reputation you will receive. If you want to buy an epic mount, find someone with Honored reputation (10% cost reduction) and Sergeant PvP (10% additional cost reduction) for a total of 800 gold for the epic mount instead of the mere 900 gold that having Honored will give you. 100 gold is 100 gold. : ) Edited, Sat Jan 21 02:42:43 2006	Also note that you cannot receive this quest until you have completed the first 3 he has to offer. A Donation of Wool, A Donation of Silk, and A Donation of Mageweave. After completing these 3, the runecloth quest will become available.	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	All the 'A donation of ...' quests give 350 reputation. The repeatable 'Additional Runecloth' only gives 75 reputation. To get from Revered to Exalted that means 280 stacks of Runecloth. It is easier to start doing the Night Elf starting area quests (Teldrassil + Darkshore) because they are very easy and fast to complete as a high level and still give 150/250/350 rep a piece.	As people have sawowhead:1,id: You have to complete the three other donations, (Wool - Silk - Mageweave) Before you can donate Runecloth. If you have done so, this donation will be aviable at lvl 50. The runecloth donation is repeatable, means that you can continue to donate runecloth. I don't know if you still can donate it, after you are exalted. However, who wanna donate if you are exalted?! The people you have to talk to, to donate this stuff is allways found in a tailor shop. If you ask a guard for direction, they might lead you to one, which have a 'donate guy'
/?quest=7798	A Donation of Silk	60	26	Alliance	1650 XP	Kalimdor	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	N/A	N/A	at lvl 26 when you can first do this quest, you get 2450 xp and 150 reputation.	The quest says 25 to get above, it is actually 26 as posted by Kaellie	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	For Exodar Rep, you'll want to visit with Dugiru (https://classicdb.ch/?npc=20604).	I got 160 something rep for 60 mageweaves, but ive also done the silk and wool Q. And now i cant get the Qs again, so my question is how the &*!@ i get enough rep to buy a mount if i cant get the quests again :S
/?quest=7792	A Donation of Wool	60	12	Alliance	650 XP	Kalimdor	We are currently accepting donations for wool cloth. A donation of sixty pieces of wool cloth will net you full recognition by Darnassus for your generous actions. Our stores are such on wool that we would only need sixty pieces from you total; we should be able to acquire enough from others in the realm to support our drive. If you have the sixty pieces of wool cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Raedon Duskstriker	Raedon Duskstriker	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	I turned in my 60 Wool (and Silk) at level 35 and got full Faction (165, i'm human)Can not get Mageweave or Runecloth yet though.	He's near the Tailor trainers. Name is Raedon Duskstriker at 63,22	Can't find the [b]Quartermaster[/b]? Just find an NPC to point the way to the [b]Tailor trainer[/b] in each of the cities, the [b]Quartermaster[/b] will be nearby. The only exception is the Gnome, who is in Tinkertown, in the room closest to the mailbox.	where's the npc that gives it?
/?quest=7801	Additional Runecloth	60	50	Alliance		Kalimdor	Whenever you are ready to hand in the stack of runecloth, I'll accept it. Runecloth (20)	N/A	Raedon Duskstriker	Raedon Duskstriker	You get 75 rep every turn in	Did the rep gain change for this turn-in? I'm getting 75 per stack, not 50. (Well, 82-83, +10% gain for being human.)	@Lvl60 Donation of Wool (+150 Faction, +165 for Humans) Donation of Silk (+150 Faction, +165 for Humans) Donation of Mageweave (+150 Faction, +165 for Humans) Donation of Runecloth (+150 Faction, +165 for Humans) Additional Runecloth (+50 Faction, +55 for Humans)	429 stacks to go for me to get a tiger.. (23611 rep to exalted)	Only 15k rep now, or about 273 stacks left before tiger :-))
/?quest=3763	Assisting Arch Druid Staghelm	50	47	Alliance	470 XP	Kalimdor	Speak with Arch Druid Fandral Staghelm in Darnassus.	N/A	Innkeeper Firebrew	Arch Druid Fandral Staghelm	This quest is given by innkeepers at each capital city. Thus, in Darnassus, it's Innkeeper Saelienne, conveniently located in Craftsmen's Terrace. Players should be able to get this quest at level 47.	Hes at 34,9 at top of tree-house.	This quest is given by innkeepers at each capital city. Thus, in Darnassus, it's [url=/npc=6735]Innkeeper Saelienne[/url], conveniently located in Craftsmen's Terrace. Players should be able to get this quest at level 47.	N/A	N/A
/?quest=4510	Calm Before the Storm	54	50	Alliance	8150 XP | Pick: [Oblivion Orb, Snarkshaw Spaulders, Eschewal Greaves]	Kalimdor	Bring the Bank Voucher to Idriana in the bank of Darnassus. Bank Voucher Provided Item: Bank Voucher	Elune'adore, <class>. What may I do for you today?	Gracina Spiritmight	Idriana	Disappointing rewards for such a difficult quest chain (mainly the part with the Queen)	Even with the experience this questline has very crappy rewards for such a long quest line!	Exp reward for this quest: 8150 exp This quest has a prereq of: Calm Before the Storm [quest=4508] Fri Jan 21 11:35:05 2005	With the Gates of Ahn'Quirai (how ever it is spelled) patch, is this quest-line continued? Saying: 'The time will come, no doubt, when I'll ask for your assistance against the silithid once more.' and not continuing it when a bug-patch comes live seems too weird to be true... Preferably an answer from someone who has optained the Scepter for the openning quest, as that might help her communication...	I think this is a @$%ty reward for this questline
/?quest=7671	Frostsaber Replacement	1	60	Alliance	Pick: [Reins of the Swift Stormsaber (1.12), Reins of the Swift Frostsaber (1.12), Reins of the Swift Mistsaber (1.12)]	Kalimdor	Reins of the Frostsaber	N/A	N/A	N/A	This quest was introduced in Patch 1.4 (May 5, 2005) when epic mounts with armor were introduced. Beforehand, the epic mounts that required 150 Riding Skill and the normal mounts that required 75 Riding Skill (or, at the time, Tiger Riding) were extremely similar, making them hard to tell apart. The only noticeable difference between these mounts was a slightly different size. With this quest, you could exchange the unarmored epic mount for one of the armored ones. Many people chose not to do this quest mainly because these mounts were considered to have been a special accomplishment. Finding someone with one of the old epic mounts is extremely hard, as not many players were able to make 1000 gold needed to purchase them in time.	In the patch on 4/19, they modified the epic 'very fast' mounts for several races. This is the quest for people who owned the pre 4/19 epic mounts, so they can trade in for the new, cooler looking ones. I suspect you simply speak to the mount vendor, get the quest, then complete it immediately by speaking to them again.	this is the quest that allows you to trade the old > new epic mount	can anyone post a pic of those?	I'm so getting exalted with Darnassus... :( Edited, Fri May 12 03:01:43 2006
/?quest=952	Grove of the Ancients	11	6	Both	875 XP	Kalimdor	Deliver Fandral's message to Onu in the Grove of the Ancients in Darkshore, south of Auberdine. Fandral's Message Provided Item: Fandral's Message	Ah. <class>. How may Onu assist you?	Arch Druid Fandral Staghelm	Onu	I had a bit of trouble finding the Ancient Grove. To get there, run south until you get to the forked river. Cross both bridges and turn left along the river's southern bank. Eventually you will come to a set of ruins. Onu is in the ruined rotunda with two human NPCs.	The big question I always hear is, 'where is the Grove of the Ancients?' People will run south, get to about Ameth Aran, and then turn around, thinking they missed it. KEEP GOING. You have to run past Ameth Aran, over the Windbend River, and there'll be a signpost on your right. The Grove is directly to your left. It's a circle of stone with a giant tree-man shambling around.	Made the 'long' trek from Darkshore to the Grove of the Ancients... Alone, wasn't that bad. At level 11, garnered 875XP with a increase in reputation with Darnassus. As to finding Onu, the Treant is pretty easy to find... When you get near the Grove, there's a trail marker on the right side, with the sign pointing to the left - provided you are travelling south that is. He is inside the stone circle, with several vendors nearby.	Onu is at 43, 76 in Darkshore.	Easy quest to do if you are already done with the Crown of the Earth set, since by that time, you are headed over to Darkshore anyway. Just run down the road a ways south, hand it over to the HUGE tree thing (Onu), and you are done.
