# Quest Data for Kalimdor - Felwood
# Generated: 2025-08-18 16:49:59
# Total quests: 82
# Comment scrape timestamp: 2025-08-18 17:37:50

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5242	A Final Blow	58	48	Both	9300 XP | Pick: [Brantwood Sash, Blight Leather Gloves, Gearforge Girdle]	Kalimdor	Kill Moora and Salia, and bring Shadow Lord Fel'dan's Head to Greta Mosshoof in Felwood. Moora slain Salia slain Shadow Lord Fel'dan's Head	Without Fel'dan, the Shadow Council will hopefully lose focus and start infighting. They will struggle with one another for control and hoard assets for future plans. That will be an opportune time to devastate them and their demon slaves.	Greta Mosshoof	Greta Mosshoof	I read every comment on here and they were all useless, so for the first time ive written my own. [b]Entrance: You enter Shadow Hold at 35,57 (just above the 'N' of jaedenar on the map)[/b] Its fairly simple from there on. you follow the path, killing everything along the way, until u reach him. Some milestones so u know ur on the right track... [b]1: Circular room[/b] with a hole in the middle and [b]candles round the edge[/b]. [b]2: Pond with ooze's swimming about in it.[/b] [b]3: Succubus room[/b], Rakaih is stood practically at the entrance with 4 mobs around her. [b](u can pull her without agro'ing the others)[/b] The only problem with this room seems to be some agro bug where u get stuck in combat. so bandage/potion to continue fighting. the 'fight' stops after uve killed the 4 channeler mobs. After that u basically go down a spiral passage to the floor below and u reach a large open room with 2/3 mobs and lord Fel'dan and his 2 lovely assitants. how u deal with it is up to u and ur class. As warlock i had a void walker tanking the boss banished the lvl 54 add and killed the lvl 52 myself. not hard at lvl 56. Goodluck	A surprisingly long way down to the bosses and his 2 succubi, past the areas you go through to extinguish the braziers on the previous quest in the chain. I managed the 3 as a level 57 shaman without any real problems. After you kill them the passage leads on to a 59 elite undead that doesn't seem to be part of any quest	Just did this with two shamans, level 57 and 53. It was very easy. Clear all the nearby mobs to prevent adds, then pile on Lord Fel'dan. If you have any spell interrupt abilities, use them as he starts to cast. He didn't seem to have much health. The two succubi only used melee attacks the entire fight, so with some quick healing and focusing on one at a time, they went down as fast as their lord. Another note: they are not at the very back of Shadow Hold. Lord Banehollow, a level 59 elite demon, is at the very back. These three spawn earlier, in front of a two-sided ramp that leads into a larger area. We missed them the first time around because another party doing one leg of the Warlock epic mount quest had swept through earlier and the three mobs had not respawned. We looked around until we found Lord Banehollow, then started backtracking. By the time we came back to the ramp, the three mobs we needed had respawned (along with everything else nearby). Had we known to stay in that room, we could have had an even easier time of it, killing each mob as it spawned, rather than taking all three at once.	it is wonderful to read this 'helping'... people talking about what lvl they did the quest at is not a really great help... if someone has a location instead of claiming how good they are it would be a lot better help, just as this page are made for, thank u very much!	A strange glitch happened when I engaged Fel'dan's party with my 56 mage. I polymorphed Fel'dan and took out his two succubi. However, the polymorph broke early, except that Fel'dan [url=http://img353.imageshack.us/img353/7841/wowscrnshot030808022456tm3.jpg]stayed a sheep[/url]. So out of nowhere I'm having shadowbolts fired at me by this little sheep. It was very odd, and I didn't notice it until I was almost dead.
/?quest=6162	A Husband's Last Battle	51	46	Horde	4900 XP	Kalimdor	Kill Overlord Ror and return his claw to Dreka'Sur at Bloodvenom Post in Felwood. Overlord Ror's Claw	Do you have the beasts head yet, <name>? It will pay for its crimes. I don't care if it's corrupt or just angry for living in such a dismal forest. No furbolg will live for long committing such crimes against my family!	Dreka'Sur	Dreka'Sur	He is in [b]48,94[/b] as a LvL51 and with two LvL50 and 49 guards with him. Easy fight as a hunter, the real reward was the Mithril Deposit just popped after him :) Thanks, Yolcu [Orc-Hunter] of Dunemaul	He is a small grouping of Deadwood creatures at approx 47,93. I'll add a screenshot for all you persons out there. You might also want to do the quest Timbermaw Ally (https://classicdb.ch/?quest=8460) to get a 2fer whil doing this quest.	Ror is located at approximately 47x94	Actually, the 'I solo'd it at this level' thing is really helpful. It lets me know whether or not a quest is achievable at my level. And I'd rather be pretentious than be a jerk )	Ror is found in Deadwood Village, he is with 2 or 3 other lvl 50ish and is relatively easy to take down. I did it alone at lvl 54 mage no problem. Deadwood village is located southwest of Emerald Sanctuary or as you head into Felwood from the south (Ashenvale) it is on your left or west side of the road. NOTE: YOU SHOULD HEAD ALL THE WAY NORTH JUST BEFORE WINTERSPRING TO GET THE TIMBERMAW ALLY QUEST. To get to Ror you will kill the bunch that you need for the timebermaw ally quest, so if you want to be efficient, do both at the same time! It's easy.
/?quest=5202	A Strange Red Key	55	49	Both	5650 XP	Kalimdor	Search through Jaedenar to discover what the Blood Red Key is used for. Blood Red Key Provided Item: Blood Red Key	I begin to wonder if I'll ever escape this cage.It's only a matter of time before they sacrifice me to whatever demons they worship. The monsters!	Blood Red Key	Captured Arko'narin	Watch out the key will go INTO your keyring bag. I thought I picked it up but i could not find it in my bags so I spent the next hour trying to find another. It goes into your Key ring!	This key opens the cage holding the captive Night Elf. Be warned, the Night Elf wants to recover his gear and heads deeper into the complex. Do not solo unless over leveled.	This quest ain't too bad, first you have to find the Blood key which is a random drop from the mobs inside the shadowhold, I found mine from a mob around the Elf's cage. When you find it [b] Right click the key to get the quest [/b] accept it and talk to the elf (spent a while wandering why the cage didn't open while I kept right clicking it). She then says she needs her gear so she goes further in the cave. DO not be fooled even for a 48 this elf kickz azz she can tank the mobs of her level (for a good time but she'll die eventually). My plan was I went ahead (since my agro circle was smaller) and pulled mobs to her, and we dpsed the down one by one. THings went smoothly until you reach&nbsp a open area inside the cave (as in it has a large amount of space) and she sees her gear. Immediatly I pulled the mons to the left and killed them then all the other mobs (not 2 many) when the place was cleared she went to go get her gear which makes her likie 3 times stronger. When she gets it she makes some comment and 3 lvl 55 mobs spawn. Since the place was cleared no other mobs came with the 3 55's so I let her go ahead and tank 2 while I dpsed the other down. Then took the second and we dpsed the third *occasionally take a look at her health to see how she's faring*. After all this she decides to get out of the place, I followed the steps of pulliing ahead as I did in the beginning. When I was about to reach the entrance of the cave pull the 2 guards standing guard of the entrance and killed them. She then goes through a speech of trey and this 53 elite pops out, he hits hard and fast so fight wisely. When he dies the quest will complete and she'll just run off. I attempted this thrice on a 56 druid on a low pop server (not one was around). Hope this was helpful :D.	The quest is not nerfed.&nbsp To start it you don't click on the cage, you click on her inside the case and talk to her.&nbsp This completes the key quest.&nbsp Then she asked you to accept a send quest to escort her.&nbsp If you fail on th escort quest the first time, you can abandon the quest in you quest log and get it from her in the cage again.&nbsp You do escort her down to get her gear and back out and once outside elite Trey's ghost appears and you have to fight him.&nbsp Turn in is at Emerald Santuary and you get the next quest to rescue Trey's remains.	Kill enough Jaedenar and this key should drop. Once it does, enter the underground lair (Shadow Hold?) that is located in the NW corner of the camp. (NW of the corrupted green moonwell in the rear of the camp). Once inside, you'll follow the ramp down and eventually come across Arko'narin in a wooden cage. Talk to her to complete the quest.
/?quest=4261	Ancient Spirit	56	49	Alliance	7300 XP | Pick: [Ethereal Mist Cape, Minor Healing Potion74]	Kalimdor	Escort Arei to safety, then speak with Kayneth Stillwind in Forest Song, in eastern Ashenvale. Help Arei get to Safety	What have you seen in this corrupted land?	Arei	Kayneth Stillwind	Kayneth Stillwind&nbsp Is at [b]85.44[/b], got [b]7300[/b] EXP @ lvl 53	Probably can be a hard one, though Arei makes good tank. It will go north through edge of Irontree Woods to the road. Once on the road 3 Treants attack, after defeating them the quest is complete. His path can be found here: https://classicdb.ch/?npc=9598	I just did this quest on another character, and it now stops when you get to the road near Irontree Woods.	To start: 1. Finish 'Purified!' you will receive 'Flute of the Ancients' NOTE: Ancient Spirit will NOT be in your quest log. 2. Go to Felwood south of Ironwood Trees near ruins. Don't have exact co-ords, but quite easy from Felwood fp. 3. Blow flute and Arei appears. Speak with him and gain this quest. 4. Follow him while he fights everything in the path. He's quite strong. He only travels as far as the path (which takes 3 minutes). Easy!	Only thing to add to the comments above. After you complete the quest take Azshara FP if you have it, much quicker than riding all the way to Forest Song! And still got 7300 xp at 57 :)&nbsp The 3 Toxic horrors still appear at the beginning, btw
/?quest=8469	Beads for Salfa	56	50	Both	575 XP	Kalimdor	The Winterfall are known to carry spirit beads to ward against foul spirits. These beads have clearly failed in their purpose, as the Winterfall themselves are the agents of corruption. Bring to me these spirit beads from fallen Winterfall furbolgs; for every set of five you bring me, you will earn recognition amongst the Timbermaw. Winterfall Spirit Beads (5)	You've certainly earned my trust, <name>, but you may need to continue to earn the trust of my untrusting tribe. There is something you can do to earn that trust.The Winterfall are known to carry spirit beads to ward against foul spirits. These beads have clearly failed in their purpose, as the Winterfall themselves are the agents of corruption. Bring to me these spirit beads from fallen Winterfall furbolgs; for every set of five you bring me, you will earn recognition amongst the Timbermaw.	Salfa	Salfa	These beads are the main method you will use to reputation with the Timbermaw post Honored status when faction is no longer received for killing mundane Winterfell. The High Chief of Winterfell in Winterspring, Chieftan Bloodmaw and Overlord Ror in Felwood will also yield faction once Revered. 25, 15 and 10 respectively. If you plan on the long faction grind to Exalted, save these beads until you are Revered.	As of patch 2.2 this turn in now gives 150 reputation at level 70.	The easiest way to get these beads is to camp the entrance to the Timbermaw Hold (the Winterspring entrance obviously).The runners respawn right there about every 2 minutes. In fact while I was posting this comment they just respawned and killed me >.<	Each turn in yields 50 rep and 575 xp.	where do u turn in this q? the 5 beads...
/?quest=5159	Cleansed Water Returns to Felwood	54	48	Both	2700 XP	Kalimdor	Take the Purified Moon Well Water to Greta Mosshoof in Felwood. Purified Moonwell Water Provided Item: Purified Moonwell Water	Ah, I see you've returned, <name>. Good. Did you find Islen in the Barrens? Or do we have to find another way to accomplish our goals?	Islen Waterseer	Greta Mosshoof	At level 52 I got 2700 XP from completing this quest. There was no reputation adjustment.	51,82 is correct the other set of coords people are listing is for the quest before this one and you will die if you follow them...	The cords are 51,82	https://classicdb.ch/quest=1088	This is follow-up of a quest chain 'Forces of Jaedenar' http://classicdb.ch/?quest=5155
/?quest=4101	Cleansing Felwood	55	48	Alliance	5650 XP	Kalimdor	Bring 15 Blood Amber to Arathandris Silversky in Felwood. Blood Amber (15)	I know Felwood suffers, <name> - I suffer along with it! I must remain steadfast in my conviction; were the knowledge I possess to fall into the wrong hands, it would spell disaster for all of Felwood.Bring to me the blood amber drawn from the slain Warpwood elementals, and I will trust you enough to help me enact a means to fight the corruption.	Arathandris Silversky	Arathandris Silversky	Contrary to the stats, the Warpwood mobs drop one Blood Amber 100% of the time. I think the stats are wrong because it is accounting for people who do not have the quest, in which case this item would not drop for them. At level 52 I sliced through these like butter.	56, 18 for those who use coords	when you finished Quest- Cleansing Felwood, she also gives two quest: 1.Quest- Salve Via Hunting: Required item: [Corrupted Soul Shard] x6 i got them from Deadwood Shaman in Felpaw Village xp: 4200 2.Quest- Salve Via Gathering: Required item:[Fel Creep] x4 got from Herb skill. xp: 4200 Description - you'll also need a [Cenarion Beacon] for your work here. it's a device that allows you to see the taint and corruption of nature that naked eye will miss. -	1. Go cave at 55.17 2. kill all mobs and loot them and my droprate was 100% got 15 of 15 3. Turn in quest 4. Be happy D	At level 51, this got me 5650 XP there was no reputation adjustment.
/?quest=4102	Cleansing Felwood	55	48	Horde	5650 XP	Kalimdor	Bring 15 Blood Amber to Maybess Riverbreeze in Felwood. Blood Amber (15)	I know Felwood suffers, <name> - I suffer along with it! I must remain steadfast in my conviction; were the knowledge I possess to fall into the wrong hands, it would spell disaster for all of Felwood.Bring to me the blood amber drawn from the slain Warpwood elementals, and I will trust you enough to help me enact a means to fight the corruption.	Maybess Riverbreeze	Maybess Riverbreeze	BLUE X is quest giver. RED X is where they can be found. 100% Drop rate for me. [url=http://img85.imageshack.us/img85/9850/xhx8.jpg]http://img85.imageshack.us/img85/9850/xhx8.jpg[/url]	No one posed the cords of the cave, so you can find the entrance at 56,17 Mobs are around 53-55. 100% Drop. Rare mob around the area as well. 56 Elite Dessecus.	Coords for the cave are 55,18 Non-Cosmos Users: Far north of Felwood you'll find Irontree treants. The elementals you need are north of this area, in and around a cave which is on the outcrop of rock overlooking the Irontree area Mobs are 52-54 non elite	So there are two quest givers.&nbsp One for aliance, one for horde.&nbsp Alliance Arathandris Silversky 54,86 South of the Emerald Sanctuary, not far off the road Horde Maybess Riverbreeze 46,83 West of the Emerald Samctuary, not far off the road i am assuming that the info for where to complete the quest above is correct. cave at 55,17	This quest leads to the 'Salve Via ...' quests. http://classicdb.ch/?search=salve+via which allow you to use various methods (tradeskills or killing mobs) to gather corrupted soul shards. You then use these repeatable quests (You get 4200xp the first time only for each method you can use) to make salves which you then can use on plants that spawn in various places of Felwood to get one of the following: -A buff for +70 crit rating +70 spell crit rating and +15 all stats. -3-10 http://classicdb.ch/?item=11952 -3-10 http://classicdb.ch/?item=11951 -15-20 http://classicdb.ch/?item=11950 Plants: http://classicdb.ch/?object=164885 http://classicdb.ch/?object=164886 http://classicdb.ch/?object=164887 http://classicdb.ch/?object=164888 NOTE: If you are trying to gather shards by killing mobs or gathering you must get a lantern from Maybess and keep it in your inventory. Shards will only drop in Felwood and only when you are carrying the lantern.
/?quest=5157	Collection of the Corrupt Water	52	48	Both	3800 XP	Kalimdor	Take the Empty Canteen to the Moon Well in the center of Jaedenar and fill it before returning to Greta Mosshoof in Felwood. Corrupt Moonwell Water Provided Item: Empty Canteen	Once we have the waters from the Moon Well, we will purify it and use it to extinguish the braziers of protection within Shadow Hold. That should allow me ample time to see into the chambers even deeper and discern who actually leads this... cult.I pray the Earthmother is with us.	Greta Mosshoof	Greta Mosshoof	Location: 35, 59	Honestly, I was reading this and it was the last straw..All you have to say is 'I'm a level xx rogue' and immediately we all know you stealthed in got whatever and stealthed out, you don't have to say it! In addition to that, people use these comment boxes for aid in the quest such as, 'kill the mobs on the left, there are few and then you can get X item.' How does saying 'Hey I just stealthed in there, got the chest, stealthed out' help anyone? It doesn't! So stop saying it!	35,60	For Cosmos users it's 35,60. It's not labeled when you get there. You have to right click on the canteen at this green pool and then it 'unlocks' the sample.	it's around the back, you'll see a little pond of green sludge.&nbsp it's not inside that cave
/?quest=4119	Corrupted Night Dragon	55	48	Both	550 XP | Item: Night Dragon's Breath 5	Kalimdor	You have found a sickly, corrupted version of what appears to be a night dragon plant. The fruits that hang from the plant appear rotten and poisonous. It desperately needs some sort of attention if it is to be turned back to normal. Cenarion Plant Salve (4)	N/A	Corrupted Night Dragon	Corrupted Night Dragon	This quest cleanses the Night Dragon plant and turns it into a Cleansed Night Dragon (https://classicdb.ch/?object=164881) from which you can receive Night Dragon's Breath (https://classicdb.ch/?item=11952).	The Night Dragon in the upper area of Felwood is at 50,30 (Cosmos Map) The Night Dragon in the lower area of Felwood is at approx. 40,78 (Cosmos Map) Note: the only Whipper Root I've seen is at approx. 33,60 (Cosmos Map) in the heart of Jaedenar.	N/A	N/A	N/A
