# Quest Data for Kalimdor - Feralas
# Generated: 2025-08-18 16:49:25
# Total quests: 79
# Comment scrape timestamp: 2025-08-18 17:38:48

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=2974	A Grim Discovery	45	38	Horde	3900 XP	Kalimdor	Bring 20 Grimtotem Horns to Krueg Skullsplitter in Camp Mojache. Grimtotem Horn (20)	Take my words seriously, <class>, the Grimtotem clan is evil. If you've found their whereabouts, then it's up to you to return and strike the first blow against their clan... before they can come into our own lands and raze our own villages, or pilfer our lands.	Krueg Skullsplitter	Krueg Skullsplitter	its definately at 68 46 90% drop rate	68,46'ish	67,38. Northwest of Camp Mojache. The horns dropp everytime you kill an Grimtotem. Often 2 in 1 mob	they are at 66,38	Follow the road west of Camp Mojache and go north towards the area where the Sprite darters are.&nbsp The Grimtotem are west of the Darters. Its less than two minutes from the camp
/?quest=2976	A Grim Discovery	45	37	Horde	4850 XP | Pick: [Battlehard Cape, Jademoon Orb]	Kalimdor	Bring the Crate of Grimtotem Horns to Belgrom Rockmaul in Orgrimmar. Crate of Grimtotem Horns Provided Item: Crate of Grimtotem Horns	Be quick, <class>, I have much to complete today.	Krueg Skullsplitter	Belgrom Rockmaul	75,34 Hall of the brave	This part was very easy and I think it was 4800 exp, head back to Org now or later...and turn this in...Valley of Honor...	The guy you take the crate to (belgrom) is at the gate in the valley of honour in Og.	If you finished the first 2 quests in this chain, the time spent traveling to org city is worth the exp.&nbsp When was the last time you had one of these quest to go talk to a NCP and pick up almost 5000 exp?&nbsp You'll find the NCP in the valley of Honor just outside where you can sign up for the AB que.&nbsp	turned in at 75, 34 in Org (hall of the brave)
/?quest=4266	A Hero's Welcome	46	40	Alliance	6050 XP | Pick: [Ceremonial Elven Blade, Sanctimonial Rod]	Kalimdor	Speak with Shandris Feathermoon in Feathermoon Stronghold.	N/A	Ginro Hearthkindle	Shandris Feathermoon	Thott doesn't list the rewards that come with this quest. They are: [url=https://classicdb.ch/item=4448]https://classicdb.ch/item=4448[/url] or [url=https://classicdb.ch/item=9654]https://classicdb.ch/item=9654[/url]	And u don't actually have to escort him out, just wait until he's not groggy any more .. Then it completes!	feralas 30,46	I didnt have to escort the NPC out. He said 'thank you for saving me...' and all that then he said 'Since you have bought me some time I can stealth out from here' and he said that right after I let him out of the pod. Not a hard quest, just a bit hard to find the nest. It starts with 'The Missing Courier' quest.	The quest before where you just poke the guy out of the cocoon and he poofs for 4k exp was nice, but just walking over from one house to another for another 6k and then 200 rep with Alliance is just.... wow.&nbsp The dagger sucked for me, though.&nbsp Allready had THREE daggers on my person that were better (and had better stats/procs, mind you), so I got the staff and sold it for [b]2g 13s[/b].&nbsp I think the dagger was only worth around 60-ish so I didn't pick it. Coincidentially, my -real- reward was the [url=https://classicdb.ch/?i=Scorpashi%20Shoulder%20Pads]Scorpashi Shoulder Pads[/url] that happened to drop from one of the three Zukk'ash Tunnelers I killed around Raschal's cocoon.&nbsp New farming locale, anyone? )
/?quest=2973	A New Cloak's Sheen	45	38	Horde	3900 XP	Kalimdor	Bring 10 Iridescent Sprite Darter Wings to Krueg Skullsplitter in Camp Mojache. Iridescent Sprite Darter Wing (10)	The sprite darters can be dangerous critters when provoked. Be careful when dealing with them, <class>. And be even more careful of any night elves in the area. The pestering fools tend to hold up in the forests also.When you've gotten enough of the wings, let me know, I'll be sure to reward you well!	Krueg Skullsplitter	Krueg Skullsplitter	alot more at 68,48	They are non-aggro and found around 69.49. This is soloable at 40, but the mobs are 42-43. - SJ	These can be found at and around 68,48 in Feralas. Almost perfect drop rate.	They're fairly annoying for casters, as they seem to have high resists to everything but holy (usually a 50-75% resist for non-holy).	at 70,47
/?quest=3842	A Short Incubation	47	38	Alliance	2100 XP	Kalimdor	Bring 2 Elixir of Fortitudes to Quentin in Thousand Needles. Elixir of Fortitude (2)	The longer I stay here, the more tempted I am to partake in these races, <name>. Truly boggling...Have you found the elixirs yet? Once I can tell if the egg is going to be healthy or not, I'll return it to you to hold onto until it's prepared to hatch.Let me know.	Quentin	Quentin	At level 49 I got 2100 XP for this my reputation with Darnassus slightly increased.	After this, is 'The Newest Member of the Family'	where can you get the 2 elixers?	The next quest after this is 'The Newest Member of the Family', found https://classicdb.ch/?quest=3843	ask your favourite alchimist for this.
/?quest=3121	A Strange Request	45	40	Horde	1950 XP	Kalimdor	Take the Shrunken Head to Neeru Fireblade in Orgrimmar. A Shrunken Head Provided Item: A Shrunken Head	Yes?	Witch Doctor Uzer'i	Neeru Fireblade	Did I read this right? ...I think I just gave Neeru Fireblade a little head for some herb.	He's in the Cleft of Shadow in a hut by the mushroom vender near the entrance to the instance.	Neeru located in Orgrimmar at coord's: (49.7, 50.5)	By the Ragefire Chasm entrance (49, 50 as noted above)	Coordinates - [b]49,50[/b] [quote]So what the heck, it's a bit of xp, better than nothing. :) [quote] 1950xp at 49 ...lol.... not bad but might as well while your there poking around the AH...
/?quest=7725	Again With the Zapped Giants	55	45	Both	550 XP	Kalimdor	Use Zorbin's Ultra-Shrinker to zap any kind of giant found in Feralas into a more manageable form. Bring 10 Miniaturization Residues found on the zapped versions of these giants to Zorbin Fandazzle at the docks of the Forgotten Coast, Feralas. Miniaturization Residue (10) Provided Item: Zorbin's Ultra-Shrinker	Ah, the fruits of research and utilization in the form of sweet, sweet residue. Well, that is to say, I don't taste it or anything when I study it.Much.	Zorbin Fandazzle	Zorbin Fandazzle	As of patch 1.9 this quest only gives 25 to Cartel factions each time, down from 75.	1. It is repeatable, but, since both items needed are quest items, you need to accept the quest to do it. Kind of a classic repeatable quest. 2. For those getting attacked by guards in the Goblin cities, while neutral... it's simple... YOU STARTED THE NON-DUEL FIGHT! Whoever starts the fight, gets mobbed by the goblin bruisers. 3. This is the only way to increase your reputation with the goblins of the Steamwheeldle Cartel, as a whole. Otherwise, there is a repeatable for Gadgetzan alone. Only reason to gain reputation with them is to hit Honored, for the 10% discount in their cities.	This quest awards 25 reputation the first time, 5 each other times. Interesting thing to note is this is one of the very few quests that doesn't hurt your Bloodsail reputation. Hence if you wanna have a friendly reputation with both the goblins and the pirates, this is one of the best quest to be done repeatedly.	Confirmed: Both this quest and the Fuel for the Zapper quest are repeatable, but no longer with any XP rewards. Definitely felt like I wasted my time doing them for a second time. The '!' and '?' should be blue after the first turn in.	Just a quick note. The 'zapper' has that 2 hour timer on it. After 2 hours, it's gone. Also important is that if the timer runs out on it, and you want to complete the quest again, you have to abandon the quest. You will also have all of the miniaturization residue destroyed. So if you have 9 out of 10 and the zapper timer runs out, you're back to zero. In my opinion, these repeatable quests aren't worth it.
/?quest=2870	Against Lord Shalzaru	45	40	Alliance	2900 XP	Kalimdor	Eliminate Lord Shalzaru, and then bring the Mysterious Relic he uncovered to Latronicus Moonspear in Feathermoon Stronghold. Mysterious Relic	Bringing down Lord Shalzaru would certainly set their plans back weeks, if not months. On top of that, the relic he uncovered is of definite interest to us.Have you performed the mission given to you, <name>?	Latronicus Moonspear	Latronicus Moonspear	27, 67 in his cove.	Comments in which the poster only writes about how easy it was to kill the NPC are NOT helpful. They are boring, self aggrandizing, and a little sad. It is helpful to post coords or detailed directions to the location for people without Cosmos. It is also helpful to explain what you encountered, but it doesn't help anyone to read over and over again about 'how easy' it was for everyone! Stop bragging and post something useful!	The cave is at 27,67 or south of Ruins of Solarsal.&nbsp There are plenty of nagas, but they are spread out, outside of the cave.&nbsp Inside is a different story. Most of the nagas you encounter are lvl 43-45.&nbsp Be careful of the aggro because these nagas run, they will attract other nagas.&nbsp To get to Shalzaru, from the entrance, go straight until you see a water.&nbsp Hes on the other side. (Make sure to clear out as much of the nagas as possible).&nbsp As for the boss, he wasn't to hard. Shalzaru was orange to me, I was level 44 atm, hes 47.&nbsp Pulled the guard next to him, and then he came after.&nbsp Quickly got rid of his guard and then went on to him. His regular damage for me is 50-55 dmg, considering that I have 3.3k defense.&nbsp He casts frost nova every 4-5 seconds which can deal about 200 damage.&nbsp Dealing with two of them, brought me to about 1/2 life.&nbsp I didn't have to bubble or heal.&nbsp The real hard part is getting out :P cuz the nagas spawn so damn fast.&nbsp Oh well, heres my chance to bubble =D.	He is located in in a cave on the island south of Feathermoon Stronghold at 28,71. He is a level 47 non-elite with two guards.	[pad][div align=center]Don't have Cosmos? Read this.[/div][pad] The Lord Shalzaru is on [b]Isle of Dread[/b], the second island that is located directly south of Feathermoon Stronghold. Simply swim from the Ruins of Solarsal to the island. Continue on a trail until you find a cave entrance. Watch out as many naga are lurking around. If you walk straight into the entrance and don't turn at all, you will soon find two pillars. Walk between these. You should onw be in a room with a pool of water. He is located at the left-most part of this pool. He has 2 guards close to him and several further away. I think he is blue in color rather than the green like other naga. He is level 47 and is simple to beat if you take out his 2 close guards. You may want to set your hearthstone to the stronghold to avoid running through naga afterward. I hope this helps. [b]Level 45 Hunter[/b]
/?quest=2869	Against the Hatecrest	43	40	Alliance	2700 XP	Kalimdor	Bring 10 Hatecrest Naga Scales to Latronicus Moonspear in Feathermoon Stronghold. Hatecrest Naga Scale (10)	<name>, if you're here to verify the task given to you, then excellent - it is ten Hatecrest scales I seek. If you are here for chit-chat, then I am currently unavailable for such trivialities.Know this - we night elves are not warmongers. Our race is dedicated to the preservation of peace and harmony. This does not mean, however, that we will not proactively protect our own interests. This is my duty to General Feathermoon, and to the stronghold.	Latronicus Moonspear	Latronicus Moonspear	In addition to 2700 XP, I also received an increase in my reputation with Darnassus when I completed this quest at level 43.	At 26,62 on the other island Drop rate is about 90% I was 41 and they were 44/45	I had fulfilled the quest requirements and was on my mount to turn the quest in. a random naga attacked me and knocked me off my horse.&nbsp naturally pissed [pally mounts cost so much mana], i proceeded to kick the crap out of her. When i looted her hideous corpse, lo and behold!&nbsp [url=https://classicdb.ch/item=13823]https://classicdb.ch/item=13823[/url] dropped! I sold it for 130G on the AH.	I agree they are much higher % drop rate on south island, but not perhaps 90% Edit: I was lvl 45, so that could have impacted my results	I soloed this at 45 NE Druid (Balance). I had rest exp saved up and so I got 390-475xp per kill. I chose to go after the lvl 41-43 nagas on the small island. Took me 38 kills to get the 10 scales. I tried the gazebo first with 2 drops after 9 kills. Then I moved onto the shoreline by feathermoon stronghold. (33,50) 1 drop in 6 kills. Then I went over to the ruins (28,51). 3 drops in 16 kills. Last I decided to try the southern shoreline (30,57) where I got 4 drops in 7 kills. My strategy: roots, faerie fire, moonfire, re-root, starfire, wrath over and over until dead.
/?quest=3130	Against the Hatecrest	43	40	Alliance	360 XP	Kalimdor	Report to Latronicus Moonspear in Feathermoon Stronghold.	N/A	Shandris Feathermoon	Latronicus Moonspear	360 xp, 25 Darnassus faction at lvl 40	&nbsp Be careful when doing this quest if you rely heavily on magic, because many of these have a tendency to silence you. I'm a level 42 Paladin, and was getting owned by two of them. I was silenced 100% of the time :(	To get this quest you must complete this quest line: https://classicdb.ch/?quest=2866	360 XP and Darnassus Rep +27 for turning left and talking to the dude. Sweet.	Finished This Quest With My Level 47 Human Mage, Received: Experience Gained: 360 Reputation With Darnassus Increased By: 27 Info on Quest: Turn & Speak.
