# Quest Data for Kalimdor - Orgrimmar
# Generated: 2025-08-18 16:47:53
# Total quests: 85
# Comment scrape timestamp: 2025-08-18 17:40:12

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7835	A Donation of Mageweave	60	40	Horde	3300 XP	Kalimdor	Mageweave is running low, and we could use your help to replenish our stocks! By counting on the community as a whole, we would only need a donation of 60 pieces of mageweave cloth from you to enable us to reach our goal. Such generosity would not go unnoticed by the Darkspear Trolls, I assure you! If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Vehena	Vehena	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	They each give 350 rep with the relevant race.	they ask for a donation of 60 pieces of mageweave. For this i recieved at lv 48 150 faction boost with ogrimmar and 3900 xp. it does not appear that the quest is repeatable.	where is the one for orgrimmar faction? i found the one for darkspear troll faction beside the mage trainer.	[quote]they ask for a donation of 60 pieces of mageweave. For this i recieved at lv 48 150 faction boost with ogrimmar and 3900 xp. it does not appear that the quest is repeatable. maybe if you go to different cities you can repeat quest
/?quest=7831	A Donation of Mageweave	60	40	Horde	3300 XP	Kalimdor	Mageweave is running low, and we could use your help to replenish our stocks! By counting on the community as a whole, we would only need a donation of 60 pieces of mageweave cloth from you to enable us to reach our goal. Such generosity would not go unnoticed by Orgrimmar, I assure you! If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Rashona Straglash	Rashona Straglash	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	They each give 350 rep with the relevant race.	Each kind of cloth can only be turned in once, only the Runecloth-Quest is repeatable from Level 50 on.	Complete waste of time. Good for 60 reputation at level 53 (and, honestly, you'll need to be 50+ in all likelihood to comfortably farm mageweave). And you can only turn it in once. If it was worth more or repeatable, it might've been a worthwhile addition with the patch. Oh, and for those are wondering, getting Revered requires 12000 reputation points. Hence why 60 is so silly. Edited, Wed Jun 15 07:08:32 2005	Complete waste of time? I dont think so, Its the pre-req to a Donation of Runecloth, which IS repeatable. Ive been handing in stacks of runecloth now for 3 weeks, and im 77% of the way thro revered with the darkspears. Im gonna get me that raptor mount :) Your looking at a sizeable investment tho, 240 stacks from honored to revered, then 420 stacks to exalted, but its no more money than buying an epic mount. Basically, cloth is the only way to get a cross-faction mount, so I wouldnt say this q was a complete waste of time.
/?quest=7836	A Donation of Runecloth	60	50	Horde	6600 XP	Kalimdor	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Rashona Straglash	Rashona Straglash	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	any idea what you get for completing this? you have to hand in 60 mageweave, 60 silk and 60 wool before you can do this 'quest'. for those that are interested: 60 Mageweave - 1150 EXP 60 silk - 250 EXP 60 Wool - 110 EXP Edited, Wed Jun 8 12:32:40 2005	this is suppose to be a repeatable quest which someone can continue to gain rep with the faction i guess the real repeatable part is the runecloth... sucked -_-	Does this raise faction with Orgrimmar only? Or are the Darkspear Trolls included?	can't get this chick to take anything but wool.
/?quest=7824	A Donation of Runecloth	60	50	Horde	6600 XP	Kalimdor	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Vehena	Vehena	This quest becomes available at lvl 50. So all you poor blood elves and draenei -- you're stuck with your lullaby pansy mounts until then. Enjoy. Fortunately, you now get full reputation for all quests, regardless of your level, so it's possible to grind quests first. I have a lvl 37 blood elf with 5300/21000 now. And no, I will not buy that chicken. They'd have to throw it after me, and I'd still give it to KFC.	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	It seems you need to complete the donation of wool quest http://classicdb.ch/?quest=7820 first to make this quest appear. It's happened to me, because back then i skip the wool quest in Orgrimmar, and now, when i tried to turn the Donation of Runecloth quest, its not available. Tried in different city (Silvermoon City) and it's available. (correct me if i wrong)	Can you repeat this quest over and over once you hit 50?	I went to the NPC at lvl 50 to hand in runecloth and she didn't offer me the quest. This is because I hadn't donated any wool in the past. When I donated some, she offered me the runecloth part. However, I was offered both the silk and mageweave cloth quests without having donated wool. So clearly the wool, silk and mageweave donation quests are PREREQS for this one. With the prices of wool on my server (and every server it seems) this is going to cost alot of cash just to get some nice xp and faction.
/?quest=7834	A Donation of Silk	60	26	Horde	1650 XP	Kalimdor	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	Vehena	Vehena	Both Orc and Troll cloth quartermasters are in Orgrimmar. The Orc cloth quartermaster, Rashona Straglash, is located in the Drag in the tailoring shop, at coords 63, 51. https://classicdb.ch/?npc=14726 The Troll cloth quartermaster, Vehena, is located in the Valley of Spirits where the mage trainers are, at coords 37, 87. https://classicdb.ch/?npc=14727	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	I gained 1650 xp and 150 reputation at Friendly rep and level 46. Got to Honored with the turn-in! :)	N/A	N/A
/?quest=7827	A Donation of Silk	60	26	Horde	1650 XP	Kalimdor	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	Rashona Straglash	Rashona Straglash	Both Orc and Troll cloth quartermasters are in Orgrimmar. The Orc cloth quartermaster, Rashona Straglash, is located in the Drag in the tailoring shop, at coords 63, 51. https://classicdb.ch/?npc=14726 The Troll cloth quartermaster, Vehena, is located in the Valley of Spirits where the mage trainers are, at coords 37, 87. https://classicdb.ch/?npc=14727	Each kind of cloth can only be turned in once, only the Runecloth-Quest is repeatable from Level 50 on.	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	This quest becomes available at lvl 26.	say if i have done this quest in darnassassus, and i can see it is not repeatable in there, but will it be the same for other cities, say Ironforge, will i be able to donate the silk in Darnassassus and IF? or no?
/?quest=7833	A Donation of Wool	60	12	Horde	650 XP	Kalimdor	We are currently accepting donations for wool cloth. A donation of sixty pieces of wool cloth will net you full recognition by the Darkspear Trolls for your generous actions. Our stores are such on wool that we would only need sixty pieces from you total; we should be able to acquire enough from others in the realm to support our drive. If you have the sixty pieces of wool cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Vehena	Vehena	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	The orc one is at the tailor trainer, the troll one is at the mage trainer.	I got 650 xp and 150 rep at level 46 for this quest, at Friendly.	I did this quest for orgimmar at lvl 24 and got 210 xp, and 30 reputation	Got the quest at lvl 12. 650XP and 350 rep. Same for all cities.
/?quest=7826	A Donation of Wool	60	12	Horde	650 XP	Kalimdor	We are currently accepting donations for wool cloth. A donation of sixty pieces of wool cloth will net you full recognition by Orgrimmar for your generous actions. Our stores are such on wool that we would only need sixty pieces from you total; we should be able to acquire enough from others in the realm to support our drive. If you have the sixty pieces of wool cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Rashona Straglash	Rashona Straglash	The orc one is at the tailor trainer, the troll one is at the mage trainer.	Each kind of cloth can only be turned in once, only the Runecloth-Quest is repeatable from Level 50 on.	This can be turned in as low as level 12 for 350 Rep with your chosen faction.	Vehenna can be found in the Valley of Wisdom.	Rewards I got: You gain 110 experience. Your reputation with Darkspear Trolls has very slightly increased.
/?quest=7341	A Fair Trade	60	52	Both	Item: Thorium Headed Arrow 200	Kalimdor	Greetings, <race>. I am Kolark, Bounty Hunter from Thunderbluff. Much of the world I have traveled and much I have seen. My journeys across the South Seas led to the discovery of these wonderous thorium headed arrows. Alas, I have an endless supply of the arrows but have exhausted my supply of shells. Bah, no self respecting Tauren would ever be caught dead using a flimsy bow. The arrows are useless! I will offer a trade: An even exchange of thorium shells for my thorium headed arrows. Deal? Thorium Shells (200)	N/A	Bounty Hunter Kolark	Bounty Hunter Kolark	N/A	N/A	N/A	N/A	N/A
/?quest=2981	A Threat in Feralas	43	38	Both	900 XP	Kalimdor	Belgrom Rockmaul wants you to speak with Rok Orhan in Camp Mojache.	N/A	Belgrom Rockmaul	Rok Orhan	She walks back and forth at the camp. If you can't find her, just go out to the edges of the the camp.	Quest says this is attainable at 38, but Belgrom had no quest for me at 38. I am going to look again at 39.	Was able to get it at 39. Didn't try earlier.	where is Camp Mojache? i am lvl 43 btw. is Camp Mojache in desolace or thousand needles?	Camp Mojache is in Feralas.
/?quest=7832	Additional Runecloth	60	50	Horde		Kalimdor	Whenever you are ready to hand in the stack of runecloth, I'll accept it. Runecloth (20)	N/A	Vehena	Vehena	This information page is for [b][Chartreuse]Darkspear Trolls[/Chartreuse][/b] reputation. Additional Runecloth (20 Runecloth) now yields [b]75[/b] reputation, instead of 50 as it was in the past.	You gain 75 reputation with Ogrimmar for each stack of Runecloth you donate.	Anyone with the Reputation Addon know how much points each stack gives you?	@Lvl60 Donation of Wool [60] (+150 Faction) Donation of Silk [60] (+150 Faction) Donation of Mageweave [60] (+150 Faction) Donation of Runecloth [60] (+150 Faction) Additional Runecloth [20] (+50 Faction) ( Additional Runecloth [60] (+150 Faction) )	I'm about halfway through honored with my Undead character for Orgrimmar, is there any other good ways of gaining rep with Org other than runecloth and the Onyxia quest chain? I want that Black Wolf Mount )
/?quest=7837	Additional Runecloth	60	50	Horde		Kalimdor	Whenever you are ready to hand in the stack of runecloth, I'll accept it. Runecloth (20)	N/A	Rashona Straglash	Rashona Straglash	@Lvl60 Donation of Wool [60] (+150 Faction) Donation of Silk [60] (+150 Faction) Donation of Mageweave [60] (+150 Faction) Donation of Runecloth [60] (+150 Faction) Additional Runecloth [20] (+50 Faction) ( Additional Runecloth [60] (+150 Faction) )	As of the 2.0 patch I got 75 rep and not the 50 that is listed here. Also note you don't get additional experience each time you repeat the quest, just the rep.	That's correct, it's 75 rep per turn in. Turn in a stack and you get 75 rep. Let's say you wanted to get exalted from 0/6000 friendly. You would need exactly 39,000 reputation points (6000 till honored, 12000 till revered, and then 21000 till exalted) If it's 75 rep per stack, or per 20 Runecloth, then 39,000 divided by 75 is 520. [b]You need to turn in this quest 520 times to get from 0/6000 friendly to attain exalted. [/b] Which means, go farm yourself [b]10,400 Runecloth![/b] [i]For humans, of course this is much easier because they get 10% more reputation points than you would regularly. If you're a human you get 82 rep per turn in (82.5 to be exact). So if you wanted to get from 0/6000 friendly to exalted [b]AS A HUMAN... You need to turn in this quest only 472 times[/b] (472.7 if you wanted to be exact). Which = 9454 Runecloth.[/i] simple math, good luck	N/A	N/A
/?quest=1431	Alliance Relations	30	30	Both	600 XP	Kalimdor	Speak to Keldran in Orgrimmar.	N/A	Craven Drok	Keldran	he is located at 22,52 inside of orgrimmar.	The goal of this quest chain is to get you into Desolace - the chain terminates at Ghostwalker post. If you have no plans to go to Desolace, then you might not want to accept this quest chain; however you can do the first step all in Org. The easiest way to do the first part of the quest to find Drok near the instance door to Rage Fire Chasm, accept the quest, and then go straight up the ramp to the upper tier of the room that Drok is located in. When the ramp ends, jog left and take the passage upwards. Once outside, take another left and hug the wall until a path into the Valley of Spirits appears on the right - take the road and the quest NPC will be in a tower on the right near the bridge.	Craven Drok isn't offering me this quest. I'm level 35 so that's not the issue. Is there some prerequisite quest that isn't listed anywhere?	I found Craven Drok inside The Cleft of Shadows and Keldran on a road between Azshara and The Valley of Spirits, just as the poster above said.	ok i did what topdecker said but got a little confused take the road to the valley of spirits, then go towards talon gate, can't miss it he's in a building there BEFORE you get to the gate
/?quest=1432	Alliance Relations	30	30	Both	1200 XP	Kalimdor	Speak to Takata Steelblade in Desolace.	N/A	Keldran	Takata Steelblade	Leads to http://classicdb.ch/?quest=1433	takata's loc is 52,54. he also gives [url=/quest=1434]this[/url] quest Edited, Tue May 31 11:33:01 2005	This is the prequest: [quest=1431]	map anyone pls ?	N/A
/?quest=1433	Alliance Relations	33	30	Horde	270 XP	Kalimdor	Speak to Maurin Bonesplitter in Desolace.	N/A	Takata Steelblade	Maurin Bonesplitter	This quest actually starts in Orgrimmar. You have to speak to Craven Drok in the Cleft of Shadow before you can speak to Takata Steelblade in Ghost Wind Post.	For some reason Maurin wont speak to me despite my having this quest. I am a Blood Elf and my rep is a mix of honored and revered with the cities	I just collected this quest, starting at the aforementioned Craven Drok, and he's sending me to Keldran in Orgrimmar ( https://classicdb.ch/?npc=5640 ). Keldran then sent me to Takata. https://classicdb.ch/?quest=1431 is the first step on this chain.	Turn Around!	N/A
/?quest=1436	Alliance Relations	33	30	Horde	2650 XP | Pick: [Gloves of Kapelan, Swiftrunner Cape]	Kalimdor	Speak to Keldran in Orgrimmar.	N/A	Takata Steelblade	Keldran	This quest starts with Takata Steelblade (52,54) not Maurin as the info states.	Keldran is in the building closest to the west gate of Orgrimmar, at 22,52.	you also need to do the Quest: Befouled by Satyr [url=/quest=1434][/url] before you can get it	Follow-up of http://classicdb.ch/?quest=1435 (The Burning of Spirits)	N/A
/?quest=8913	An Earnest Proposition	60 Dungeon	58	Horde	6600 XP | Item: Feralheart Bracers	Kalimdor	Acquire 15 Silithus Venom Samples and 20 gold and bring them along with a set of Wildheart Bracers to Mokvar in Orgrimmar. Silithus Venom Sample (15) Wildheart Bracers Required Money: 20	Have you obtained the items I require, <name>?	Mokvar	Mokvar	Leads to: Alliance: https://classicdb.ch/?quest=8922 Horde: https://classicdb.ch/?quest=8923	The simplest way to complete this quest is to travel to Silithus and grind on Stonlash Flayers and Rock Stalkers, which can be found all around Silithus, for the Venom Samples (Good drop rate). Then watch the AH for the Wildheart Bindings (I've seen them around 25g). This is an expensive quest so I would suggest to only put in the effort if you aquire a set of the Wildheart Bracers from Stratholme (1%-2% Drop Rate) or if you plan to piece together the set.	It would be part of a set that has a couple epix and you have to do this part first. Check out the feralheart & see if it's worth it for you, personally. If you're in an endgame guild it's probly not.	N/A	N/A
/?quest=8914	An Earnest Proposition	60 Dungeon	58	Horde	6600 XP | Item: Beastmaster's Bindings	Kalimdor	Acquire 15 Silithus Venom Samples and 20 gold and bring them along with a set of Beaststalker's Bindings to Mokvar in Orgrimmar. Silithus Venom Sample (15) Beaststalker's Bindings Required Money: 20	Have you obtained the items I require, <name>?	Mokvar	Mokvar	Leads to: Alliance: https://classicdb.ch/?quest=8922 Horde: https://classicdb.ch/?quest=8923	Rock Stalker and other mobs are located in Silithus. Wrist, what you need to complete quest, you can get in Blackrock Spire and Stratholme.	Is this the start of a chain that changes all of the other set pieces too?	not sure, but I think you get the quests from different NPCs. Does anyone know if it consumes the enchant you have on your bracers? Or does it transfer to the new ones?	The simplest way to complete this quest is to travel to Silithus and grind on Stonlash Flayers and Rock Stalkers, which can be found all around Silithus, for the Venom Samples (Good drop rate). Then watch the AH for the Wildheart Bindings (I've seen them around 25g). This is an expensive quest so I would suggest to only put in the effort if you aquire a set of the Wildheart Bracers from Stratholme (1%-2% Drop Rate) or if you plan to piece together the set.
/?quest=8915	An Earnest Proposition	60 Dungeon	58	Horde	6600 XP | Item: Sorcerer's Bindings	Kalimdor	Acquire 15 Silithus Venom Samples and 20 gold and bring them along with a set of Magister's Bindings to Mokvar in Orgrimmar. Silithus Venom Sample (15) Magister's Bindings Required Money: 20	Have you obtained the items I require, <name>?	Mokvar	Mokvar	Leads to: Alliance: https://classicdb.ch/?quest=8922 Horde: https://classicdb.ch/?quest=8923	do you have to be lvl 60 to start the quests to change the magisters to sorcerer's?	so this is a tier 2 upgrade. It's worth wearing. Since it will be soulbound, can you still turn it in to Thrall for the uprade set piece?	N/A	N/A
