# Quest Data for Kalimdor - Stonetalon Mountains
# Generated: 2025-08-18 16:50:51
# Total quests: 46
# Comment scrape timestamp: 2025-08-18 17:42:17

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1071	A Gnome's Respite	21	17	Alliance	1650 XP	Kalimdor	Kill 10 Venture Co. Loggers, and 10 Venture Co. Deforesters and return to Gaxim Rustfizzle in Stonetalon. Venture Co. Logger slain (10) Venture Co. Deforester slain (10)	How goes the battle on your end, <name>?	Gaxim Rustfizzle	Gaxim Rustfizzle	The Venture Company is at 63, 60 and further north east Loggers are spread out, deforesters are focused inside the logging house. [i][small]Edited, Feb 10th 2007 3:57pm by Waylo[/small][/i]	Every time I do this quest, I forget to pick up the prerequisite [quest=1070]. Since it starts in Astranaar, that's a bit of a trip. Once you do complete 'A Gnome's Respite', two more quests open up: [ul] [li][quest=1075][/li] [li][quest=1072][/li] [/ul] You'll need to do both of those, as well as their respective follow-ups, to continue the quest line. 'A Scroll from Mauren' sends you to Stormwind, while 'An Old Colleague' is in Ironforge, so prepare to do some globetrotting.	Around 64, 56 in Stonetalon Mountains.	If you stray down to the center area of the Logging Mill, you may run into a level 24 Elite named Foreman Rigger https://classicdb.ch/?npc=5931M0z Watch out for him as he hits hard and will net you. He has about 1900 health.	Location 63,55 is correct. Deforesters are more difficult to find. Easy solved with a priest lvl 20. The quest giver is located at 59,67
/?quest=1075	A Scroll from Mauren	21	17	Alliance	825 XP	Kalimdor	Find Collin Mauren in Stormwind.	N/A	Gaxim Rustfizzle	Collin Mauren	you must solve A Gnome's Respite [http://classicdb.ch/?quest=1071] first ,then you can get this quest	43,80	Guess I was lucky. I headed out to Westfall and found my first Dust Devil in about 10 minutes. Unfortunately he only dropped 'Elemental Water'. Took me 20 minutes of killing everything in site before another one popped! I don't know if something I killed forced the pop or not but the second one had the remains! 30 minutes of standing around and killing low level mobs plus travel time. Good thing was I made some decent copper off the (Gnolls?) in the area and was finally able to move on to the next phase of the quest chain.	He can be found at 42,80.	Mauren gives you the task of finding a dustdevil in Westfalls. These are pretty rare only one per area and a pain because they dont drop the quest item you need very often...I had to kill about 10 and which seems ok but the are pretty hard to find... ended up using channel 1 to find them which is useful because the dustdevils are much higher level than all the MOBS in the area. i did get some cool Magic dust that sleeps a target for up to 30 seconds. Anyways you need to get Dust devil debris. I guess its a good way to see westfall but you should definetly look up the common location of Dustdevils so you dont waste time.
/?quest=1072	An Old Colleague	21	17	Alliance	825 XP	Kalimdor	Speak to Lomac Gearstrip in Ironforge.	N/A	Gaxim Rustfizzle	Lomac Gearstrip	/tloc 72.52 those without coordinates, he can be found in tinker town.&nbsp really simple to turn in.	You'll find Lomac Gearstrip in Tinker Town, Right under the sign 'Things that go boom!' (72,51)	How do u get this quest? I'm not getting it :(	you must solve A Gnome's Respite [http://classicdb.ch/?quest=1071] first ,then you can get this quest	To complete the next quest, you're going to need: 2 x [url=http://classicdb.ch/?item=2458]Elixir of Minor Fortitude[/url] 4 x [url=http://classicdb.ch/?item=2455]Minor Mana Potion[/url] Either gather the herbs along the way or hit an Auction House before you go see the gnome (he's in Ironforge). Details about material requirements are listed in the next leg of the quest line, [url=http://classicdb.ch/?quest=1073]Ineptitude + Chemicals = Fun[/url].
/?quest=6284	Arachnophobia	21 Group	15	Horde	1650 XP | Pick: [Claystone Shortsword, Clear Crystal Rod]	Kalimdor	Kill Besseleth and bring Besseleth's Fang to Maggran at Sun Rock Retreat. Besseleth's Fang	Besseleth is a ruthless predator... I fear for those that travel Webwinder Path at night. It's then that she and her children prey upon innocent travelers. I myself fell prey to her two-foot fang of death, but luckily I was able to fend her off and get to safety. I would give anything to see that monster destroyed.	Wanted Poster: Besseleth	Maggran Earthbinder	coords are 53,72 The elite is bigger and a red color so it's easy to distinguish it... A healer will be needed if you wanna do this quest at lvl 20-24ish as the spider will have much more hp than you... He has decent DPS and can poison so be prepared. I solo-ed as a lvl 20 BE pally	Quests to do at the same time: [url=http://classicdb.ch/?quest=1069]Deepmoss Spider Eggs[/url], which is accepted at Ratchet [b]And[/b] [url=http://classicdb.ch/?quest=6461]Blood Feeders[/url], which is accepted at Malaka'Jin	found her at 54,71	Quest started at [b]59,75[/b]. Besseleth have [i]random spawn location[/i] in Sishir Canyon, but I personally found him at [b]52,71[/b].	Im quite new to this game so this mob seemed kinda difficult for me, I did solo as a lvl 22 Warlock and since its not a bad staff for warlock Imma tell you the strat i ended up using for any other budding warlocks like me! He bacame Immune to fear pretty quick, so this is how I played it: 1.First off, prep up, create a lesser health stone, summon voidwalker, crack on demonskin. 2.Clear the entire area as fast as you can (I died twice becuase I got links >.<) 3.Open the fight with curse of weakness, charge voidwalker in then use corruption. let him get to about 80% health(voidwalker i mean) then lay on immolate. I waited til voidwalker was at 80% becuase the first try I pulled hate if I was too hasty. 4.keep on the above 3 spells until voidwalker is at about 10% and then sacrifice him. 5.take some punishment and deal as much damage as possible until he wears through sacrifice shield (was about 4 hits max for me) then... 6.fear Besseleth asap, be quick as you can cos he hit me like a train haha I suppose in retrospect I'd count 3 hits then start casting fear, but I was unsure how many hits my shield could take. 7.Whilst he is feared the first time summon succubus and charge her at him, then re-fear as soon as you done that, for me it was almost perfect timing to summon succubus and then re-fear. 8.Go nuts on him, immolate, corruption, curse of agony, I feared him twice more and got him to about 20% in these 2 fears, after this though he became immune. 9.By the point he was immune he was hovering around 15-20% I finished this by keeping my DoTs on him, succubus hitting him and wanding/shadow bolting. When you get low health use the health stone and just know that you can kill him before he can kill you! I ended the fight with no pet and about 50% health, no health drinks on me at the time, but if i had one I think it wouldve been much less stressful but a lot less exciting :D This was my first real kinda thrilling fight/good achievement and Im wearing this staff with mad pride lol >.< Good luck to you! xxx
/?quest=6548	Avenge My Village	18	12	Horde	1350 XP	Kalimdor	Kill 8 Grimtotem Ruffians and 6 Grimtotem Mercenaries, and then return to Makaba Flathoof near the southeastern edge of Stonetalon. Grimtotem Ruffian slain (8) Grimtotem Mercenary slain (6)	Have you killed them yet?	Makaba Flathoof	Makaba Flathoof	Good spot is 81,90 small village full of them.	When u are in Stonetalon Mountains 85,97 When u are in The Barrens 35,27 When u are looking on Continent Map 48,53 When u are looking on World Map 21,50 [pad][div align=center]Hope u guys wont get in the ocean anymore =D[/div][pad]	location 76,90 in stonetalon mountains have fun:)	this one is very easy, these guys are lvl 15-17, they do group together quite a bit like the venture Co. do, but not too bad, they are found just inside the stonetalon mountains spread thruought the hills. You can find some battered chests around this are as well. The quest after this has you return to the same part only a little further in to kill a special mob. its a lvl 18 in a hut just over a little ridge from the first camps. He is gaurded by a few of these other mobs plus some lvl 17 sorceror types. In his hut! you will find a lvl 15 Tauren female NPC, she gives you a new quest! escort her to the ajwa camp, which you likely passed on your way here. A few notes of [b]warning![/b] You cannot control her in any way, she walks fairly slowly back down the path, around the corner and back to the camp, for those who play FFXI this is sort like the escort quest. she will walk until agroed and then fight, if she dies you gotta go back. But you cant make her stop. Though dont worry she really does move quite slow. A second word of caution! when you get to the camp, 2 mercenaries and a sorceror will spawn and attack her! I was not expecting this at all and barely pulled through. So if you can have a minion, make sure its out and your ready and come with two people, cause it takes a second to pull the hate off her. After you rescue her she will just disapear, you go back to the stonetalon entrance and talk to the tauren who gave you these quests, he gives you a reward then tells you to tell the girls aunt located in red rock retreat, this aunt is the same one that gives the cycle of life and new life quests.	Greatwood Vale 81, 91
/?quest=6461	Blood Feeders	19	13	Horde	1450 XP	Kalimdor	Xen'zilla at Malaka'Jin needs you to kill 10 Deepmoss Creepers and 7 Deepmoss Venomspitters. Deepmoss Creeper slain (10) Deepmoss Venomspitter slain (7)	Hey mon, have you slain the hairy blood feeders? I fear none here in Stonetalon but I don't go walking around here at night... if you know what I mean mon!As long as I stay off their dinner plate then all is well.Good luck to you, <class>!	Xen'Zilla	Xen'Zilla	Creepers at 57,76.&nbsp It is a cleft in the mountains.&nbsp Canyon is filled with spider webs.	Quest giver Xen 'Zilla can be found at 71,95 in a village called Malaka'jin. He is a lvl 25 NPC Troll	Follow the road to 61,65 to find the Venomspitter's that you need and the Creepers are on the way there.	These are fairly common mobs in this zone. Just keep running in a northerly direction and you're bound to run into the ones you need. If you want more just head to Windshear Crag. You'll find more than a enough there. My results: You gain 1450 experience. Your reputation with Darkspear Trolls has increased. Received 11 Silver.	This quest involves going to Stonetalon and killing two types of spiders. Make sure and pick up this quest as well: https://classicdb.ch/?quest=1069 These eggs are in the same area, so you can knock out two quests at one time. I did this quest at level 20, pretty straightforward.
/?quest=6283	Bloodfury Bloodline	26 Group	18	Both	2100 XP | Pick: [Spritekin Cloak, Screecher Belt]	Kalimdor	Maggran at Sun Rock Retreat wishes you to slay Bloodfury Ripper and bring her remains as proof of your deed. Bloodfury Ripper's Remains	Bloodfury Ripper is a nasty creature! You will have success finding her along the western hill line in the Charred Vale.The bloodfuries will be helpless with out... surely we can vanquish them forever!	Maggran Earthbinder	Maggran Earthbinder	Not elite as of patch 2.3. Very easy to solo now. 8D	31, 62 The Charred Vale (Blue Elite Harpie)	Killed her with my lvl 27 rogue. Very tough got me down to 70hp before she dropped. It is possible but u have to use every single trick your rogue can use at lvl 27 to do it. I've found so far, that with elites if you build up max combo points and then dmg there armor with it they tend to be much easier to take down. GL :)&nbsp	Amongst some other harpies. 30,62 ish. Good luck. I saw a 27 Warlock try to solo it and it died.	31,62 is and harpie blue!
/?quest=6421	Boulderslide Ravine	18	14	Both	1350 XP	Kalimdor	Explore deep into the cave at Boulderslide Ravine and bring back 10 Resonite Crystals for Mor'rogal at Sun Rock Retreat to investigate. Investigate Cave in Boulderslide Ravine Resonite Crystal (10)	What news have you discovered from Boulderslide Ravine? I recall some legend that deals with Resonite... I just cannot place my hoof on it. Perhaps knowing what lies at the bottom of the cave will illuminate their devious intentions.	Mor'rogal	Mor'rogal	The cave is at the very back of the ravine, there are a few types of monsters in it, casters and melee.&nbsp The monsters respawn VERY quickly (2-3 minutes I would say) and there are many of them, so it is more fun with a group but easily soloed.&nbsp The good news about the respawn is that the crystals respawn fast too, so you don't have to go far to get 10. The other aspect of the quest 'explore the cave' just means to get to where you can see the pool of water and what is across it, so go straight ahead that far.	The entrance To the ravine is 66.88	the Cave is 62, 92 To find Mor you have to go up the path in Sunrock Retreat, that leads up into the mountains. Then turn left hes there with some water elemental. You finish investigating when you reach near the water. The guys in the cave are pretty strong I did this at lvl 20 and I died once, as a shaman. They have an instant 100 dmg earth shock. THERE ARE 2 CAVES - THE RIGHT CAVE IS AT 62, 92 IN ONE OF THE CAVES THERE IS NOTHING AT ALL ITS JUST EMPTY.! THATS TH WRONG ONE	(62, 91) may be the coords for the cave itself but the confusion lies in getting there. There's a path off the main road beside a signpost at approximately (67,86). Follow it back to the actual coordinates of the cave entrance.	61.93 is the actual entrance to the cave, 67.86 is the entrance to the ravine. None Cosmos directions, from Malaka 'Jin take the main road NW going through Grimtotem Post until you reach a side road.&nbsp There's a sign that points you to pertanent locations in Stonetalon, hang a left there.&nbsp Follow the road and take the cave on the right up the hill.
/?quest=5881	Calling in the Reserves	28	23	Horde	1150 XP	Kalimdor	Maggran wishes you to deliver a letter to Grish Longrunner at the Great Lift in the Barrens. Maggran's Reserve Letter Provided Item: Maggran's Reserve Letter	You have news from Maggran Earthbinder?	Maggran Earthbinder	Grish Longrunner	Go [b]south[/b] from Crossroads past Camp Taurajo into Thousand Needles. Thousand Needles coordinates for Grish Longrunner are 32.21. Barrens coordinates for Grish Longrunner are 44.92. Yes, there is a lift, and yes, I'm retarded and tried to go to Stonetalon Mountains after everyone said go [b]south[/b] of The Barrens.	31.21 easy at top as you run down road, np	[b]Grish Longrunner 31, 21[/b]	Exit The barrens at 44,91 and get to Thousand Needles, Longrunner will be there	For The Barrens: [b]49.91[/b] For Thousand Needles: [b]31. 22[/b]
/?quest=1087	Cenarius' Legacy	25	20	Horde	1500 XP	Kalimdor	Kill 4 Sons of Cenarius, 4 Daughters of Cenarius and 4 Cenarion Botanists for Braelyn Firehand near Sun Rock Retreat. Son of Cenarius slain (4) Daughter of Cenarius slain (4) Cenarion Botanist slain (4)	Here, channeling magic is like drawing water from a well with a bucket full of holes.	Braelyn Firehand	Braelyn Firehand	The Coord's are 36.12 these guys move in pack,s Lvl 22 to 25 go Brave.Check in Stonetalon peak. And my name will be written in the Book Of Legends	Coords. 37.15 anywhere in that area ^_^	Simple to find the location of something if you have the coordinates but don't have the coordinate UI mod. First coordinate is the horizontal ref. Left side of your map is 0. All the way to the right is 100. Half way from left to right is 50. 1/4 way from left side moving to the right is 25. The second coordinate is the up-down one. Top is 0. Bottom of your map/screen is 100. So, coordinate 25,25 is in the top left corner of the map (your monitor with the map at full screen).&nbsp If players would just realize this they would not have to ask where something is when they have the coordinates but not the UI mod. I have a post-it not next to my screen with arrows on it. That is my UI mod for this feature. Pretty simple, eh?	As a Druid I find the best strategy for NPCs with pets is to root the pet, debuff the NPC and start wailing on him in bear form. When the pet arrives, roar at both of them. Finish off the NPC, change back to caster form to debuff the pet and DOT him, drop into cat form and annihilate the pet.	Son of Cenarius: 0/4&nbsp &nbsp &nbsp &nbsp &nbsp &nbsp / 36,14&nbsp / Daughter of Cenarius: 0/4 Cenarion Botanist: 0/4&nbsp stonetalon mountains - lokacion in stonetalon peak
