# Quest Data for Kalimdor - Teldrassil
# Generated: 2025-08-18 16:46:54
# Total quests: 38
# Comment scrape timestamp: 2025-08-18 17:43:53

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=475	A Troubling Breeze	6	4	Alliance	270 XP	Kalimdor	Seek out Gaerolas Talvethren in Starbreeze Village.	N/A	Athridas Bearmantle	Gaerolas Talvethren	Cosmo Users: 66, 59 upstrairs Everyoen else, the path that goes into Starbreeze Village, take the one going towartds the houses. First building on the right upstairs. Solod with level 6 preist.	Gaerolas can be found at the coordinates 66, 59. To find him without coordinates, take the path to Starbreeze Village and then the one heading to the houses. He is upstairs in the first building to the right.	Cords in starbreeze village are 66,58 and thats with me standing on him...For those who don't have cords., its the trail oposite of the moonwell and its the first house on the right hand side. Very easy kills if lvl 6+, recomend for smaller lvl's to get a second. lvl 6 NE Hunter	When I got to the location, I had to kill a few of those creatures first. Also, it makes it easier if you have The Emerald Dreamcatcher aswell.	270 XP 50 Darnassus reputation location: 66,58 (titan bar) on first floor in the building
/?quest=929	Crown of the Earth	5	1	Both	340 XP	Kalimdor	Fill the Jade Phial and bring it back to Corithras Moonrage in Dolanaar. Filled Jade Phial Provided Item: Jade Phial	Hello again, <name>. Have you completed your task?	Corithras Moonrage	Corithras Moonrage	Moonwell = 63,58	Location of the Moonwell is [63,58]. For those without coords it is due north of the S in the Starbreeze Villiage text on the map.	The CORRECT cords are: 63,58 enjoy	Location: (Cosmos) 59.33 When you get to the moonwell, open your inventory up. see the vial and right click the vial to fill it up. Quest completed. <340 exp> [i][small]Edited, Dec 2nd 2006 10:00am by Bshame[/small][/i]	63,58 63,59
/?quest=933	Crown of the Earth	9	1	Both	775 XP	Kalimdor	Fill the Tourmaline Phial and bring it back to Corithras Moonrage in Dolanaar. Filled Tourmaline Phial Provided Item: Tourmaline Phial	At first the reports of crazed furbolg attacks were dismissed. Who could have thought that the peace-loving bear-men would turn to mindless rage? Yet another of the problems that plagues us here in our new home.	Corithras Moonrage	Corithras Moonrage	[b]coordinates 42,67 are correct.[/b]	[b]42.67[/b] are the [b]correct[/b] coordinates to follow. [b]38.5, 34.1[/b] are definetly very [b]wrong.[/b]	[b]42,67 is definately accurate[/b] the others are incorrect, good luck!	Not every1 has coords...wot's the good of everyone giving the same coords if ppl don't have em. For those who do, they only need 1 set posted, not time and time again... I did this quest 2day. 9/1/07. The quest sed go South jus b4 the entrance of Darnassus, the Moonwell is near the lake. I found the lake so walked around it. I found the moonwell on the far left of the moonwell. Hope this helps those without coords.	To complete the quest you need to find [b]Moonwell southeast of the entrance to Darnassus[/b]. Okay, as description says, there's a valley south of Darnassus gates. Go there until you reach a lake. There's a moonwell at east side of it. Use [b][item=5621][/b] while staniding in the well, obtain [b][item=5645][/b] and bring it back to the quest giver. [quote] [b]Moonwell [/b]location coordinates are [b]42 67[/b][/quote] [b][quest=929][/b] - www.youtube.com/watch?v=zJ0OhJb49ss
/?quest=934	Crown of the Earth	11	1	Both	775 XP	Kalimdor	Fill the Amethyst Phial and bring it back to Corithras Moonrage in Dolanaar. Vial of Blessed Water Provided Item: Amethyst Phial	Along with the druids, the Oracle Tree and the Arch Druid have been carefully monitoring the growth of Teldrassil. But though we have a new home, our immortal lives have not been restored.	Corithras Moonrage	Corithras Moonrage	Moonwell location: 38,34.	This should be marked off as Alliance	This quest ends at (38,34) Becarful if you are under the level of 8 because there are many level 9's around you pull one you get 3 more after you as well.	The right one is at 42,67......way south of the formentioned tree....	Where is this Moonwell? Me and my GF have been looking all over.
/?quest=935	Crown of the Earth	11	1	Both	1100 XP | Pick: [Ashwood Bow, Thicket Hammer]	Kalimdor	Bring the Filled Vessel to Arch Druid Fandral Staghelm in Darnassus. Filled Vessel Provided Item: Filled Vessel	I know that I did not summon you, so I cannot help but wonder why it is you have come to speak with me.Whatever it is, please make it quick.	Corithras Moonrage	Arch Druid Fandral Staghelm	This vessel is already filled. All you have to do is bring it to Arch Druid Fandral Staghelm in the Cenarion Enclave in Darnassus (34,8).	For those of you who have cosmos the cords are 34,8. For those of you who don't follow the path into the Cenarion Enclave.&nbsp Go into the middle house/tower and follow it all the way up.&nbsp He is in the top room. :)	The druid grove is the Cenarian Conclave in Darnassus (NW of the tradeskill area), go up the center tree and head outside and around and up to the arch druid.	What's confusing people is that you go up all the stairs and don't see him, but you can see the dot and it's driving you crazy, right? Once you're upstairs look for a doorway to the deck and keep going up. You'll see him. Tell him I said HI	If u click at map that 'Anonymous' shows you, it will appear the wrong location. The rigth location is: * At the City of Darnassus * Cenarion Enclave * X:34, Y:8.
/?quest=934	Crown of the Earth	11	1	Both	775 XP	Kalimdor	Fill the Amethyst Phial and bring it back to Corithras Moonrage in Dolanaar. Vial of Blessed Water Provided Item: Amethyst Phial	Along with the druids, the Oracle Tree and the Arch Druid have been carefully monitoring the growth of Teldrassil. But though we have a new home, our immortal lives have not been restored.	Corithras Moonrage	Corithras Moonrage	Moonwell location: 38,34.	This should be marked off as Alliance	This quest ends at (38,34) Becarful if you are under the level of 8 because there are many level 9's around you pull one you get 3 more after you as well.	The right one is at 42,67......way south of the formentioned tree....	Where is this Moonwell? Me and my GF have been looking all over.
/?quest=7383	Crown of the Earth	11	1	Both	650 XP	Kalimdor	Fill the Amethyst Phial and bring it back to Corithras Moonrage in Dolanaar. Filled Amethyst Phial Provided Item: Amethyst Phial	Along with the druids, the Oracle Tree and the Arch Druid have been carefully monitoring the growth of Teldrassil. But though we have a new home, our immortal lives have not been restored.	N/A	N/A	Head out of Darnassus, take a left at the first main junction. Sign will say Oracle Glade. Head north to the end of that path. There will be an enchanter trainer there. Turn to your right. The moonwell should be within sight. While in the area, you might want to head a bit northwest from the Oracle Glade down a hill to a glowing plant. Right click it to get another quest 'The Shimmering Frond'	The pool is located at 38, 34.	The moonwell is at 38,34 as stated by Reorx. Once you arrive, you'll also find [url=https://classicdb.ch/npc=3519]Sentinel Arynia Cloudsbreak[/url] which should give you the quest [url=https://classicdb.ch/?quest=937]The Enchanted Glade[/url].You'll also find a Journeyman Enchanter at 36,34 just NW of the moonwell.	To complete the quest you need to find [b]Moonwell to the northwest in the Oracle Glade[/b]. Okay, there's a crossroads before Darnassus. One road heads north, you need to follow it until it ends. Use [b][item=18152][/b] while staniding in the well, obtain [b][item=18151][/b] and bring it back to the quest giver. [quote] [b]Moonwell [/b]location coordinates are [b]38 34[/b][/quote] [b][quest=7383][/b] - www.youtube.com/watch?v=VO78iFUYQ3g	Just go north of the entrance of darnassus, there is a moonwell on the top of the hill
/?quest=933	Crown of the Earth	9	1	Both	775 XP	Kalimdor	Fill the Tourmaline Phial and bring it back to Corithras Moonrage in Dolanaar. Filled Tourmaline Phial Provided Item: Tourmaline Phial	At first the reports of crazed furbolg attacks were dismissed. Who could have thought that the peace-loving bear-men would turn to mindless rage? Yet another of the problems that plagues us here in our new home.	Corithras Moonrage	Corithras Moonrage	[b]coordinates 42,67 are correct.[/b]	[b]42.67[/b] are the [b]correct[/b] coordinates to follow. [b]38.5, 34.1[/b] are definetly very [b]wrong.[/b]	[b]42,67 is definately accurate[/b] the others are incorrect, good luck!	Not every1 has coords...wot's the good of everyone giving the same coords if ppl don't have em. For those who do, they only need 1 set posted, not time and time again... I did this quest 2day. 9/1/07. The quest sed go South jus b4 the entrance of Darnassus, the Moonwell is near the lake. I found the lake so walked around it. I found the moonwell on the far left of the moonwell. Hope this helps those without coords.	To complete the quest you need to find [b]Moonwell southeast of the entrance to Darnassus[/b]. Okay, as description says, there's a valley south of Darnassus gates. Go there until you reach a lake. There's a moonwell at east side of it. Use [b][item=5621][/b] while staniding in the well, obtain [b][item=5645][/b] and bring it back to the quest giver. [quote] [b]Moonwell [/b]location coordinates are [b]42 67[/b][/quote] [b][quest=929][/b] - www.youtube.com/watch?v=zJ0OhJb49ss
/?quest=935	Crown of the Earth	11	1	Both	1100 XP | Pick: [Ashwood Bow, Thicket Hammer]	Kalimdor	Bring the Filled Vessel to Arch Druid Fandral Staghelm in Darnassus. Filled Vessel Provided Item: Filled Vessel	I know that I did not summon you, so I cannot help but wonder why it is you have come to speak with me.Whatever it is, please make it quick.	Corithras Moonrage	Arch Druid Fandral Staghelm	This vessel is already filled. All you have to do is bring it to Arch Druid Fandral Staghelm in the Cenarion Enclave in Darnassus (34,8).	For those of you who have cosmos the cords are 34,8. For those of you who don't follow the path into the Cenarion Enclave.&nbsp Go into the middle house/tower and follow it all the way up.&nbsp He is in the top room. :)	The druid grove is the Cenarian Conclave in Darnassus (NW of the tradeskill area), go up the center tree and head outside and around and up to the arch druid.	What's confusing people is that you go up all the stairs and don't see him, but you can see the dot and it's driving you crazy, right? Once you're upstairs look for a doorway to the deck and keep going up. You'll see him. Tell him I said HI	If u click at map that 'Anonymous' shows you, it will appear the wrong location. The rigth location is: * At the City of Darnassus * Cenarion Enclave * X:34, Y:8.
/?quest=997	Denalan's Earth	5	4	Both	230 XP	Kalimdor	Bring the package of Rare Earth to Denalan at Lake Al'Ameth. Rare Earth Provided Item: Rare Earth	You have something for me?	Syral Bladeleaf	Denalan	60,68. by the dock.	Coords: 60.68 Leads to: https://classicdb.ch/?quest=918 https://classicdb.ch/?quest=919	He is located by the lake near the docks, south east of Dolnaar.	Denalan is at 60,68	230- 800 for the next part
