# Quest Data for Kalimdor - Un'Goro Crater
# Generated: 2025-08-18 16:51:35
# Total quests: 51
# Comment scrape timestamp: 2025-08-18 17:47:15

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=3941	A Gnome's Assistance	52	47	Both	1250 XP	Kalimdor	Find J.D. Collie in the cave at Marshal's Refuge.	N/A	Linken	J.D. Collie	She starts you on [url=https://classicdb.ch/quest=2024]Linken's Memory[/url] next.	JD Collie is in the cave at the back of Marshal's Refuge. The next quest in this long chain is :Linken's Memory which will send you to Felwood.	Yay found it! :-) Coords of her is 41,2 Coords of entrance cave 43,7 IN UN'GORO CRATER!	The cave is in Marshal's refuge! Just go in the back of the cave there, at 43,6 and U will find the gnome )	[npc=9117]
/?quest=3913	A Grave Situation	52	47	Both	2550 XP	Kalimdor	Resurrect, then look for the gravestone that Gaeriyan told you to find. Linken's Tempered Sword Provided Item: Linken's Tempered Sword	This must be the gravestone that Gaeriyan mentioned...	Gaeriyan	A Conspicuous Gravestone	After speaking to the ghost he will send you back to the Gadgetzen graveyard, run back and resurrect. Once done touch the only gravestone you can to get Linkens Superior sword, and the next step to the chain.	touch the stone at 53,29 in Tanaris (need Linken's Tempered Sword)	After you die - release your spirit and run around as a ghost.&nbsp The ghost you want to talk to you is around 52,24.	Went to graveyard, drank potion, found Gayriyan, accepted quest, went back to graveyard, res'd, could not push over tombstone, and did not have quest in quest log.&nbsp Died several more times but could not find Gayriyan any more.&nbsp Ne one know how I can get this quest back.	anyone can give coordinates for the gravestone u need to check?
/?quest=4491	A Little Help From My Friends	55	50	Both	5650 XP | Pick: [Bag of Marbles0, Bag of Marbles1, Bag of Marbles3]	Kalimdor	Lead Ringo to Spraggle Frock at Marshal's Refuge. If Ringo faints, use Spraggle's Canteen to revive him. Escort Ringo to Spraggle Frock at Marshal's Refuge Provided Item: Spraggle's Canteen	I've been so worried about Ringo...	Ringo	Spraggle Frock	A song made by the beatles is called A little help from my friends, the guy you escort also got the same name as the drummer in the Beates Ringo.	At the same time I was also doing the [url=/quest=4502]Volcanic Activity[/url] quest, so the fire elementals were nicely cleared out when I went to revive Ringo. He follows you like a pet, so it was very easy to lead him back to Marshall's Refuge. There wasn't a single aggro, so the only real challenge to this is to not lose sight of Ringo when he faints because he becomes almost invisible lying in the green foliage of the crater floor. I kept the target lock on him at all times and watched the chat log. As soon as he says 'uggh' turn and make sure you see where he drops because you'll even lose the target lock when he does. I had to revive him about 5-6 times, but a very easy quest.	Beatles Reference - The Song is '[url=http://en.wikipedia.org/wiki/With_a_Little_Help_from_My_Friends]With a Little Help from my Friends[/url]' and for the quest you need to find somebody named Ringo :) Props to Blizzard's creativity	Ringo is found in a small cave on the mountain in the center of Un'Goro Crater. Check pinktoque's comment on Ringo's page (Click Ringo's name in the 'Quick Facts' area.) for coordinates. This is an easy quest. You have to escort Ringo back to Spraggle Frock at Marshal's Refuge within the time limit. Along the way, Ringo will faint, requiring you to use the canteen to revive him. Even with these delays, you still have more then enough time to get to Marshal's Refuge. Just so you know, the canteen has a cooldown (Around 45 seconds) before it can be used again. If he faints before the cooldown is up, don't panic and just wait for the cooldown to finish. I like all the references blizzard put in here. There's so many to count.	Unlike other escort quests, you can choose your own path of getting back to Marshal's. I chose going around the volcanos (volcanoes?) to the right and straight north. Pay attention to what Ringo says. If he says anything to the affect that he's dizzy or feeling sick, that means he's about to faint. I was able to finish this with 12 minutes to spare. Ringo's a decent fighter. Pay attention to where YOU'RE going (in other words, avoid enemies) and you should be fine. Other than Ringo, 'I never needed anybody's HELP in any way' :)
/?quest=4142	A Visit to Gregan	52	47	Alliance	3800 XP	Kalimdor	Take a Bloodpetal to Gregan Brewspewer in Feralas. Bloodpetal Provided Item: Bloodpetal	I live out here in the forest... Peaceful.Well, at least I thought it would be. I get more visitors out here than I ever did when I lived in Ironforge!	Muigin	Gregan Brewspewer	He is in Feralas, not Felwood. 45,25 or for non-cosmos players on the word The in the middle/left top part of the map.	45,25 if you don't have coordinates...in the middle/left top part of the map, near the twin colossal.	if u dont have cords, its at the O in the twin cOlossals	45, 25 Or if you don't have Cosmos just at the letter 'T' in 'The' of the title of 'The Twin Colossus' at the NE of Feralas. Good luck.	It's in the Twin Colossals of Feralas. 45,25
/?quest=3883	Alien Ecology	52	48	Both	3050 XP	Kalimdor	Use the Scraping Vial to collect a Hive Wall Sample from one of the Gorishi hive hatcheries in Un'Goro Crater. Look for the chambers with the hanging larval spawns. Bring the Hive Wall Sample to Hol'anyee Marshal in Un'Goro Crater. Hive Wall Sample Provided Item: Unused Scraping Vial	Do you have the sample of the Gorishi hive for me to study, <name>?	Hol'anyee Marshal	Hol'anyee Marshal	First larvae room when you enter. Use vial in the middle of the room. Helps to clear it out first, only two 52s (possible to pull one at a time) when I did it. Coords: 49, 85	Found it at 49,85, in the middle of the room	For this quest, you have to be standing on top of the mound in the center of the room in order to complete it. I had previously thought that you had to be standing next to a wall to get the sample. Well, as confusing as the wording for the quest was, stand on the mound. Otherwise you will run around for an hour like I did.	Enter the cave at 50,80 Go left at the fork inside Use the vial on the mound at 49,85 (I couldn't find the cave beause I was looking for it at 49,85 lol. Hopefully this helps others who do too.)	you have to go into one of the little rooms, theres one to the left and one all the way down the tunnel to the right. You have to scrap from the MIDDLE of the room, not the wall like it makes you think.
/?quest=4005	Aquementas	54	47	Both	5450 XP	Kalimdor	Take the Book of Aquor, the Silvery Claws, and the Irontree Heart to Tanaris. Use the Book of Aquor to summon Aquementas. After you have the completed totem, take it to J.D. Collie in Marshal's Refuge. Silver Totem of Aquementas Provided Item: Eridan's Supplies	So you're back, eh? Hmm... Let me take a look at that, <name>.	Eridan Bluewind	J.D. Collie	Circle located at 70, 49.	Remember to take ALL the items out from the pack (claws, heart and book) or else you won't get his totem.	To find the summoning circle (located at 70,49 - [url=http://classicdb.ch/?maps=440:696499]here[/url]): [ul] [li] Head down to the [b]Lost Rigger Cove[/b] in Tanaris.[/li] [li][b]Bear right[/b] and go past all the small pirate camps, keep close to the mountain.[/li] [li]Jump over 2 wooden walls and go past the main camp.[/li] [li]Keep right and you'll run into the 'summoning' circle (it is a couple of stones layed out).[/li] [/ul] [b]Make sure you have opened the pack and have the 3 items[/b] ([url=http://classicdb.ch/?item=11172]Silvery Claws[/url], [url=http://classicdb.ch/?item=11169]Book of Aquor[/url], [url=http://classicdb.ch/?item=11173]Irontree Heart[/url]) [b]in your inventory, else you wont receive the totem[/b]. Kill Aquementas and you'll receive the [url=http://classicdb.ch/?item=11522]Silver Totem of Aquementas[/url] in your inventory [b](make sure you have space!!)[/b]. Maybe they changed it, but you do have to kill Aquentus before you receive the totem.	The circle of stones can be found at 70,49 using the Cosmos coord system.	70,50 SW of the Lost Rigger Cove (Pirate Camp) Summon the mob, he transforms your items and unfortunately, you have to kill him. Make sure you stay inside the circle otherwise you won't get the totem.
/?quest=4501	Beware of Pterrordax	55	49	Both	5650 XP | Pick: [Bag of Marbles8, Bag of Marbles9]	Kalimdor	Kill 10 Pterrordax and 15 Frenzied Pterrordax, then speak to Spraggle Frock at Marshal's Refuge. Pterrordax slain (10) Frenzied Pterrordax slain (15)	To tell you the truth, I really wasn't that worried about the strange creatures... Until the day that I saw it written on the side of a large stone.BEWARE OF PTERRORDAXWho could have written it? I don't know, but it's too creepy to just ignore!	Beware of Pterrordax	Spraggle Frock	My suggestion, first complete Crystals of Power (https://classicdb.ch/?quest=4284). Then pick up the unlocked quests, Western Crystal Pylon, Northern Pylon, and Eastern Pylon. Now head over to the Northern Pylon @ https://classicdb.ch/?object=164955, that same area is where you will find your 10 Pterrodax. Now once you've finished there, head over to the Eastern Pylon @ https://classicdb.ch/?object=164957. Continue on towards the Western Pylon @ https://classicdb.ch/?object=164956. (Side note: I suggest you cut through The Marshlands with all the Ravasaurs for time, but once you hit the Slithering Scar stick to the wall of Un'goro until you reach the Western Pylon, you'll find a few Frenzied Pterro's along the way.). Much like the Northern Pylon you'll find that the same hill which has the Western Pylon is a wonderful spot to kill most of the 15 Frenzied Pterrodax required by the quest. Their levels range from 31-33 and you don't have to worry about large roaming elites. There you go, knocked out 4 quests :]. Edit: Watch out, Pterrodax fear.	Pterrordax - 55,87 in mountains lots and lots easy quest	44,87 mountains, loads of the Pterr... Whereas the Frenzies could be found all over the crater.	Pterrordax - 55,87 in mountains Pterrordax - 43,86 little indent in the mountains with about 5 Frenzied Pterrordax - 20,60 in mountains	Lets make this easier: Pterrodaxes at Northern Pylon: cords 57,14 to where you want to start going up, (its kinda up in the mountains) I only found about 4-5 but best place to farm them, just wait for respwn Frenzied Pterrodaxes: 38,32 ish, right in that area, just west of that river there. Run around in a big circle and you should find them. Good to do this quest with Shizzle's Fyler. You can get the sclaes off all these guys you kills AND the Diemetradon (any type of these) that you find around them.
/?quest=4144	Bloodpetal Sprouts	53	47	Alliance	3950 XP	Kalimdor	Here's the plan, <name>: Go out and collect some bloodpetal sprouts -- you know, the plants that haven't fully sprouted yet, and bring them here. Then I'll see what the Atal'ai haze can do. You may think I'm vengeful... Actually, you'd be right about that! Truth is, I know the way out of here, but until Larion will admit that I'm right, I'm staying right here! So off with you, find those bloodpetal sprouts and let's have some fun! Bloodpetal Sprout (3)	N/A	Muigin	Muigin	This is easy...if you have gathered sprouts for the repeating quest you should do it in no time flat....just sit and watch the lil buggers go!...the horde guy gets irritated by the li'l suckers and its good for a short snicker....	Why is this quest in the Sunken Temple section?	You give it to him, he is hidden behind a hill across camp from Muigin	just experience from this WHOLE quest?	For some reason, after completing Haze of Evil, I was not able to take this quest (accept button was grey). Some bug probably?
/?quest=4148	Bloodpetal Zapper	53 Dungeon	47	Horde	3950 XP | Item: Bloodpetal Zapper	Kalimdor	For the zapper to work, it needs a sample of the target creature. Head out into the crater and collect a Bloodpetal sprout. Then I can calibrate it to work on Muigin's little friends... If he weren't so stubborn, we could be on our way home, already... But until then, I'll just have to show him that his little prank doesn't bother me at all! Bloodpetal Sprout	N/A	Larion	Larion	Lol, after you finish this quest talk to him again he says 'Ugh.. these pests keep me busy night and day! Havent you seen them? I wish I could just jump down a pipe to get away from them.' I thought it was hilarious so i figured i would share ;)	Humor? Very odd concept - I'm just here to kill things... (nothing to laugh about). In any case, once completed, this quest just gives 5000 XP and a quest zapper that only seems useful for killing these midget plants. Anyone found any other uses?	I think the bloodpetal zapper is just be another allusion towards Nintendo's stuff--The Zapper. There are several Legend of Zelda references there and this quest line is all about Mario and Luigi if you're somehow still unaware.	The only reason to keep this in your bag is if the Bloodpetal Pests attack you whilst running through Marshal's Refuge and you can't kill them on your own. Personally, I'd rather save a bag spot and just attack the little guys or run a bit so they drop aggro.	Useless quest reward, it only kills the easily-avoided Bloodpetal Pests in the refuge, not the various fully grown Bloodpetals out in the crater. I'd much rather Larion just keep the darn thing and keep the pests constantly exterminated so they're gone when I fly into the refuge or return from questing. Good xp from the quest though, about 8000 at 53 just from turning in the two parts (5 Atal'ai Haze, then 1 Bloodpetal Sprout). That's not including the xp for killing the mobs in ST.
/?quest=4243	Chasing A-Me 01	53	48	Both	2650 XP	Kalimdor	Find A-Me 01 in Un'Goro Crater.	N/A	Karna Remtravel	A-Me 01	First, get a Mithril Casing from an engineer or from the Auction House. They usualy go for around 2 - 5 gold. You'll need this to finish the quest. Next, go to a level 49 dwarf female: Krana Remtravel in Un'Goro Crater, shes at 46.13. Take the quest from her. Then you are going to find A-Me 01 (a robot monkey). She is in the Fungal Rock (in Un'Goro crater), Cords to Fungal Rock are 63.17. Go inside the Fungal Rock and take the first turn to right, then you'll find her. She'll need the Mithril Casing to work. Use the Mithril Casing on A-Me 01 and she will start to work. Follow and defend her, she will take you back to Krana Remtravel at Marshal's Refuge. If you fail to defend A-Me 01 you don't need to buy a new Mithril Casing.	/tloc 67,17 (inside the cave that starts at 63,17	[ul] [li][b]1[/b] First you do this: go to a level 49 dwarf female: Krana Remtravel in Un'Goro Crater, shes at 46.13. Take the quest from her. [/li] [/ul] [ul] [li][b]2[/b] The you are going to find A-Me 01 (a robot monkey). She is in at the Fungal Rock (in Un'Goro crater), Cords to Fungal Rock is 63.17. [/li] [/ul] [ul] [li][b]3[/b] Go inside the Fungal Rock and take the first turn to rigth, then you'll find her. You can't miss her. Then she need a Mithril Sprout to work. [/li] [/ul] [ul] [li][b]4[/b] You can get a Mithril Sprout from a engieneer or from AH they usualy sell these for 2 - 5 gold. [/li] [/ul] [ul] [li][b]5[/b] When you have the Mithril Sprout go back to Fungal Rock in Un'Goro Crater, use it on A-Me 01 then she will start to work. Follow and defend her, she will take you back to Krana Remtravel at Marshal's Refuge. [/li] [/ul] If you fail to defend A-Me 01 you don't haft to buy a new Mithril Sprout. (Ormagon lvl 53 orc hunter Bloodhoof EU-Server)	That helped heaps, Thank you. For those who do not know where fungal Rock is, it is at 61.16 For those without a coordinator, NNE, the only cave on your map that is in that area. The place is guarded by Gorillas, So I suggest you also pick up the quest 'The Apes of Un'goro' From the quest giver at 71.6, 76.0 if you are high enough level (I am level 52 and it is orange, but the mobs seem to be yellow to me.) also be warned, if you do not kill the gorillas fast enough they will pound their chest for help sometimes and more gorillas will attack you	I think all the nintendo comments are funny and great and all...but here is something about the quest that you need to know: Bring a Mithril Casing with you! The Amie gorilla is a robot and needs a Mithril casing to be activated. I read this comment section and didn't see that and ended up having to go all the way back to IF after fighting my way in that cave.
