# Quest Data for Kalimdor - Winterspring
# Generated: 2025-08-18 16:52:02
# Total quests: 58
# Comment scrape timestamp: 2025-08-18 17:47:57

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=6606	A Little Luck	60	55	Horde	650 XP	Kalimdor	Speak with Witch Doctor Mau'ari in Everlook.	N/A	Harlo Wigglesworth	Witch Doctor Mau'ari	Might be easier to say he's in the Valley of spirits *~Amaran~*	doctor is in /tloc 36,81 Edited, Tue Mar 22 01:33:17 2005	Wont talk to me ither on my 55 tauren warrior. My guess is you ither need to be friendly with Everlook (I am neutral atm), or the quest was removed because it's basicly just walking 10 feet to talk to the chick.	Anyone know a reason why Harlo Wigglesworth won't talk to me? Level 57 (and again at 58) he won't give me any quests or even have a talk bubble. Horde Warlock if that matters...	N/A
/?quest=6605	A Strange One	54	49	Horde	550 XP	Kalimdor	Speak with Winna Hazzard in Felwood.	N/A	Harlo Wigglesworth	Winna Hazzard	its down the river around the corner, coordiantes: 34,52	Why people can not just say go to bloodvenom post the cords&nbsp 34.52 are right as well	You can find her at loc. 34.52.	I don't think that this quest is step one in this series. I just received the quest Well of Corruption in Felwood and I have never been to Winterspring with this character.	The quickest way is thru is just run in the bloodvenom river
/?quest=8798	A Yeti of Your Own	60	55	Both		Kalimdor	N/A	N/A	Umi Rumplesnicker	Umi Rumplesnicker	she ll teach you to make a pet yeti, its fun! http://classicdb.ch/?item=21277comments	i did the yeti quest line without eng then i came up today to everlook and saw i could talk to the chick and boom! i can now make a passive yeti! too bad you cant make a one that will fight =/	I heard this gives you the passive yeti pet, and some people are mad, lol.	My yeti was not passive but only 3 charge 10 minutes level 58 yeti just wondering if its rechargable	N/A
/?quest=977	Are We There, Yeti?	58	52	Both	4650 XP	Kalimdor	Collect 2 Pristine Yeti Horns for Umi Rumplesnicker in Everlook. Pristine Yeti Horn (2)	I've just about finished attaching the fur, <name>. Please, hurry back with those horns!	Umi Rumplesnicker	Umi Rumplesnicker	Drop rate is very low, about accurate to wowheads reading (4.1%) HOWEVER, I did this at Level 56 as a shadow priest, it's really easy to kill them and fast. And good exp(340-400 non rested @ my level), so it's not a total waste of time. Even better if you are a skinner Also, this might be some help to someone: Ice Thistle Yeti HP: 3640 Ice Thistle Patriarch HP: 3909. ice Thistle Matriarch HP: 3727 They use skills like 'Tendon Rip' Which reduce your speed by 70% & Frost breath which deals frost damage toward you. Also, they have a skill called 'Rushing Charge' But I've only seen Matriarchs use it. They're all located at 67,42 (Ice thistle Hills / Ice Thistle Cave) This is usually a 'farm' area pick up for Miners, as 1 or 2 thorium veins spawn inside the cave, Along with truesilver veins.So watch it.	Cave coordinates are 67,41	Cave coordinates are 67,41	i got both of mine outside the cave from 2 patriarchs, it took a while but thats just the drop rate. quit making these outlandish speculations that they only drop on the top of the mountian at 1pm when 3 birds are in the sky to the southeast, get out of here.	In a party, the Pristine Yeti Horns will only drop for one member at a time. They are not group quest items.
/?quest=3783	Are We There, Yeti?	56	52	Both	4350 XP	Kalimdor	Collect 10 Thick Yeti Furs for Umi Rumplesnicker in Everlook. Thick Yeti Fur (10)	I've got lots to get started on here. Please get me those furs as soon as you can!	Umi Rumplesnicker	Umi Rumplesnicker	65,45 best for me	People, read the quest text. If you killt he yetis *to the southeast of Everlook*, the drop rate is very, very good.	The poor drop rate is from yeti's in areas not specified in the quest. There is no doubt IMO that Blizz purposely lower drop rates if your not in the area they stipulate in the quest description. South East it says. Pop off to about 66,44 give or take, you have as many yeti's as you need. Drop rate is about 1 in 5 20% give or take consistently. Not to mention about 300xp per kill , some skinning if that's your gig.	The real reason to do this quest is because you are an engineer and want the tranquil mechanical yeti. You finish this quest first and then this quest https://classicdb.ch/?quest=8798 appears and you get the recipe. Enjoy!	I have the quest 'Are we there yeti?' in my log, which requires me to collect 10 thick yeti furs. While having this quest, according to my kill log add-on, I killed and looted: - 2 Rogue Ice Thistles - 7 Ice Thistle Yetis - 5 Ice Thistle Patriarchs - 7 Ice Thistle Matriarchs And looted no, I repeat NO thick yeti fur. Can someone please tell me what I'm doing wrong? ***EDIT FOLLOWS*** Well after killing 30 and not getting any fur, I ran towards Everlook because I wanted to see what would happen if I abandoned the quest and obtained it again, because I thought I was bugged.&nbsp On the way back I saw one and thought, ok last try before I reset the quest.&nbsp Lo and behold, got my first fur! Final tally (all those kills have been made while having this quest, and I stopped counting after I got my last fur): Rogue Ice Thistle: 4 Ice Thistle Yeti: 46 Ice Thistle Matriarch: 23 Ice Thistle Patriarch: 18 ****Total Ice Thistles killed: 91 That's 9.1 kills per fur...
/?quest=5163	Are We There, Yeti?	58	52	Both	7750 XP | Item: Mechanical Yeti	Kalimdor	Take Umi's Mechanical Yeti and scare her friends with it: Legacki in Everlook (Winterspring) Sprinkle in Gadgetzan (Tanaris) Quixxil in Marshal's Refuge (Un'Goro Crater) When you are done, bring the Mechanical Yeti back to Umi. Scare Legacki [ Release Umi's Yeti ]	I can't wait to hear how my friends react!They'll never expect it!	Umi Rumplesnicker	Umi Rumplesnicker	Legacki - 61,38 Sprinkle - 51,27 Quixxil - 44,9 - enterance at 46,14 Click on the NPC and then right click on the Mechanical Yeti that's in your bag.&nbsp Don't follow them!&nbsp You should get credit right away.	I noticed no one has put the locations of teh ppl u have to scare so i thought i would Legacki=Everlook(Winterspring)(61,38) Sprinkle=Gadgetzan(Tanaris)(51,26) Quixxil=Marshall's Refuge(Ungoro Crater)(43,9) It was a good quest nice xp cool yeti shame it only has 3 charges though =( (Had no troubles at all ) Had fun killing the yeties gotan epic( Stockade Pauldrens) very nice drop if i may add happy hunting Love u all! Karix Lord of Shadowsong&nbsp &nbsp (=P)	Legacki - 61,38 Sprinkle - 51,27 Quixxil - 44,9 - enterance at 46,14 Click on the NPC and then right click on the Mechanical Yeti that's in your bag. Don't follow them! You should get credit right away.	Using the command /target Legacki,Sprinkle or Quixxil in the middle of the village does really help.	i believe after you do this quest the quest giver will teach you (if you're an engineer) how to make a mechanical pet yeti.
/?quest=5068	Breastplate of Bloodthirst	60 Group	57	Both	Item: Breastplate of Bloodthirst	Kalimdor	In order to create the Breastplate of Bloodthirst, you will be required to bring the following items back to Malyfous Darkhammer: 1 Pristine Hide of the Beast; 10 Frayed Abomination Stitchings; 5 Arcanite Bars; 5 Skin of Shadow. You will also be required to pay 50 gold pieces for the crafting of the item. Pristine Hide of the Beast Frayed Abomination Stitching (10) Arcanite Bar (5) Skin of Shadow (5) Required Money: 50	Unless you've got everything I need, you're wasting my time.	Malyfous's Catalogue	Malyfous Darkhammer	everyone stfu. This chest is nice to anyone who has the patience to finish the quest and gather the items. =) good night.	Pristine Hide of the Beast is skinned off The Beast in UBRS. Frayed Abomination Stitching drops off of various mobs in Stratholme. Arcanite Bars can be transmuted. Skin of Shadow is dropped off of various mobs in Scholomance. The 50g comes from your pocket ]. The stats on the Breastplate of Bloodthirst are basically pre-Molten Core, and good for non-raiders, especially with an enchant. The only thing that's debatable is whether or not it's worth all the hours you'll put in collecting the mats, or the gold to aquire them.	I can see what the fuzz is all about, but I gotta say thou, if I was a rogue, id never really go to such efforts for this armor, when clearly theres better out there for rogue, easier to achieve. For the other 2 items crafted of the hide, I think neither is really worth the effort either. But for a feral druid, this chest is very nice. So I would put it this simple, if no druids in the raid needs the hide, let the skinner have it....i see no reason why any other classes should roll on the skin at all than druid infact....i mean, if youre balance druid, and consider the legs...sure theyre nice for leather, but heck...with 360% armor bonus in moonkin, why do you even need leather when blue cloth gives more damage? and for the stats...theyre not that great. The scarlet cap isnt even worth mentioning, i took a look at it and got so dissapointed, theres so much better items out there than this, its almost not even worth the epic purple name... So pristine hide of the beast is only worth using for the chest they way i see it, and only for a feral druid.....so if no druids, then let the poor skinner keep it. And dont forget rogues, you get 1 AP pr strength, while a druid gains 2 pr strength, considering this and the massive stamina, id say a feral druid in bear form would gain most of this item, so stop being greedy if a poor bear actually wants to make this chest. Id go as far as saying a rogue rolling on pristine hide of the beast is like a druid rolling on the shadowcraft set....sure we dont need +daggers, but heck ...we love the stats ) well offcourse rogue can put it to good use, but not as good as a bear anyways.	OK in every class i see this dumb senstence 'Hey this is for a 'class' or Hey this is not good for 'class' everyone play like they want/love/willing to SO LET THEM PLAY LIKE THEY WANT if a rogue love to have strength it is is right	On some servers you can pay guilds to take your character through MC until the item you have payed for drops. They do this to add money to the guild bank. Think a little before calling someone a liar.
/?quest=5055	Brumeran of the Chillwind	58 Group	53	Horde	6200 XP	Kalimdor	Storm Shadowhoof at Everlook in Winterspring wants you to kill Brumeran. Brumeran slain	Brumeran calls out to you, <name>.	Storm Shadowhoof	Storm Shadowhoof	Brumeran is a chimera that wanders around the southern portion of Winterspring. She wanders around even more then Ursius, so giving exact coords are very hard. Look at her page (Click on the 'Brumeran Slain' link on this page) for coords. I would, however, recommend waiting and looking around 62.5, 57.9 for her, as you can fight her without risk of adds (It's on or near the road.) She's a level 58 Chimera with lightning breath and a stackable poison effect. Nature protection would be recommended here. The poison will eat down at your health fairly quickly. I'd recommend bringing a nature protection potion (And/or some Anti-Venom) or a priest. Mages (Frost especially) shouldn't have much problem assuming that they have bandages and potions at the ready. I'm assuming that locks shouldn't have much problem either. For other classes, I'd recommend hunting her with some other people, or pulling her to the Everlook guards. (Make sure that, if you try this, that you get enough damage on her so that you receive credit when the guards kill her.) (I also don't know if it's possible to do anymore. It would help if someone would confirm this for me.) Of course, depending on your gear and level, you may have a little or alot of trouble dealing with her. I'd always reccomend finding a group. For those without a UI, she's in the wilderness ranging from a little below the frozen lake going south past the group of elite dragonkin. She goes south from there. I would recommend waiting for her around an alliance NPC along the road leading south. You should find her around there. If you want to hunt for her in the wilderness, following the listings of coordinates on Brumeran's page (Click the Brumeran Slain link) should give you a good idea of her path.	57, 53&nbsp he roams around so relax lol, he goes somewhere west then comes back to those coords	Was tricky to solo as 58 fire spec mage. Had to pop a potion and a mana ruby.	i found him at about 58, 54 but i noticed later that he wanders between that location and the mouth of the canyon down south where the giants are.&nbsp if you don't find him near the other dragonkin, head in a southerly direction toward the canyon and you're bound to find him.&nbsp btw he's easy as pie, it took more to kill all the elites around him than it did to kill the named heh	Just told by a GM that after patch 2.3 these quests no longer give rep due to alliance being able to do them now too...
/?quest=975	Cache of Mau'ari	60	55	Both	Item: Cache of Mau'ari	Kalimdor	Speak to Witch Doctor Mau'ari again in a moment to receive the lucky charm.	N/A	Witch Doctor Mau'ari	Witch Doctor Mau'ari	From different E'ko you can get: Juju Power (Target: +30 Str, 30 min.) Juju Flurry (Target: +3% Attack speed, 20sec.) Juju Guile (Target: +30 Int, 30 min.) Juju Escape (+60 Dodge rating, 10sec.) Juju Chill (+15 Frost Res., 10 min) Juju Ember (+15 Fire Res, 10 min.) Juju Might (+40 Attack Power, 10 min.)	To add to diesilgirl's comment: Juju Power can be made from the Winterfall E'ko which drop off the various Winterfall furbolgs. Juju Might can be made from the Frostmaul E'ko which drop off Frostmaul giants and preservers down south. Be aware, they are elites. Juju Flurry can be made from the Frostsaber E'ko which drop from the various Frostsabres, stalkers, huntresses, cubs, etc, up north. These three Juju are classed as 'Battle Elixirs' and wont stack with each other or other Battle Elixirs. Juju Guile can be made from the Wildkin E'ko which drop off the various Owlbeasts in the surrounding area. Juju Escape can be made from the Ice Thistle E'ko which drop off the various Ice Thistle Yetis in the surrounding area. Juju Ember can be made from the Shardtooth E'ko which drop off the various Shardtooth maulers and bears. Juju Chill can be made from the Chillwind E'ko which drop off the various flyers in the area. Fledgling Chillwinds, Ravagers and Chimaeras. As above, These four Juju fall under the 'Guardian Elixir' category and wont stack with each other or other Guardians.	Was painful following each link to see what each did, so I've consolidated here - hope it's useful. 3 of any one of the below will get you 3 juju's for that particular type. Winterfall E'ko : Increases the target's Strength by 30 for 30 minutes. Frostmaul E'ko : Increases attack power by 40 for 10 minutes. Ice Thistle E'ko : Increases your dodge rating by 60 for 10 seconds. Wildkin E'ko : Increases the target's Intellect by 30 for 30 minutes. Shardtooth E'ko : Increases Fire resistance by 15 for 10 minutes. Frostsaber E'ko : Increases the target's attack speed by 3% for 20 seconds. Chillwind E'ko : Increase Frost resistance by 15 for 10 minutes. Sleigher 'Quick Ben' lvl58 Shaman Twilight's Hammer [i][small]Edited, Jan 19th 2007 8:56am by sleigher[/small][/i]	Yes to Multi-use, sorta. For every 3 you turn in, you get 3 juju. Each juju you get, is good for one cast of whatever buff it gives. They will stack in 20s. You can do the quest repeatedly. I, and I believe a few others on my server, farm the hell out of the wildkin for the int juju, mages are not always around and 30 int for 30 mins is nice when you're not an alchemist.	Some of the buffs offerd here are very helpful for raiding, a % to attack speed increase, 15 vs cold and much more, its worth the time for those hard encounters
/?quest=5063	Cap of the Scarlet Savant	60 Group	57	Both	Item: Cap of the Scarlet Savant	Kalimdor	In order to create the Cap of the Scarlet Savant, you will be required to bring the following items back to Malyfous Darkhammer: 1 Pristine Hide of the Beast; 5 Frayed Abomination Stitchings; 8 Arcane Crystals; 5 Enchanted Scarlet Thread. You will also be required to pay 50 gold pieces for the crafting of the item. Pristine Hide of the Beast Frayed Abomination Stitching (5) Arcane Crystal (8) Enchanted Scarlet Thread (5) Required Money: 50	Unless you've got everything I need, you're wasting my time.	Malyfous's Catalogue	Malyfous Darkhammer	(At approximate current prices on my server...) Pristine Hide of the Beast: 400g Arcane Crystal: 28g x 8 = 224g Frayed Abomination Stitching: Farm you ass off Enchanted Scarlet Thread: See above +50g to complete TOTAL = 674g + massive farmage Now, maybe if your loaded you can afford this, but that still doesn't make it worth it. It's not much more than a run of the mill epic. (I'm sure someone will have some arguement that no one cares about right here.) That time and money is much better invested in raid dungeons or something. THE POINT: PASS THIS QUEST BY!	How about the bloodvine in ZG? It needs the bloodscythe and is used in all sorts of plans.&nbsp Should the herbalist get to keep any bloodvine because they have the scythe? It takes a group to get to the location.&nbsp The item is needed by lots of people.&nbsp Learn to share. I need to get to 60 and complete a quest to get the best water for my mage, but by your logic I should never give this to the people I team with because I did the work to get it not them.. Here's hoping I never team with you guys.	Yeah, I think I will go a bit further, and post a couple stats for ya. Pristine Hide of the Beast - Anywhere from 200-450g depending on server on AH. ( Skinners with enough can just PRAY that they can skin off mr beastie) Frayed Abomination Stitching - easy Arcane Crystals - On my server, 25g apiece on AH Enchanted Scarlet Thread - 1, possibly 2 runs to pick em all up. So, if you want to be technical, this hat, that ONLY gives a crit boost, and not a big one. Can cost anywhere from 450g, to 800g for everything required. Whereas, you can run MC a few times, and spend some DKP, and get yer T1 piece, or run UBRS, and snatch up a Dragoncowl. At any rate, TOTALLY not worth it IMO.	There is a book on the barrel next to Malyfous, you need to read the book to get the quest! Goddamn... Took me hours to see the book...	Well put Shaddai: I have several toons with a myriad of professions.&nbsp Honestly, I think herb/alch is the hardest.&nbsp Tailoring has been a cinch for $$ and cost me basically nothing, skinning -- EASY to level, etc I just think that all the points made are valid.&nbsp Bottom line is: yes, you skin and don't roll on the Hide, yer going to be called a ninja -- seen it happen before.&nbsp Why not establish rules and agree on format before even going?&nbsp Went through mara once and we rolled on every ghost mushroom I picked so folks could sell them and make $$ too, other times I looted away :)&nbsp Just establish procedure before hand -- oh, and hope yer not with folks who will renig
