# Quest Data for Miscellaneous - Ahn'Qiraj War Effort
# Generated: 2025-08-18 17:02:18
# Total quests: 76
# Comment scrape timestamp: 2025-08-18 17:48:59

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8848	Fifteen Signets for War Supplies	39 PvP	30	Alliance	Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Well then, it's settled; here are your supplies, <class>. If you wish to do an additional exchange, then I am prepared to authorize it. Just give me the word and I'll make it happen. Keep up the good work, <name>. We need all the materiel we can muster if we're going to win this thing. If we all do our part, then victory shall be ours for the taking! Alliance Commendation Signet (15)	Ah, here for additional supplies for yourself, are you? Well, I can certainly understand the need for additional materiel... just take a look around if you need any proof.I'll issue you some additional supplies, but you'll need to give me an appropriate number of commendation signets in exchange. You won't receive any recognition for surrendering the signets in this manner, but you might find something useful that will help keep you alive when battle is finally upon us.	N/A	N/A	N/A	N/A	N/A	N/A	N/A
/?quest=8853	Fifteen Signets for War Supplies	39 PvP	30	Both	Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Well then, it's settled; here are your supplies, <class>. If you wish to do an additional exchange, then I am prepared to authorize it. Just give me the word and I'll make it happen. Keep up the good work, <name>. We need all the materiel we can muster if we're going to win this thing. If we all do our part, then victory shall be ours for the taking! Horde Commendation Signet (15)	Ah, here for additional supplies for yourself, are you? Well, I can certainly understand the need for additional materiel... just take a look around if you need any proof.I'll issue you some additional supplies, but you'll need to give me an appropriate number of commendation signets in exchange. You won't receive any recognition for surrendering the signets in this manner, but you might find something useful that will help keep you alive when battle is finally upon us.	N/A	N/A	Actually i believe its 10 horde commendation signets for War supplies. not sure for allies.	N/A	N/A	N/A	N/A
/?quest=8846	Five Signets for War Supplies	19 PvP	10	Alliance	Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Well then, it's settled; here are your supplies, <class>. If you wish to do an additional exchange, then I am prepared to authorize it. Just give me the word and I'll make it happen. Keep up the good work, <name>. We need all the materiel we can muster if we're going to win this thing. If we all do our part, then victory shall be ours for the taking! Alliance Commendation Signet (5)	Ah, here for additional supplies for yourself, are you? Well, I can certainly understand the need for additional materiel... just take a look around if you need any proof.I'll issue you some additional supplies, but you'll need to give me an appropriate number of commendation signets in exchange. You won't receive any recognition for surrendering the signets in this manner, but you might find something useful that will help keep you alive when battle is finally upon us.	Field Marshal Snowfall	Field Marshal Snowfall	This was part of the 'Gates of Ahn'Qiraj' Opening Event (henceforth AQ Opening) which was a server-wide (and also world-wide) in-game event that was something of a race. If for some reason you still have signets, it's possible to still complete this quest, but signets themselves can no longer be obtained. In a nutshell, both the Horde and the Alliance banded together to gather supplies for the war effort, which included thousands of stacks of cloth, leather, metal bars, bandages, herbs, meat and fish in order to fuel a war effort against the Ahn'Qiraj race in Silithus (the controllers of the Silithid bugs). Players would gather the materials, turn them in and receive '[url=http://classicdb.ch/?item=21436]Alliance Commenation Signet[/url]s' or '[url=http://classicdb.ch/?item=21438]Horde Commendation Signet[/url]s' depending on their faction. These signets could then be gathered and turned in as listed above. More about the AQ Opening can be found [url=http://www.wowwiki.com/Gates_of_Ahn%27Qiraj]at WoWWiki[/url], including a list of the first 5 US and EU servers to open the Gates. All new servers now start with the gates of AQ already open, so this event will never be seen again.	N/A	N/A	N/A	N/A
/?quest=8851	Five Signets for War Supplies	19 PvP	10	Both	Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Well then, it's settled; here are your supplies, <class>. If you wish to do an additional exchange, then I am prepared to authorize it. Just give me the word and I'll make it happen. Keep up the good work, <name>. We need all the materiel we can muster if we're going to win this thing. If we all do our part, then victory shall be ours for the taking! Horde Commendation Signet (5)	Ah, here for additional supplies for yourself, are you? Well, I can certainly understand the need for additional materiel... just take a look around if you need any proof.I'll issue you some additional supplies, but you'll need to give me an appropriate number of commendation signets in exchange. You won't receive any recognition for surrendering the signets in this manner, but you might find something useful that will help keep you alive when battle is finally upon us.	N/A	N/A	N/A	N/A	N/A	N/A	N/A
/?quest=8847	Ten Signets for War Supplies	29 PvP	20	Alliance	Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Well then, it's settled; here are your supplies, <class>. If you wish to do an additional exchange, then I am prepared to authorize it. Just give me the word and I'll make it happen. Keep up the good work, <name>. We need all the materiel we can muster if we're going to win this thing. If we all do our part, then victory shall be ours for the taking! Alliance Commendation Signet (10)	Ah, here for additional supplies for yourself, are you? Well, I can certainly understand the need for additional materiel... just take a look around if you need any proof.I'll issue you some additional supplies, but you'll need to give me an appropriate number of commendation signets in exchange. You won't receive any recognition for surrendering the signets in this manner, but you might find something useful that will help keep you alive when battle is finally upon us.	N/A	N/A	N/A	N/A	N/A	N/A	N/A
/?quest=8852	Ten Signets for War Supplies	29 PvP	20	Both	Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Well then, it's settled; here are your supplies, <class>. If you wish to do an additional exchange, then I am prepared to authorize it. Just give me the word and I'll make it happen. Keep up the good work, <name>. We need all the materiel we can muster if we're going to win this thing. If we all do our part, then victory shall be ours for the taking! Horde Commendation Signet (10)	Ah, here for additional supplies for yourself, are you? Well, I can certainly understand the need for additional materiel... just take a look around if you need any proof.I'll issue you some additional supplies, but you'll need to give me an appropriate number of commendation signets in exchange. You won't receive any recognition for surrendering the signets in this manner, but you might find something useful that will help keep you alive when battle is finally upon us.	N/A	N/A	N/A	N/A	N/A	N/A	N/A
/?quest=8509	The Alliance Needs Arthas' Tears!	60 PvP	1	Both	Item: Alliance Commendation Signet 10 | Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Bring 20 Arthas' Tears to Sergeant Major Germaine at the Military Ward in Ironforge. Arthas' Tears (20)	What's that? Speak up, <class>! Have you got that shipment of Arthas' Tears I asked for?	Sergeant Major Germaine	Sergeant Major Germaine	These quests are only available before the Opening of the Gates of Ahn 'Qiraj. Theoretically these quests are meant to help the Alliance by contributing to the efforts in the 'Ahn'Qiraj War.' All the 'Ahn'Qiraj War' quests require you to provide trade goods (such as cloth and fish etc.) to NPCs in Ironforge. After the Gates have been opened these quests are no longer available in your Realm. In most realms that were created before The Burning Crusade Expansion it is likely that the gates have already been opened and these quests are no longer available.	does anyone know where i can get Artha's Tears from?	I just had one drop from a bloodpetal in un'goro if that helps. I am killing many for savage fronds (for argent dawn) and only one has dropped. Seems rather rare.	N/A	N/A
/?quest=8492	The Alliance Needs Copper Bars!	60 PvP	1	Both	Item: Alliance Commendation Signet 10 | Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Bring 20 Copper Bars to Sergeant Stonebrow at the Military Ward in Ironforge. Copper Bar (20)	Have you collected those twenty bars of copper yet, trooper?	Sergeant Stonebrow	Sergeant Stonebrow	i did one of those quests 10 levels later i went back for another one and none of those quest givers wherent there. wanna help?	I have a 16th lvl mage who picked up this quest - i have copper bars but I can't find the Stonebrow anywhere. I haven't got coords so a description would be great. Thanks.	N/A	N/A	N/A
/?quest=8494	The Alliance Needs Iron Bars!	60 PvP	1	Both	Item: Alliance Commendation Signet 10 | Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Bring 20 Iron Bars to Corporal Carnes at the Military Ward in Ironforge. Iron Bar (20)	If you have those twenty bars of iron, I don't want to know where you have them hidden!	Corporal Carnes	Corporal Carnes	On ER(EU) this one was buggy for me - for all my alts he started off with the 'more iron bars' quest (giving only 5 tokens). The loot btw is (collected from various sources) A-item: L10 Chest, 10 + 1/repeat B-item: L20 Chest, 10 + 3 C-item: L30 Chest, 10 + 5 D-item: L40 Chest, 10 + 7 E-item: L50 Chest, 10 + 10 1 token -> 5 rep 10 tokens -> 75 rep 5 tokens: L10 Chest 10 tokens: L20 15 tokens: L30 20 tokens: L40 30 tokens: L50 Mining (Bar): Copper (both/A), Tin (H/B), Iron (A/C), Mithril (H/D), Thorium (A/E) Herbalism: Peacebloom (H/A), Stranglekelp (A/B), Firebloom (H/C), Purple Lotus (both/D), Arthas' tears (A/E) Skinning (Leather): Light (A/A), Medium (A/B), Heavy (H/C), Thick (both/D), Rugged (H/E) First Aid (Bandages): Linen (A/A), Wool (H/B), Silk (A/C), Mageweave (H/D), Runecloth (both/E) Cooking: Rainbow Fin Albacore (A/A), Lean Wolf Steak (H/B), Roast Raptor (A/C), Spotted Yellowtail (both/D), Baked Salmon (H/E) Please correct any errors! All in all... I'd rather go fishing!	The dude to turn these in to isn't there? wtf?	he is to the right of tinker town in the military ward in ironforge	N/A	N/A
/?quest=8511	The Alliance Needs Light Leather!	60 PvP	1	Both	Item: Alliance Commendation Signet 10 | Item: Ahn'Qiraj War Effort Supplies	Miscellaneous	Bring 10 Light Leather to Bonnie Stoneflayer at the Military Ward in Ironforge. Light Leather (10)	<class>, I do so hope that's the light leather you promised.	Bonnie Stoneflayer	Bonnie Stoneflayer	i cant fing her where is she	i cant find her either	I found this quest here and had linen to spare so I made up the bandages only to get to Ironforge to discover this quest does not seem to exist. Is it coming back? Is there somewhere else that uses the bandages?	i think they don't have it on PVP srvrs...i used 2 play on a normal srvr, and switched 2 pvp, and they don't have it on the new server but they did have it on the old one...	N/A
