# Quest Data for Miscellaneous - Legendary
# Generated: 2025-08-18 17:01:25
# Total quests: 10
# Comment scrape timestamp: 2025-08-18 17:49:06

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=9269	Atiesh, Greatstaff of the Guardian	60 Dungeon	60	Both	9950 XP | Item: Atiesh, Greatstaff of the Guardian	Miscellaneous	Anachronos at the Caverns of Time in Tanaris wants you to take Atiesh, Greatstaff of the Guardian to Stratholme and use it on Consecrated Earth. Defeat the entity that is exorcised from the staff and return to him. Atiesh Cleansed Atiesh, Greatstaff of the Guardian Provided Item: Atiesh, Greatstaff of the Guardian	N/A	Anachronos	Anachronos	N/A	N/A	N/A	N/A	N/A
/?quest=9270	Atiesh, Greatstaff of the Guardian	60 Dungeon	60	Both	9950 XP | Item: Atiesh, Greatstaff of the Guardian	Miscellaneous	Anachronos at the Caverns of Time in Tanaris wants you to take Atiesh, Greatstaff of the Guardian to Stratholme and use it on Consecrated Earth. Defeat the entity that is exorcised from the staff and return to him. Atiesh Cleansed Atiesh, Greatstaff of the Guardian Provided Item: Atiesh, Greatstaff of the Guardian	N/A	Anachronos	Anachronos	N/A	N/A	N/A	N/A	N/A
/?quest=9271	Atiesh, Greatstaff of the Guardian	60 Dungeon	60	Both	9950 XP | Item: Phytoblade0	Miscellaneous	Anachronos at the Caverns of Time in Tanaris wants you to take Atiesh, Greatstaff of the Guardian to Stratholme and use it on Consecrated Earth. Defeat the entity that is exorcised from the staff and return to him. Atiesh Cleansed Atiesh, Greatstaff of the Guardian Provided Item: Atiesh, Greatstaff of the Guardian	N/A	Anachronos	Anachronos	N/A	N/A	N/A	N/A	N/A
/?quest=9257	Atiesh, Greatstaff of the Guardian	60 Dungeon	60	Both	14300 XP | Item: Atiesh, Greatstaff of the Guardian	Miscellaneous	Anachronos at the Caverns of Time in Tanaris wants you to take Atiesh, Greatstaff of the Guardian to Stratholme and use it on Consecrated Earth. Defeat the entity that is exorcised from the staff and return to him. Atiesh Cleansed Atiesh, Greatstaff of the Guardian Provided Item: Atiesh, Greatstaff of the Guardian	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
/?quest=9251	Atiesh, the Befouled Greatstaff	60 Raid	60	Both	6600 XP	Miscellaneous	Anachronos at the Caverns of Time in Tanaris wants the Staff Head of Atiesh and the Base of Atiesh. Staff Head of Atiesh Base of Atiesh	In its current form, the staff is far too dangerous to be in the hands of a mortal.	Anachronos	Anachronos	Both pices drop 100%, the thing that makes it ledgendary is the fact that you have to beat Naxx to get it which imo makes it harder to get than sulfuras or thunderfury despite the higher drop rates on the splenters. What I wanna know is if you have to have neutral rep with norzdormu to turn in this quest since its Anachronos whos giving it.	2100 xp at lvl 57...	lol the funny thing about it is that Kel'thuzad and C'thun are only the tips of the iceberg because the boss you have to fight once the staff is whole is meant to be harder, you only have 5 people and out come a monster duel wielding legendary weps then half way he drops one and you are meant to kick his ass with that so that means he's a challenge for guys who a most likely full tier 3.... so if anyone gets up to him then can you take a screeny for me cause i wanna see something that eats up tier 3's.	Does this mean that someone beat Naxx? I WANT THAT STAFF!	the head piece is simple... Kel'Thuzad the last one is not as first thought from Ouro, but from C'Thun, and drops everytime, as it is a quest item
/?quest=7785	Examine the Vessel	60	60	Both		Miscellaneous	Examine the Vessel of Rebirth and return it to Highlord Demitrian. Vessel of Rebirth Provided Item: Vessel of Rebirth	Will you release him from his eternal prison?	Vessel of Rebirth	Highlord Demitrian	From Highlord Demitrian in Silithius. You gotta be lvl 60 and be Rogue, Pally, hunter(not sure) or warrior. Else you wont see the quest GL and HF	(not sure when u need to obtain essence of) (firelord but you need it for this quest anyway) okay..... yoou need both left and right bindings of windseeker talk to highlord demetrian in sil he guides you to an npc in winterspring, tells you a gob named krixx was swallowed up by a rift in the earth and was meddlin w/ elementium, he holds secrets yada yada gob is in bwl, he wants 1x elementium ore &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp 3x elemental flux &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp 1x fiery core &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp &nbsp 10x arcanite bars now.... it takes 10 elemental bars.... so multiply all those mats by 10x, yea ouch now with all ofthat, return to him, make the bars and go back to highlord demetrian in sil, you give him the items he needs left/right bendings of windseeker, essence of firelord, 10x elementium bar. you go through his stupid speech summon thunderaan defeat him, loot the dormant wind kissed blade (ONLY YOU CAN LOOT) so dont worry about the half your server fighting him thinking they can steal it haha talk to demetrian with the wind kissed blade and he gives you windseeker! now you can do bg or something and walk up to alliance/horde and watch them back away :)	Thundarian has to be killed by a raid&nbsp or you would be pwnd	this must take years i just got 1 part of bindings of the windseeker think its gonna take a hell of a long time for me	where do we guys get the cristal not where the guy ho gives it =/
/?quest=9250	Frame of Atiesh	60 Raid	60	Both	6600 XP	Miscellaneous	Find someone that will help you in recovering the last two pieces of the staff and ridding it of evil. Frame of Atiesh Provided Item: Frame of Atiesh	It was her time, mortal.	Frame of Atiesh	Anachronos	Talk to Anachronos in Tanaris https://classicdb.ch/?npc=15192	Holy $%^ tons of effects on priest one	WTF is the reward?	[url=http://www.wowwiki.com/Atiesh]Atiesh[/url]	takes some work to get but its definately worth it :D that priest staff is realy imba
/?quest=7787	Rise, Thunderfury!	60	60	Both	10900 XP | Item: Thunderfury, Blessed Blade of the Windseeker (1.12)	Miscellaneous	Present the Dormant Wind Kissed Blade to Highlord Demitrian. Dormant Wind Kissed Blade Provided Item: Dormant Wind Kissed Blade	<Demitrian cowers in your presence.>	Dormant Wind Kissed Blade	Highlord Demitrian	One very important thing, is to finish the conversation with Demitrian . Do not run off and spank Thunderaan the second he spawns, like some silly dwarf did, then have the raid group wondering why it never worked. On the plus side, we got to kill him twice.	You get this quest once you kill Thunderaan, no one else can loot or even see the loot once you kill him only the one with the quest for the Thunderfury.	well, the bindings drops for Baron Geddon and Gharr.. they are easy enough but the drop rate is low and you need a drop from both. You also need elementium ore for making this and they are easyest to optain after Broodlord(3 boss in BWL) and ofcurse the 100 arcanite bars that is worth like 3000g if you dont farm it urself:P	lawl, book one drops in MC off baron, tanks in the guild say they dont want it because they would never be able to farm the mats to create it...and they didn't like the odds on the drop of the second binding because some guilds go months and months w.o seeing a drop... sooo I say 'if you all are going to quabble about them I'll say I want them' the tanks, guild leader, and officers agreed and the guilds first binding went to me, a rogue. next week in MC the second binding dropped.. auto looted to me since I already had the other half... the MT freaks out... I farm all teh mats required in about a day and a half, down rag the next day... it took me 18 days to craft my thunderfury from book 1 to the thunderaan kill. good luck to anyone working for this sword, maybe you'll get as lucky as I. Tyrinis, 60 NE Rogue, Sargeras	Still a great tanking weapon for AoE in my mind.
/?quest=7521	Thunderaan the Windseeker	60 Raid	60	Both	100 XP	Miscellaneous	To free Thunderaan the Windseeker from his prison, you must present the right and left halves of the Bindings of the Wind Seeker, 10 bars of Elementium, and the Essence of the Firelord to Highlord Demitrian. Elementium Bar (10) Essence of the Firelord Bindings of the Windseeker Bindings of the Windseeker	Bring the world to its knees if you must!	N/A	N/A	Not sure if there is an error with the rewards on this link 7521 or a continuation of this series of quest that we haven't been able to get yet. [quest=7541] with: The Lost Report - Dig at the 'Loose Dirt' at Swamplight Manor, Swamp Eye Jarl's current residence. - Receive 'Spy's Report'. - Return it to Nazeer Bloodpike in Brackenwall Village. - Nazeer Bloodpike mentions concern over a certain spy but says nothing more. = Experience and Faction with Orgrimmar. The Severed Head - Return to the 'Loose Dirt' and dig some more. - Receive 'Defiant Orc Head'. - Return it to Nazeer Bloodpike. = Experience and Faction with Orgimmar. The Troll Witchdoctor - Speak with Nazeer Bloodpike again. - Take the 'Defiant Orc Head' to Kin`weelay in Grom`Gol Base Camp (Stranglethorn Vale). - Kin`weelay takes the head and puts it in his 'bubbling cauldron' right next to him. - Kin`weelay tells you to speak to the head in the cauldron. = Experience and Faction with Dark Spear Trolls. Marg Speaks - Consult the head in the 'bubbling cauldron'. - Marg wants you to kill Muckshells to get back a pendant that he stole from a human. - Take the pendant to Nazeer Bloodpike. = Experience and Faction with Orgrimmar. Report to Zor - Nazeer Bloodpike wants you to take the pendant to Zor Lonetree in Orgrimmar. - Give the pendant to Zor Lonetree, located just inside Thrall's Fortress. = Experience and Faction with Orgrimmar. Service to the Horde - Speak with Zor Lonetree again. - As thanks, choose between two ring rewards. = Ring, Experience, 1 gold 10 silver, and Faction with Orgrimmar.	Incentive to do quests there probaly. Edited, Sun Mar 27 20:44:26 2005	I could really use that ring! :D Put some more info on t his page, please :)	This quest is a part of a chain of quests: 1 Quest: The Severed Head 2 Quest: The Troll Witchdoctor 3 Quest: Marg Speaks 4 Quest: Report to Zor 5 Quest: Service to the Horde Easy chain of quests, but 3 involves killing L39-L40 things.	N/A
/?quest=7786	Thunderaan the Windseeker	60 Raid	60	Both	10900 XP	Miscellaneous	To free Thunderaan the Windseeker from his prison, you must present the right and left halves of the Bindings of the Windseeker, 10 bars of Elementium, and the Essence of the Firelord to Highlord Demitrian in Silithus. Elementium Bar (10) Essence of the Firelord Bindings of the Windseeker Bindings of the Windseeker	Bring the world to its knees if you must!	Highlord Demitrian	Highlord Demitrian	BEHOLD, the boss: https://classicdb.ch/?npc=14435	[url=http://www.backstabtrolls.com/immo/thunderfury.gif]http://www.backstabtrolls.com/immo/thunderfury.gif[/url]	ok i have copied this from a post by XeniaAmil because i am too lazy to write it all but im not too lazy to click a link on this very page. This quest begins when you loot either the Right or Left half of the Bindings of the Windseeker, which drop of Baron Geddon and Garr in Molten Core. Upon looting one of these, you must travel to Silithus and talk with the Highlord Demetrian, who will then give you the Vessel of Rebirth, which will start the quest. What is required to complete this quest? Right Half of Bindings of the Windseeker Left Half of Bindings of the Windseeker Essence of the Firelord- Quest drop from Ragnaros 10x Elementium Bar Highlord Demetrian will guide you to an NPC in Winterspring, who will tell you of a Goblin named Krixix who was swallowed up by a rift in the earth while meddling with the mysteries of Elementium. It is he who holds the secrets! Krixix is located in Blackwing Lair, of course. Elementium ore drops random off the goblins in BWL as well. So, what�s needed to make a bar of elementium? 1x Elementium Ore 3x Elemental Flux 1x Firey Core 10x Arcanite Bar Multiply that by 10 for the total amount of bars needed and you�re looking at a huge expense. After gathering all the items needed, return to the Highlord Demetrian in Silithus and summon Thunderaan. Rather than gain his blessing, he�s evidently rather angry after his imprisonment, and you must defeat him. After defeating him, you loot the Dormant Wind Kissed Blade and have the now Groveling Demetrian give you Thunderfury, Blessed Sword of the Windseeker. thank u XeniaAmil for saving me the trouble. I personally know this sword exists. on server frostwolf 2 horde have it. Hardcore and Yukito. the are both warriors and at least 2 alliance have this 1 a rogue.	To the hunter who said he would demand this weapon via suicide kings or if denied, would leave his guild: You are an idiot and don't deserve to be in any guild that could afford to make this weapon.&nbsp Get out of WoW and never post in Anonymous again.&nbsp You, and your ilk, are a menace to this community.&nbsp [b] I feel shame that I play the same class as you, you greedy pig. [/b] Now shoo!	This movie demonstrates a raid + some outsiders killing Thunderaan as well as a duel with the Thunderfury blade. [url=http://www.filenuts.com/446.html]http://www.filenuts.com/446.html[/url]
