# Quest Data for Miscellaneous - Reputation
# Generated: 2025-08-18 17:02:30
# Total quests: 48
# Comment scrape timestamp: 2025-08-18 17:49:43

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8818	One Commendation Signet	60	1	Horde		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with the Darkspear tribe. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Horde Commendation Signet	N/A	Officer Vu'Shalay	Officer Vu'Shalay	N/A	N/A	N/A	N/A	N/A
/?quest=8817	One Commendation Signet	60	1	Horde		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with Thunder Bluff. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Horde Commendation Signet	N/A	Officer Thunderstrider	Officer Thunderstrider	N/A	N/A	N/A	N/A	N/A
/?quest=8816	One Commendation Signet	60	1	Horde		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with Undercity. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Horde Commendation Signet	N/A	Officer Gothena	Officer Gothena	N/A	N/A	N/A	N/A	N/A
/?quest=8815	One Commendation Signet	60	1	Horde		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with Orgrimmar. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Horde Commendation Signet	N/A	Officer Redblade	Officer Redblade	where do i get this? is it from bg's or where?	N/A	N/A	N/A	N/A
/?quest=8814	One Commendation Signet	60	1	Alliance		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with the Gnomeregan exiles. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Alliance Commendation Signet	N/A	Officer Porterhouse	Officer Porterhouse	N/A	N/A	N/A	N/A	N/A
/?quest=8813	One Commendation Signet	60	1	Alliance		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with Darnassus. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Alliance Commendation Signet	N/A	Officer Lunalight	Officer Lunalight	N/A	N/A	N/A	N/A	N/A
/?quest=8811	One Commendation Signet	60	1	Alliance		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with Stormwind. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Alliance Commendation Signet	N/A	Officer Maloof	Officer Maloof	N/A	N/A	N/A	N/A	N/A
/?quest=8812	One Commendation Signet	60	1	Alliance		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with Ironforge. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Alliance Commendation Signet	N/A	Officer Ironbeard	Officer Ironbeard	N/A	N/A	N/A	N/A	N/A
/?quest=8830	One Commendation Signet	60	1	Alliance		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with Stormwind. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Alliance Commendation Signet	N/A	Officer Maloof	Officer Maloof	N/A	N/A	N/A	N/A	N/A
/?quest=8832	One Commendation Signet	60	1	Horde		Miscellaneous	For those adventurers who have but a single commendation signet, I'll exchange it for a small amount of recognition with the Undercity. Please bear in mind that it is better to hand over a stack of ten signets at once; your efforts will receive greater recognition in doing so. We offer a single signet exchange as a service for those who don't have enough for a full stack of ten. With that being said, I stand ready to assist you if you still wish to hand in a single signet. Horde Commendation Signet	N/A	Officer Redblade	Officer Redblade	Reward for the quests to open the AQ Gates. Once opened you can no longer attain them but you are able to turn them in for rewards still at NPCs in the major cities.	N/A	N/A	N/A	N/A
