# Quest Data for Miscellaneous - Scourge Invasion
# Generated: 2025-08-18 17:02:42
# Total quests: 18
# Comment scrape timestamp: 2025-08-18 17:49:56

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=9094	Argent Dawn Gloves	60	50	Both	Pick: [Gloves of Undead Cleansing, Handwraps of Undead Slaying, Handguards of Undead Slaying, Gauntlets of Undead Slaying]	Miscellaneous	Necrotic Rune (30)	N/A	N/A	N/A	This was a quest turn-in during the Scourge Invasion, Unfortunatly this quest line is no longer available.	Which NPC do you get these from? Edit: The 'Argent Outfitter' at Light Hope's Chappel [i][small]Edited, Jun 24th 2006 at 5:33pm EDT by DynaIB[/small][/i]	N/A	N/A	N/A
/?quest=9318	Blessed Wizard Oil	60	50	Both	Item: Blessed Wizard Oil	Miscellaneous	Necrotic Rune (8)	N/A	N/A	N/A	I do believe these quests are unavailable now, as the Scourge Invasion has been contained, and the quest was given by Commander Thomas Helleran (https://classicdb.ch/?npc=16361) and the fact that you can't get Necrotic Runes is another reason why it would be unavailable. This quest gave two items, the other was the Consecrated Sharpening Stone (https://classicdb.ch/?quest=9317). This was from the Scourge Invasion, where you would get Necrotic Runes from killing the Scourge. Necrotic Runes dropped from various undead spawns near the Scourge Shards, under the Necropoli. Here is a list of them: Bone Witch - https://classicdb.ch/?npc=16380 Ghoul Berserker - https://classicdb.ch/?npc=16141 Lumbering Horror - https://classicdb.ch/?npc=14697 Skeletal Shocktrooper - https://classicdb.ch/?npc=16299 Spectral Soldier - https://classicdb.ch/?npc=16298 Spirit of the Damned - https://classicdb.ch/?npc=16379 Flameshocker - https://classicdb.ch/?npc=16383	N/A	N/A	N/A	N/A
/?quest=9317	Consecrated Sharpening Stones	60	50	Both	Item: Consecrated Sharpening Stone	Miscellaneous	Necrotic Rune (8)	N/A	N/A	N/A	I do believe these quests are unavailable now, as the Scourge Invasion has been contained, and the quest was given by Commander Thomas Helleran (https://classicdb.ch/?npc=16361) and the fact that you can't get Necrotic Runes is another reason why it would be unavailable. This quest gave two items, the other was the Blessed Wizard Oil (https://classicdb.ch/?quest=9318).	N/A	N/A	N/A	N/A
/?quest=9292	Cracked Necrotic Crystal	60	1	Alliance	Pick: [Blessed Wizard Oil, Consecrated Sharpening Stone]	Miscellaneous	Bring the Cracked Necrotic Crystal to Lieutenant Orrin outside the gates of Stormwind. Cracked Necrotic Crystal Provided Item: Cracked Necrotic Crystal	Is there something you need?	N/A	N/A	I did this with my level 29 Rogue and even with a level 3 Mage. You dont have to help defeat the scourge, but when he's killed you see the yellow mark and u can take the quest at any level. However, it's not very useful because you cannot use the items as a low level and you do not receive any Exp. It did made me neutral with Argent Down, and gave me 200 reputation points.	I think this was a part of that Scourge event that took place a while back where undead showed up all over the world. I'm going to destroy mine. :(	Did the NPC for the quest get deleted? I can find him anywhere in the front area where he's supposed to be.	As a low level mage (alt) I took part in fighting one of those and was able to take the quest. I didn't get any rep from turning in the quest. I think I received no xp from it as well. I guess the&nbsp potions are the sole reward for this.	This was a quest introduced for The Scourge Invasion world event in patch 1.11. The event introduces Naxxramas, a floating necropolis & home to the lich Kel'thuzad. The quests introduced for the event are no longer available.
/?quest=9304	Document from the Front	60	45	Both	3300 XP	Miscellaneous	Take the Smudged Document to the Keeper of the Rolls at Light's Hope Chapel in the Eastern Plaguelands. A Smudged Document Provided Item: A Smudged Document	Yes? What do you have there?	A Smudged Document	N/A	Turned it in to the Keeper of the Rolls in EP - got the 1g 98s as promised, but no rep and no followup.&nbsp Same with 2 other similar docs.&nbsp Bliz could have at least thrown in 25 or 50 rep for it.	you will get an ingame mail 7 days after turning this in.. dunno what it contains though	Received a letter from the Keeper of the Rolls and it tells me there is a living relative. In the Letter is a Sealed Research Report saying who the relative is and where they are... I think they get additional items in their stock, cannot confirm yet.	This was a quest introduced for The Scourge Invasion world event in patch 1.11. The event introduces Naxxramas, a floating necropolis & home to the lich Kel'thuzad. The quests introduced for the event are no longer available.	N/A
/?quest=9301	Envelope from the Front	60	45	Both	3300 XP	Miscellaneous	Take the Bloodstained Envelope to the Keeper of the Rolls at Light's Hope Chapel in the Eastern Plaguelands. A Bloodstained Envelope Provided Item: A Bloodstained Envelope	Yes? What do you have there?	A Bloodstained Envelope	N/A	According to the comments on Document from the Front, most NPCs related to the invasion disappear after the Scourge has been defeated 150 times on your server. If this is correct, these quests can't be handed in!	you will get an ingame mail 7 days after turning this in.. dunno what it contains though	Ya i cant find the guy to turn this quest in either. Theres absolutely no one there at LHC that wants it it seems	I found him, but he has no ? over his head. I just recieved the mail today. He is the vendor up on the hill.	I cant find him. Its like he doesnt want to be found or he just doesnt exist. If i cant finish this quest im gonna go insane.
/?quest=9310	Faint Necrotic Crystal	60	1	Horde	Pick: [Blessed Wizard Oil, Consecrated Sharpening Stone]	Miscellaneous	Bring the Faint Necrotic Crystal to Lieutenant Rukag in the courtyard of the Undercity. Faint Necrotic Crystal Provided Item: Faint Necrotic Crystal	N/A	N/A	N/A	u can't do the quest anymore.	It's at 66.21 On the floor, not in the underground. You will see him when you enter Undercity	Does this quest still exist? Been all over UC, even 66,21 both upper and lower.. Can't find the guy to give the crysal to.	i am lv 14 and did it only did let the guards kill him at the same time as i shot on him,,,lol	Is this quest repeatable? BTW for your information: some UD spawned in SW, I helped killing it. After that a crystal spawned, it gave this quest. Very easy. =)
/?quest=9295	Letter from the Front	60	45	Both	3300 XP	Miscellaneous	Take the Torn Letter to the Keeper of the Rolls at Light's Hope Chapel in the Eastern Plaguelands. A Torn Letter Provided Item: A Torn Letter	N/A	A Torn Letter	N/A	This letter is from the Scourge Invation. If the Scourge Invation is over then the letter is worthless. Loose it!	i have that exact same probalem, i cant find him, i searched 'Keeper of the rolls' and got nothing	On talking to the people your sent to, your allowed to buy some 'friendship bread' and 'lemonjuice' that you needed some degree of reputation to buy before. Its just in the same level as the 'morning glory dew' and 'roast quaill' and those foods and drinks. &nbsp Nothing fancy....kind of not worth the effort keeping it in your bags or bank and go turn it in at all thouse places.	ask a gm?	I found this letter, but I dont know where to deliver it. It only mentions the Chapel in the Eastern Plaguelands, but there is no NPC waiting with an question Mark for me. What to do?
/?quest=9154	Light's Hope Chapel	60	50	Both		Miscellaneous	Deliver the Call to Arms Announcement to the Keeper of the Rolls at Light's Hope Chapel in the Eastern Plaguelands. Call to Arms Announcement Provided Item: Call to Arms Announcement	Welcome to the Light's Hope Chapel <name>, it's an honor to meet you.	N/A	N/A	Trinkalou, I also could not find the keeper of the rolls. Another horde toon showed me where he was supposed to be and he was gone. Either killed by alliance, or it was an event quest that is now over. If anyone can confirm this is over so I can destroy my announcement, I'd be grateful. Thanks.	Nestled in eastern mountains in Eastern Plaguelands. It forms an approximat triangle with Corin's Crossing and Eastwall Tower. Alliance flight path is 80,59. Horde flight path is 80,57.	Just follow the roads East. Hope Chapel at 80,60	Who is the quest giver? I had the Announcement but ended up throwing it away by accident.	I have been all over Light's Hope chapel area and the Keeper of the Rolls is nowhere to be found....did they remove him and make this quest obsolete?
/?quest=9321	Major Healing Potion	60	50	Both	Item: Major Healing Potion	Miscellaneous	Necrotic Rune (15)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
