# Quest Data for Professions - Blacksmithing
# Generated: 2025-08-18 16:59:08
# Total quests: 40
# Comment scrape timestamp: 2025-08-18 17:50:28

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7652	A Blue Light Bargain	60	50	Both		Professions	N/A	N/A	Derotain Mudsipper	Derotain Mudsipper	This quest can be completed even if you haven't chosen your specialization. You only need 265 Blacksmithing.	After you give him your [url=http://classicdb.ch/?item=12359]135 Thorium Bars[/url], if you want to learn and complete the entire [url=http://classicdb.ch/?itemset=321]Imperial Plate Set[/url], you will want to have [url=http://classicdb.ch/?item=12359]114 Thorium Bars[/url], [url=http://classicdb.ch/?item=8170]12 rugged leather[/url], and [url=http://classicdb.ch/?item=7910]1 star ruby[/url]. As stated above, you need to be level 50 and have 265 Blacksmithing. You do not have to have chosen a blacksmith specialty yet. The patterns you will learn for the [url=http://classicdb.ch/?itemset=321]Entire Imperial Plate Set[/url] are: [url=http://classicdb.ch/?item=12688] Imperial Plate Belt[/url] - 10 Thorium Bars to learn pattern (BS:265)[url=http://classicdb.ch/?item=12424]Level 47[/url] [url=http://classicdb.ch/?item=12687]Imperial Plate Shoulders[/url] - 10 Thorium Bars to learn pattern (BS:265) [url=http://classicdb.ch/?item=12428]Level 47[/url] [url=http://classicdb.ch/?item=12690]Imperial Plate Bracers[/url] - 10 Thorium Bars to learn pattern (BS:270)[url=http://classicdb.ch/?item=12425]Level 49[/url] [url=http://classicdb.ch/?item=12700]Imperial Plate Boots[/url] - 20 Thorium Bars to learn pattern (BS:295)[url=http://classicdb.ch/?item=12426]Level 54[/url] [url=http://classicdb.ch/?item=12701]Imperial Plate Helm[/url] - 25 Thorium Bars to learn pattern (BS:295)[url=http://classicdb.ch/?item=12427]Level 54[/url] [url=http://classicdb.ch/?item=12705]Imperial Plate Chest[/url] - 30 Thorium Bars to learn pattern (BS:300)[url=http://classicdb.ch/?item=12422]Level 55[/url] [url=http://classicdb.ch/?item=12715]Imperial Plate Leggings[/url] - 30 Thorium Bars to learn pattern (BS:300)[url=http://classicdb.ch/?item=12429]Level 56[/url] Good luck getting all that thorium.	Derotain Mudsipper in Tanaris will give you this quest (not 100% but I believe between 260 - 270 blacksmith required). This quest is for the Imperial Plate Armor set. You can find Derotain Mudsipper at the following co-ords in Tanaris (gadget). (51,28)	This quest is started in Tanaris by Derotain Mudsipper. I think you have to have 265 Blacksmithing, and I'm an Armorsmith, but I'm not sure if that matters. Anyways, its for the Imperial Plate Armor set. Not sure if theres a prequest before this.	After accepting this quest, all the Imperial Plate quests become available - you don't have to take all if you don't want to.
/?quest=2771	A Good Head On Your Shoulders	45	40	Both	3900 XP	Professions	Bring two Mithril Coifs and one Ornate Mithril Shoulder to Trenton Lighthammer. Mithril Coif (2) Ornate Mithril Shoulder	Have you completed the crafting of the items, <name>?	Trenton Lighthammer	Trenton Lighthammer	The other three pieces of Ornate Mithril plate are learned from this NPC: http://classicdb.ch/?npc=7802 Since you technically need his recipes to complete these quests, it's fair to call his quests a prereq. Nevertheless, carefully consider the cost of all three quests in this line and check the AH for which path is cheaper (buying the armor vs making the armor yourself) All told you need: Mithril Coif x2 Ornate Mithril Shoulder Heavy Mithril Breastplate x2 Ornate Mithril Gloves Heavy Mithril Boots x2 Ornate Mithril Pants To make all the armor yourself you need the total ingredients listed here: Mithril Bar x106 Truesilver Bar x 3 Mageweave Cloth x 18 Thick Leather x 14 Solid Grinding Stone x 3 I strongly suggest you do the math for your realm's AH prices. Often it is significantly cheaper to buy the armor pieces than to make it yourself.	summary all � needed: Mithril�Bar 114 Truesilver�Bar 3 Solid�Grinding�Stone 2 Aquamarine 1 Thick�Leather 14 Mageweave�Cloth 18	OK heres the answer for alliance side This whole mithril smithy buisness starts at Stormwind in the dwarven district.Talk to hank the hammer and youll be on your way to making all the gear you can handle.Be prepared though, Keep EVERY piece of mithril you get your hands on cuz this chain of quests will run you so much mithril youll freak.Good luck! hope this helps	Once you do all the hand ins - you get http://classicdb.ch/?item=10418 Very shiny.	How do u get this Quest ? I'm lvl 52 and Trenton dont give anything :s What's the blacksmith lvl required ?
/?quest=2751	Barbaric Battlements	32	32	Both	2550 XP | Item: Plans: Barbaric Iron Breastplate	Professions	Bring two Patterned Bronze Bracers, two Bronze Greatswords, and two Sharp Claws to Orokk Omosh in Orgrimmar. Patterned Bronze Bracers (2) Bronze Greatsword (2) Sharp Claw (2)	Bronze, <name>! More bronze!!	Orokk Omosh	Orokk Omosh	Total Materials needed to make the 4 items are: x34 [url=https://classicdb.ch/?item=2841]Bronze Bar[/url] (x17 [url=https://classicdb.ch/?item=2840]Copper Bar[/url] and x17 [url=https://classicdb.ch/?item=3576]Tin Bar[/url]) x4 [url=https://classicdb.ch/?item=3478]Coarse Grinding Stone[/url] (x8 [url=https://classicdb.ch/?item=2836]Coarse Stone[/url]) x4 [url=https://classicdb.ch/?item=2319]Medium Leather[/url] x4 [url=https://classicdb.ch/?item=3466]Strong Flux[/url] And then you need x2 Sharp Claw to complete the quest.	If you are 180 in Blacksmithing (which I got at level 32) the Green Iron Hauberk is easily twice as good as this Breastplate. Not nearly as easy to get but I guess in some instances you do get what you pay for (so to speak). Edited, Tue May 31 23:08:12 2005	Here is all things, you need for this Barbaric Iron questes (I hope, I have counted well): Bronze Bar 150 Silver Bar 12 Iron Bar 104 Coarse Grinding Stone 12 Heavy Grinding Stone 4 Strong Flux 16 Medium Leather 16 Heavy Leather 4 Green Dye 10 Citrine 4	You must have a smithing skill of at least 140 to be eligible for this quest.	this is the first quest that orokk gives you and, with the others, allows you to obtain the recipes for the barbaric Iron set the quest REQUIRES the lvl 32, I don't know if it requires a BS lvl to accept it but clearly if you are not lvl 130 you are not able to craft the items needed and if you are not 160 you can't learn the recipe. after this quest the npc gives you the quest [url=http://classicdb.ch/?quest=2752]On Iron Pauldrons[/url]
/?quest=2757	Booty Bay or Bust!	40	40	Both	1550 XP	Professions	Speak with McGavan in Booty Bay. Mithril Insignia Provided Item: Mithril Insignia	A rare breed your kind be, matey. Let me see that insignia.	Ox	McGavan	Horde prerequisite: https://classicdb.ch/?quest=2756	you need to complete the old ways	He is at 80,22 in Valley of Honor. Just outside The Burning Anvil.	I don't get this quest, I'm level 40 and I have all requirements whats up?	I can't even find Ox anywhere, but it migth be because I haven't finished 'The Old Ways'. I hope. I'll be disappointed if I finish that and STILL don't find him anywhere... )
/?quest=5307	Corruption	60 Dungeon	50	Both	8550 XP | Item: Plans: Blazing Rapier	Professions	Find the Black Guard Swordsmith in Stratholme and destroy him. Recover the Insignia of the Black Guard and return to Seril Scourgebane. Insignia of the Black Guard	Have you forgotten what it is that you were tasked with, <name>?	Seril Scourgebane	Seril Scourgebane	it is getting there that is the problem. This is a 5 man quest. However, I learned how to spawn the encounter when I was part of a raid. If you have a the key to the Service Entrance, the problem lies in the mobs between the back door and the Baroness' ziggurat. Once you step out of the service entrance, you will face 3 mobs with 7 baddies each. Head forward and follow the passage into the area where the Baroness' ziggurat comes into view. In this area, the mobs are more manageable, since most groups are between one and three monsters. Simply pull to where you came out off (the drop gate) and fight each group there. Move towards the ziggurat. If you look to the right of the ziggurat, you will see a side street, some boxes and a set of plans on the floor. Clear the area as a precaution, then interact with the plans on the floor. This spawns the undead smithy, with a quote along the lines of 'You will pay for these plans with your bones' (or something similar). 61 elite, if I recall. Not difficult. Once he drops, those with the quest can loot the insignia. And, yes, Undead Stratholme can be 5 manned. The problem lies in getting a group together. We got as far as the Slaughterhouse, but it ended there due to dmg to our gear. 60 tank, 60 and 58 pallies, 57 hunter and 60 mage. Scarlet Strat... well, that's another story.	What you need to do for this quest is to enter Stratholme (Baron run side - Use the back entrance). Once inside you need to find the shop called 'Cash & Sons - Pawn brokers', this shop is right next to Baroness Anastari (NOT the Baron). On the ground right next to the shop is a piece of paper called 'Blacksmithing plans'. When these plans are looted, a Blackguard swordsmith is spawned and attacks you. The Blackguard swordsmith himself is relatively easy, you should have no problem killing him with a level 58-60 group. I was able to duo this guy with a level 60 priest by my side, me being a level 60 paladin with less than tier 0.5 gear.	In order to complete the swordsmithing quest you have to open the blacksmithing plans by the first Ziggurat on the undead side of Stratholme, just after you fight the abominations. The Baroness is at the top of the stairs. The plans are up against the wall directly to the right of the Ziggurat's stairs. When you click on them an elite named mob, the Black Guard Swordsmith, spawns that you have to kill and loot an item from, the Insignia of the Black Guard. Return that item to Seril Scourgebane in Everlook, Winterspring and you're done.	If you're only doing this to become a Swordsmith, you can just talk to the NPC and he will teach you Master Swordsmithing without doing a quest. This is new in The Burning Crusade, as far as I know.	In my previous post above, I was actually wrong! Please ignore it! The Swordsmith is summoned in Strath from a scroll/smithing plans. The scroll is to the right of the tower which houses the 'Baroness', and is on the floor by some barrels.
/?quest=3321	Did You Lose This?	50	40	Both	7100 XP | Item: Glimmering Mithril Insignia	Professions	Wait for Trenton to finish his work. Watch Trenton Work	Today we finalize our celebration of your commitment to the Order.	Trenton Lighthammer	Trenton Lighthammer	as far as i know, you do not need any rep, just to finish all of the quests given to you by Galvan the Ancient and Trenton Lighthammer.&nbsp After you are done with those (need to be a blacksmith)you get this...	I've been waiting almost 10 minutes.&nbsp How long is he supposed to take? I just figured it out -- about 1 minute.&nbsp Something got mucked up and I abandoned the quest and the second time it happened almost right away.	In order to do this quest you need to do a series of other quest first. The starting quest for this chain is in Org by the Blacksmithing area. It then leads to STV for some more quests then finally to Tanaris for even more quests. All involving the Ornate Mithril set. After you complete Trenton's quest then this one is available.	Once you did the first quest for Gavan you can start building stuff for Trenton if you prefer that. Gavan will give you plans for Ornate items Trenton wants. And the other stuff you need for the Trenton quests you can get at the BS in Booty Bay. And wasn't there another item by the Mithril order, you get somhow?	This trinket is godly for druids. Finally I can take down hunters with out 'fear beast' 8 times a fight :> also gives me a 30 second window to kill any druid who tries to hibernate me :| Cat Form FTW! O' and if you think it's not usefull get trinket menu and have it auto-switch from the insignia to this trinket after the insignia is used.
/?quest=7649	Enchanted Thorium Platemail: Volume I	60 Dungeon	50	Both	6600 XP | Item: Plans: Enchanted Thorium Breastplate	Professions	Return the book to its rightful owners. Enchanted Thorium Platemail Provided Item: Enchanted Thorium Platemail	You have recovered a tome!	Enchanted Thorium Platemail	Lorekeeper Lydros	please oh please stop talking about the items and tell us the location. Every single quest I look up some people are talking about how cool something is or some other crap. WE DON'T CARE! Just tell us the Coordinates!	With the introduction of Burning Crusade this quest is available to weaponsmiths also	Hi! Pretty strange that no one describes where to find the top and bottom halves of the first volume! Please give me some facts instead of how it looks. Where do I find the top and bottom halves of the first volume? Leo	I'm am very confused..&nbsp Can anyone explain, exactly, how to begin this quest.&nbsp Something about a spell that combines the top and bottom halves of Advanced Armorsmithing..But, how does one do this?&nbsp Thanks, in advance for any explaination about this.	This is my recommendation for the 3 Enchanted Thorium Platemail parts: - (Self-made) Enchanted Thorium Platemail (Chest, Legs, Helm) very expensive in terms of Arcanite 24 bars for all pieces, but doable - (epic) Stockade Pauldrons (if you can afford this 300 gold item, Increased Defense +15) or Heroic Pauldrons (same design as Stockade Pauldrons, but blue-grey color) - Stonegrip Gauntlets (same design as Heroic Gauntlets, but slightly more grey, Increased Defense +15) or Heroic Gauntlets (blue-grey) - Deathbone Girdle (for the cool looking skull and better stats, grey color) or Heroic Girdle (blue-grey) - Heroic Greaves (grey with excellent texture) - Praetorian Cloak (red-golden color) or Mercurial Cloak (red color) - Medallion of Grand Marshal Morris (Amulet, Increased Defense +15) - Draconian Deflector (Shield, Increased Defense +15) Total Increased Defense using these parts: - Enchanted Thorium Platemail: +38 - Stockade Pauldrons: +15 - Stonegrip Gauntlets: +15 - Medallion of Grand Marshal Morris: +15 - Draconian Deflector: +15 = +98 Increased Defense total
/?quest=7650	Enchanted Thorium Platemail: Volume II	60 Dungeon	50	Both	6600 XP | Item: Plans: Enchanted Thorium Leggings	Professions	Return the book to its rightful owners. Enchanted Thorium Platemail Provided Item: Enchanted Thorium Platemail	You have recovered a tome!	Enchanted Thorium Platemail	Lorekeeper Lydros	Library of Dire Maul	You don't meet the skill requirement. I have the same issue. These were never updated by Blizzard during the expansion. So technically even though we are over 300 skill, their match for the item was EXACTLY 300 skill. I submitted a bug for it. Please do so as well, hopefully they fix it, even though these recipes are mostly trivial now.	I have just turned in Volume I. Now im trying to turn in volum II. Its say I dont meet the requirements to do that. I turnd in Vol I I am lvl 70 Skill 348 in blacksmithing. Any ide as to why I cant turn it in?	First you have to get the top and bottom half of a particular volume. Then you right click on one of them to bind the two together. This makes the book. Once you have the book, right click on the book. That starts the turn in quest. Take the book to the library in Dire Maul. There is an NPC there that accepts these. When you turn them in, he tears out a page and hands it to you (some librarian, eh?). That page is the plans you get.	I have all 6 pages. Havnt binded then yet as I think Im going to give them to my roomate. Although...I have no idea where to turn them in... Anyone here wanna be specific?
/?quest=7651	Enchanted Thorium Platemail: Volume III	60 Dungeon	50	Both	6600 XP | Item: Plans: Enchanted Thorium Helm	Professions	Return the book to its rightful owners. Enchanted Thorium Platemail Provided Item: Enchanted Thorium Platemail	You have recovered a tome!	Enchanted Thorium Platemail	Lorekeeper Lydros	With the introduction of Burning Crusade this quest is available to weaponsmiths also	the Atheneum in Dire Maul :)	Hello, can any1 tell where to deliver the book ? It says deliver to it's owners, but doesnt say who they are :(	Where does top-half drop to form the book?	N/A
/?quest=2765	Expert Blacksmith!	45	40	Both	3900 XP | Item: Signet of Expertise	Professions	Claim your reward from Galvan the Ancient! You Are The Big Winner	N/A	Galvan the Ancient	Galvan the Ancient	just abandon quest retake it then wait akes him about a min to make it he walks to the shed and such but i tried it and finally got it ...hope this helps those who are stuck	I completed this quest at lvl 45 and i got the hammer of expertive which is a one handed 36.4 dps epic! its an asesome weapon that i use when i can ..	Summons a hammer of expertise?&nbsp It didn't do a damn thing noticeable for me.&nbsp What was it suppose to do?	I got the quest from Galvan to talk to Trenton, came and talked to him and he didn't give me jack! What's going on? Do i need to finish the 3 ornate mithril quests Trenton gives me first? I was under the assumption all i had to do was complete Galvan's chain and talk to Trenton to get the trinket :(	did all the quests where i had to deliver all that mithril and those other things for the plans. after that i got another guest and this one i accepted it and waited for him to make it after that i get i completed the quest the signet is a trinket what it does is summoning a mace [url=https://classicdb.ch/?n=hammer%20of%20expertise]hammer of expertise[/url] the trinket takes about 3 hours to regenerade so it kinda blows:D:D if you cant get the signet just abandon quest and start again and wait till hes done making it
