# Quest Data for Professions - Cooking
# Generated: 2025-08-18 16:59:54
# Total quests: 11
# Comment scrape timestamp: 2025-08-18 17:50:36

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=384	Beer Basted Boar Ribs	7	5	Alliance	625 XP | Item: Beer Basted Boar Ribs 5 | Item: Recipe: Beer Basted Boar Ribs	Professions	Ragnar Thunderbrew in Kharanos wants 6 Crag Boar Ribs and a mug of Rhapsody Malt. Crag Boar Rib (6) Rhapsody Malt	I'm going to need six crag boar ribs and a mug of Rhapsody Malt, <name>.	Ragnar Thunderbrew	Ragnar Thunderbrew	The Rhapsody Malt is available from the inkeeper inside	You can find all of your Boars at 48,59.&nbsp Get rid of any threats around you first (e.g. Snow mountain cat).	rhapsody malt: buy it from innkeeper belm	Just kill Crag Boars and NOT Large Crag Boar!!! :) I completed the quest in 6 mins!!!	How to complete [quest=384]: [ol] [li]accept quest /way 46,82, 52,42[/li] [li]buy 1x [item=2894] from [npc=1247] /way 47,33, 52,51[/li] [li]go around /way 48,39, 60,95[/li] [li]kill [npc=1125], [npc=1126] for drop 6x [item=2886] (~48% drop rate)[/li] [li]return quest /way 46,82, 52,42[/li] [/ol] [b]Video guide[/b]: https://youtu.be/oPve-lr-P_U
/?quest=6610	Clamlette Surprise	45	35	Both	3900 XP | Item: Clamlette Surprise 20	Professions	Dirge Quikcleave wants you to get the following items: 12 Giant Eggs. You will find those on the Rocs wandering Tanaris or any other species of large bird. 10 pieces of Zesty Clam Meat. You can find those in clams, naturally! 20 pieces of Alterac Swiss. Get thee to a cheesery! Gather all of the items and return to Dirge. Giant Egg (12) Zesty Clam Meat (10) Alterac Swiss (20)	My cravings are going to be the end of me! Hurry, <name> - before I dip into my own supply.	Dirge Quikcleave	Dirge Quikcleave	The quest can obtained at level 35+ with 225 cooking skill.	At the time of completing this quest I was a level 50 warrior. After minor deliberations concerning time and level efficiency, I determined the following mobs and path was best for someone of the mentioned level to complete this quest... |-- Giant Egg --| • Primitive/Savage Owlbeasts of the Hinterlands -- Average of a 33.5% drop rate -- https://classicdb.ch/?npc=2928 || https://classicdb.ch/?npc=2929 |-- Zesty Clam Meat --| • Big-mouth Clams -- I chose to get these from the Saltwater Snapjaw in the Hinterlands. They have approx a 40% drop rate of the Clams. The clams will always give you a Zesty Clam Meat with the possibility of a variety of pearls. -- https://classicdb.ch/?npc=2505 [Saltwater Snapjaw] || https://classicdb.ch/?item=7973 [Bug-mouth Clam] |-- Alterac Swiss --| • Upon returning to the Kalimdor continent, I chose to make a quick stop off at Freewind Post in Thousand Needles. The Innkeeper Abeqwa for the Alterac Swiss. -- https://classicdb.ch/?npc=11116 At this point you can continue your short flight to Gadgetzan to complete your quest. This was mearly my method. I found this method to be very time and cost efficient for my level. While considering this, there are far more possibilities of completing this quest. I recommend everyone take a few minutes to ponder the best route for your solution to this quest. • Giant Egg [https://classicdb.ch/?item=12207] • Big-mouth Clam [https://classicdb.ch/?item=7973] • Vendors for Alterac Swiss [https://classicdb.ch/?item=8932z0z]	you can kill mobs in tanaris for the eggs and clam meat. the rate is about 40% but that beats flying to hinterlands or felwood. dont know why it would be suggested to do that.	1) Buy the cheese wherever you want to. 2) Kill the turtles in Tanaris for the clams. 3) Kill the roks around the giant bone in Tanaris for the eggs. 4) Kill the doggies around there as well. In fact, just AOE the whole area. They drop http://classicdb.ch/?item=12208 and this will be needed to raise your cooking skill from 225+ to 300. I did this at 70 (mage) just so I could level up to get the blackened basilik skill.	Assuming you fish too, while you're in Tanaris be sure to head out to Steamwheedle and pick up http://classicdb.ch/?item=13939 Spotted Yellowtail are the most common 'trash' fish you'll find pre-Outland, this recipe will take you right up to 295 cooking or so, and Tanaris is the only place you can buy it.
/?quest=8307	Desert Recipe	57	54	Both	3000 XP	Professions	Look for information about cooking Sandworm Meat at the Twilight's Hammer camp west of Cenarion Hold.	N/A	Calandrath	Sandy Cookbook	The scroll you need is located on a crate at 37, 45. You need a minimum cooking skill of 285.	Get 10 sandworm meats ready before turning in the next quest. The final quest in the series, Kitchen Assistance, requires you to cook. You need 10 sandworm meats and 10 soothing spices. Sandworm meat drops of Dredge Striker and Dredge Crusher all over Silithus. Soothing spice can be bought from the General Trade Good vendor near the horde flight path.	If you gather 15 meats total, you'll be able to bring your cooking to level 300 and never have to bother with the Dredge Strikers or Crushers again.	The location is 37, 45 Cooking requirement is 285 minimum Look for a book resting on a table at the location mentioned above.	If you're 70 (or close to it) there's an alternative to either learning and leveling fishing or buying the fish from the AH to get those last skill levels in cooking (275-300). Go visit [url=http://classicdb.ch/?zone=2557]Dire Maul[/url] for [url=http://classicdb.ch/?item=18267]Recipe: Runn Tum Tuber Surprise[/url]. [url=http://classicdb.ch/?item=18255]Runn Tum Tubers[/url], used for the recipe, are really easy to get your hands on at higher (aggro-free) levels and the recipe stays red until 300 as well. That means you don't even have to go pick up this quest. :)
/?quest=862	Dig Rat Stew	23	15	Horde	1850 XP | Item: Recipe: Dig Rat Stew | Item: Dig Rat Stew 5 | Item: Apothecary Gloves	Professions	Bring 8 Dig Rats to Grub east of the Crossroads. Dig Rat (8)	Whack enough dig rats yet, <name>?	Grub	Grub	To find out what cooking level is needed I took a bunch of raw fish, started a fire right by the quest guy and started cooking. I went up to level 75 (max at apprentice) and there was no quest mark. However, as soon as I learned journeyman cooking from the nearby cooking trainer, Grub had a quest for me. So, it appears that rather than needing a specific cooking level, you have to be at least a journeyman cook to get this. I believe you can become a journeyman at cooking skill 50.	(47,84) south camp taurajo	He is in a tower to the east of Xroads (55,31). Took me a bit to find him at first, no one gave coords so there they are.	If you're like me and your main is an Alliance character and you're thinking you'll roll a Horde toon just to get this recipe, then you're in for a long haul. For starters, you have to level your Horde character to level 15 just to be able to accept the quest. However, the dig rats are surrounded by level 21-22 Alliance mobs, so after accepting the quest, you're THEN going to have to level another 5 levels just to complete the quest. That's a pretty heavy commitment just to get a recipe that you're never going to use. Sure, you'll be closer to having all the cooking recipes in the game, but is it worth it? Who am I kidding... of course!	This quest will not be available to you untill you have learned Journeyman Cooking by the Cooking Trainer. The rats are in the pit filled with Bael'dun Excavators (south of Crossroads, The Barrens). - Merowlin
/?quest=2178	Easy Strider Living	12	9	Both	900 XP | Item: Recipe: Strider Stew | Item: Strider Stew 5	Professions	Bring back 5 Strider Meat to Alanndarian Nightsong in Auberdine. Strider Meat (5)	The pot is empty and I'm hungry! What's taking you so long?	Alanndarian Nightsong	Alanndarian Nightsong	The striders that you're looking for can be found at or around these coordinates: 38.58.	This gets you 900 XP and an increase with Darnassus reputation.	At [b]43,30[/b] was a very good place to me :)	Minimum cooking 10 to get this quest.	try hunting the striders down in the twilight vale area in the south part of darkshore.
/?quest=6612	I Know A Guy...	45	35	Alliance	975 XP	Professions	Travel to Gadgetzan in the Tanaris desert and speak with Dirge Quikcleave about advancing your cooking career.	N/A	Daryl Riknussun	Dirge Quikcleave	You must be level 35 and at 225 cooking before you can pickup this quest.	Once you get the quest you need: 12 Giants Eggs 10 Zesty Clam Meat 20 Alterac Swiss The eggs seem to drop only from Rocs not fire rocs. The Clam meat can be gotten by fishing. The Alterac Swiss . . . is what I'd like info on.&nbsp Where can I get that?	I just got the Quest at 35.	leads to http://classicdb.ch/?quest=6610	Alterac Swiss can be bought at the cheese shop near the entrance to Stormwind.&nbsp Also I believe it's available from vendors in Southshore...and probably Alterac.
/?quest=8317	Kitchen Assistance	57	54	Both	3000 XP	Professions	Calandrath at Cenarion Hold needs a batch of 10 Smoked Desert Dumplings. Smoked Desert Dumplings (10)	How are those dumplings coming along?	Calandrath	Calandrath	[url=http://classicdb.ch/?item=20424]Sandworm Meat[/url] is available from the same worms in the [url=http://classicdb.ch/?quest=8280]Securing the Supply Lines[/url] quest chain that you were [i]probably[/i] already on. If not, get on it since you'll be farming the worms anyways. ;) [s][url=http://classicdb.ch/?item=3713]Soothing Spices[/url] are available from [url=http://classicdb.ch/?npc=15179]Mishta[/url], across from the inn.[/s] (Not needed post-3.1, thanks Farfetch.) For a cooking fire, there's a Cooking Brazier straight outside of the inn to the left, towards the blacksmith.	Have to have cooking of 285 to get this quest.	There is a trade goods vendor in front of the building near the horde FP. You can buy the spices there. You can cook at any of the flaming braziers located in the area.	When you're on this step, pick up this quest from Windcaller Proudhorn just to the left of the inn entrance. http://classicdb.ch/?quest=8280	With the changes in cooking trivials in 2.3, this quest seems to have become one of the few means of getting to 300 cooking without high level fish. Definitely worth doing.
/?quest=4161	Recipe of the Kaldorei	7	1	Both	625 XP | Item: Recipe: Kaldorei Spider Kabob | Item: Kaldorei Spider Kabob 3	Professions	Collect 7 Small Spider Legs for Zarrin in Dolanaar. Small Spider Leg (7)	Remember the balance, <name>. I wish you to develop an understanding and a strong empathy for the living forests.	Zarrin	Zarrin	spiders at 60,54 will give u the drops and at a good rate to	This quest requires Cooking 1 to obtain. As the quest giver is also the cooking trainer, this is fairly simple.	Any spider on Teldrassil can drop this. A good spot is 60,58 for the level 5-6 ones. :)	Webwood Lurkers too. I just got two legs off one spider out by a gnarlpine camp near Starbreeze.	N/A
/?quest=8313	Sharing the Knowledge	57	54	Both	6000 XP	Professions	Bring the Torn Recipe Page to Calandrath at the inn in Cenarion Hold. Torn Recipe Page Provided Item: Torn Recipe Page	Did you learn the recipe? You won't keep it to yourself, I hope!	Sandy Cookbook	Calandrath	For those still messing around in Silithus, this quest requires 285 cooking to begin it.	It's a good way for people who don't want to fish to grind out the remainder of their points for cooking.	This quest gives 150 reputation with Cenarion Circle.	It's on a TABLE in the camp...	If your reading this part I'd assume you already did the part before, however the cords are 37,45 on a crate
/?quest=7321	Soothing Turtle Bisque	31	28	Horde	2500 XP | Item: Recipe: Soothing Turtle Bisque | Item: Soothing Turtle Bisque 3	Professions	Bring 10 pieces of Turtle Meat and some Soothing Spices to Christoph Jeffcoat in Tarren Mill. Turtle Meat (10) Soothing Spices	Any luck finding the ingredients? I'll tell you, the alliance maggots are far too numerous in this area now... In my opinion, they have come far too close already...	Christoph Jeffcoat	Christoph Jeffcoat	Turtle meat:&nbsp Up and down river East of Tauren Mill. Soothing Spices:&nbsp Purchased at Undercity cook vendor. 100% Correct...	I got the meat for this in Thousand Needles. At the north end of shimmering flats the turtles are in camps much closer together than in hillsbrad. They are yellow so they don't aggro, making this also a nice grinding spot. https://classicdb.ch/?npc=4142	Lordamere Lake, where you are supposed to kill the turtles is actually located in alterac mountains. [url=https://classicdb.ch/?m=90449]https://classicdb.ch/?m=90449[/url]	Once again Bliz has set up an easy quest... Just grind the turtles on the river to the east... if your really lazy take the Flight to Undercity and check the AH for the items this quest needs... I received the recipe and sold it on the AH for 2g.... You can get the Soothing Spices from the Trades Goods Seller.	I didn't pay too much attention to this quest because the extra low drop rate it has on Hillsbrad I was even going to abandon it. But I went questing to Thousand Needles at Shimmering Flats doing 'Hardened Shells' quest and I got all my meat getting the shells for this quest.
