# Quest Data for Professions - Engineering
# Generated: 2025-08-18 16:59:33
# Total quests: 20
# Comment scrape timestamp: 2025-08-18 17:50:51

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1559	Flash Bomb Recipe	37	30	Both	Item: Schematic: Flash Bomb	Professions	N/A	N/A	Rigglefuzz	Rigglefuzz	[b]Prerequisite:[/b] [url=http://classicdb.ch/?quest=705]Pearl Diving[/url], and you need to be an engineer.	In addition to being cheap to make, this can be used in PvP. Annoying hunter pets and shapeshifted druids hate them as much as you love them. Blue Pearls are found in oysters (opened like chests) in the reefs of STV.	Starts in: Badlands, Rigglefuz (south of angor fortress) Don't have the full information on this quest but it starts after you finish the Pearl Diving quest that he gives you. If you're an engineer he'll have a quest labeled 'Flash Bomb Recipe'. Basically says something along the lines of blah blah blah you're an engineer! Cool, here have a recipe, accept and complete quest, and you get it.	Yo Slerd - yes you can - just did it. He has no Q mark over his head, but the quest is there when you talk to him - just walk up and say thanks! Also watch yr back - the Ogres patrol through here - just got jumped while typing this! Luckily I'm a lot stronger than them now... Enjoy Takuan L52 Druid Scelestus on Aggramar	Requires completion of [url=https://classicdb.ch/quest=705/pearl-diving]Pearl Diving[/url].
/?quest=3630	Gnome Engineering	47	30	Alliance	420 XP	Professions	If you wish to learn more about Gnome Engineering, take the Manual of Engineering Disciplines to Tinkmaster Overspark in Ironforge. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	Yes, yes, what needs of yours might I address today? Clearly, I have the time to do such since all I do is stand here while our beloved city lies in a cloud of irradiated death.	Lilliam Sparkspindle	Tinkmaster Overspark	This is the path for Gnomish Engineering that starts from the engineering trainer in Stormwind.	N/A	N/A	N/A	N/A
/?quest=3632	Gnome Engineering	47	30	Alliance	420 XP	Professions	If you wish to learn more about Gnome Engineering, take the Manual of Engineering Disciplines to Tinkmaster Overspark in Ironforge. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	Yes, yes, what needs of yours might I address today? Clearly, I have the time to do such since all I do is stand here while our beloved city lies in a cloud of irradiated death.	Springspindle Fizzlegear	Tinkmaster Overspark	For those of you who do not read and just ask here it is [b]Straight Up[/b] quoted from the blizzard website~~ &nbsp [i]Gnomish and Goblin Engineering After you think you have mastered Engineering, you are offered a chance to specialize in either Gnomish or Goblin Engineering. You must first reach 200 skill and level 35. Alliance players can then speak to Lilliam Sparkspindle in Stormwind City. Horde players can talk to Tinkerwiz in Ratchet. Then you will be offered some quests to open new recipes for that school of engineering. Oglethorpe Obnoticus is the master Gnomish trainer and is found in Booty Bay. Buzzek Bracketswing is the master Goblin Engineer in Tanaris, Gadgetzan. Once you've selected your side, you cannot switch to the other. You should choose based on what recipes are available. There are some very cool and unique recipes for each side. You have to pick which ones you like the best. It can be a hard decision, they're both good, good luck! [/i]	[pad][div align=center][i]You should choose based on what recipes are available. There are some very cool and unique recipes for each side. You have to pick which ones you like the best.[/i][/div][pad] Does anyone know were I can view the list of recipes for both [b]Gnomish and Goblin Engineering[/b]?	IF you want to change from either goblin or gnome engineering DONT BOTHER as you will waste time and gold on doing so.&nbsp I dropped goblin engineering to start again from level 1 to train as a gnome engineer only to find out that after levelling my skill up I was still a goblin egineer.&nbsp This is probably the same case with Blacksmithing to change from armor to weapon and vice versa.&nbsp So I have now lost all the engineering recipies that I have purcahsed as well as time and gold on retraining which has really P@@@@@ me off :( Has any1 else tried to drop another skill to change the type to find the same problem.	Talk with Tinkmaster Overspark again and he will give you the pledge you support quest.&nbsp You will have to sign a document then turn it back into him for gnome engineering.&nbsp After that he will give you a quest Show your work and you will have to make items and get those back to him also.&nbsp This is the stage I'm at.	i got the quests after i hit like 202-205 engineering
/?quest=3634	Gnome Engineering	47	30	Alliance	420 XP	Professions	If you wish to learn more about Gnome Engineering, take the Manual of Engineering Disciplines to Tinkmaster Overspark in Ironforge. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	Yes, yes, what needs of yours might I address today? Clearly, I have the time to do such since all I do is stand here while our beloved city lies in a cloud of irradiated death.	Tinkerwiz	Tinkmaster Overspark	You just get XP of this Quest or ?	Has anyone done this yet? What does this lead to?	N/A	N/A	N/A
/?quest=3635	Gnome Engineering	47	30	Horde	420 XP	Professions	If you wish to learn more about Gnome Engineering, take the Manual of Engineering Disciplines to Oglethorpe Obnoticus in Booty Bay. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	Hello there! If you've come about a homing robot that may have smashed through a wall of your domicile, then I will refer you to my barrister in advance. Otherwise, what can I do for you today?	Graham Van Talen	Oglethorpe Obnoticus	This quest starts in Ratchet in the Barrens , then goes to Booty Bay , to save time take 1 x accurate scope and 6 x mithril tubes and 2 x advanced target dummy to complete the mini quest while you are there. This will give you a special membership to other recipies.	This is the same book that can be turned in for Goblin engineering - correct?	As of Version 1.7, the master engineer, who will raise your skill level from 240 to 300, is Buzzek Bracketswing: [npc=8736] is the goblin standing next to the Gadgetzen mailbox. You must be a level 35 with 200 engineering skill before you can raise your engineering skill from expert to artisan.	I just learned artisan engineering without knowing that i had to learn my specialty before that, my skill is at 210 right now and i cant see any quests being given for gnomish or goblin engineering. Did I miss my chance or am i just missing something?	correct :)
/?quest=3637	Gnome Engineering	47	30	Horde	420 XP	Professions	If you wish to learn more about Gnome Engineering, take the Manual of Engineering Disciplines to Oglethorpe Obnoticus in Booty Bay. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	Hello there! If you've come about a homing robot that may have smashed through a wall of your domicile, then I will refer you to my barrister in advance. Otherwise, what can I do for you today?	Tinkerwiz	Oglethorpe Obnoticus	In order to specialize to Gnomish engineering you must first do these things, in order. 1. Get artisan engineering. (See my post above to figure this out.) 2. Go to Tinkerwiz in Ratchet. He's in the observatory, next to Gazlowe. 3. Get the Gnome Engineering quest from him. He may have an exclamation point, he may not, but he should still have the quest. 4. Talk to Oglethorpe Obnoticus in Booty Bay. I can't really explain how to get to him, so run to the very center of BB's 'arc' then look for the minimap dot. 5. Complete the quest and the next one he gives you. These are straightforward. 6. Complete 'Show Your Work.' 7. Enjoy. EDIT: The Membership Card Renewal quest Obnoticus offers is only necessary if your Membership Card runs out of time. This is the purpose of the timer on the item tooltip.	Sry my misstake ! He is in Booty By ! Its the goblin enginnermaster that is in Tanaris!	I don't know if the thottbot information is wrong, but I could not get this quest in Ratchet. Instead, I got it in Undercity.	I am level 31 and had 210 skill when I did the quest	I started on the goblin part, but i want to do the gnome part instead. but i cant get the book back, what can i do?
/?quest=3526	Goblin Engineering	47	30	Horde	420 XP	Professions	If you wish to learn more about Goblin Engineering, take the Manual of Engineering Disciplines to Nixx Sprocketspring in Gadgetzan. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	I can smell fresh recruits much like I can an excellent blasting powder - from a mile away. Have you come seeking to learn about the mastery of the explosion?	Graham Van Talen	Nixx Sprocketspring	N/A	N/A	N/A	N/A	N/A
/?quest=3629	Goblin Engineering	47	30	Alliance	420 XP	Professions	If you wish to learn more about Goblin Engineering, take the Manual of Engineering Disciplines to Nixx Sprocketspring in Gadgetzan. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	I can smell fresh recruits much like I can an excellent blasting powder - from a mile away. Have you come seeking to learn about the mastery of the explosion?	Springspindle Fizzlegear	Nixx Sprocketspring	you get the book from the questgiver gnome in IF when you choose which feild of engineering you want to pursue.	Please can someone tell me where i can find this book been looking for a wile now	N/A	N/A	N/A
/?quest=3633	Goblin Engineering	47	30	Both	420 XP	Professions	If you wish to learn more about Goblin Engineering, take the Manual of Engineering Disciplines to Nixx Sprocketspring in Gadgetzan. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	I can smell fresh recruits much like I can an excellent blasting powder - from a mile away. Have you come seeking to learn about the mastery of the explosion?	Tinkerwiz	Nixx Sprocketspring	well i was able to do quest at lvl 34 with 200 engineering...	ok, i'm 33 and i have the quest! At tht time I wasn't able to grind the Mithril, but I had the quest! Now I'm 34, have in the meatime 192 in mining, but can't get to the Mithril! Where can i grind mithril with 34 :-) I can get to the (1) in the Badlands, but try to grind 22bars of mithril in the badlans on pvp^^ anyway, i got the mithril together, built the poles or tubes - what ever, have the 2 target traps, but i'm still missing the book! where do i find this book...? Edited, Fri Aug 5 17:00:40 2005	Do u have to be lvl 47 or lvl 225 with engineering? I have heard both.	N/A	N/A
/?quest=4181	Goblin Engineering	47	30	Alliance	420 XP	Professions	If you wish to learn more about Goblin Engineering, take the Manual of Engineering Disciplines to Nixx Sprocketspring in Gadgetzan. Manual of Engineering Disciplines Provided Item: Manual of Engineering Disciplines	I can smell fresh recruits much like I can an excellent blasting powder - from a mile away. Have you come seeking to learn about the mastery of the explosion?	Lilliam Sparkspindle	Nixx Sprocketspring	Here is a list of Goblin and Gnome devices. (I will list them without typing Goblin or Gnomish infront of each.) GOBLIN JUMPER CABLES ROCKET FUEL RECIPE SAPPER CHARGE MORTAR MINING HELMET CONSTRUCTION HELMET ROCKET BOOTS BOMB DISPENSER DRAGON GUN ROCKET HELMET JUMPER CABLES XL ROCKET LAUNCHER FOREMANS ENCHANTED HELMET FOREMANS REINFORED HELMET DIMENSIONAL RIPPER OVERLOOK DIMENSIONAL RIPPER AREA 52 GNOMISH UNIVERSAL REMOTE CLOAKING DEVICE INLAID MITHRIL CYLINDER PLANS SHRINK RAY GOGGLES NET-O-MATIC PROJECTOR HARM PREVENTION BELT ROCKET BOOTS MIND CONTROL HELMET DEATH RAY FLAME TURRET BATTLE CHICKEN ULTRASAFE TRANSPORTER GADGETZAN ULTRASAGE TRANSPORTER TOSHLEYS POWER GOGGLES You can look at each one and its abilities on this site. HAVE FUN!	i found the starting quest npc for horde in Ratchet he is just right of the bank in a shop and his name is Tinkerwiz.	I Just wished to Add the Post mentioning a hut above Steamwheeled port is the site you use to change engineering. I have used this after dropping engineering to switch over to Gnomish post TBC.	Could somone please supply a list of goblin and gnome gadgets or cool features to each specialty. ty	Maybe not all.&nbsp If you can't renew your membership, you can't get both engineering pets.&nbsp So if you prefer Pet Bombling, start with Goblin.&nbsp Prefer Lil' Smokey, start with Gnomish. One more thing, if you finish with Gnomish engineering, you won't be able to reload your goblin mortar.
