# Quest Data for Raids - Temple of Ahn'Qiraj
# Generated: 2025-08-18 16:55:36
# Total quests: 79
# Comment scrape timestamp: 2025-08-18 17:53:48

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8627	Avenger's Breastplate	60 Raid	60	Alliance	9950 XP | Item: Avenger's Breastplate	Raids	Bring the the Carapace of the Old God, 2 Idols of the Sage, 5 Silver Scarabs and 5 Bone Scarabs to Vethsera inside Ahn'Qiraj. You must also attain Honored reputation with the Brood of Nozdormu to complete this quest. Carapace of the Old God Idol of the Sage (2) Silver Scarab (5) Bone Scarab (5) Brood of Nozdormu (Honored)	At his dwelling in Ahn'Qiraj, dread C'Thun awaits in slumber.	Vethsera	Vethsera	[i]That cult would never die till the stars came right again, and the secret priests would take great Cthulhu from His tomb to revive His subjects and resume His rule of earth.[/i] From [u]The Call of Cthulhu[/u]. Compare to: [b]The terrible fate that awaits Azeroth could come in days or years; time has no meaning for beings of his power. When the stars are favorable, he will lash out against all living beings with terrible wrath. You must find him before then and find a way to bring his existence to an end.[/b] Likewise, [i]In his house at R'lyeh dread Cthulhu waits dreaming. [/i] Compare to the progress text, which says: [b]At his dwelling in Ahn'Qiraj, dread C'Thun awaits in slumber.[/b] Because, of course, C'thun's name is a whack at Lovecraft's character, 'Cthulhu' and the idea of a buried, ancient, evil god is pretty Lovecraftian. Here's another one: [i]'...there is no language for such abysms of shrieking and immemorial lunacy, such eldritch contradictions of all matter, force, and cosmic order...'[/i] When you beat C'thun, your character is told: [b]'...By slaying C'Thun you've not only saved all of Azeroth, you've also tipped the scales of cosmic events beyond your comprehension...'[/b] So rejoice heroes. You're affecting the entire universe with your actions and defeating an evil based on one of the most fearsome villains of all fiction. Gratz.	This set actually beats field marshal's set! And that's a 6 piece set! Wierd cuz warrior AQ gear is worse than field marshal's gear.	You know..... I-JUST-WANT-IT Think this set pwns in PvP, doesn't it?	N/A	N/A
/?quest=8628	Avenger's Crown	60 Raid	60	Alliance	9950 XP | Item: Avenger's Crown	Raids	Bring Vek'lor's Diadem, 2 Idols of Rebirth, 5 Stone Scarabs and 5 Crystal Scarabs to Andorgos in Ahn'Qiraj. You must also attain Friendly reputation with the Brood of Nozdormu to complete this quest. Vek'lor's Diadem Idol of Rebirth (2) Stone Scarab (5) Crystal Scarab (5) Brood of Nozdormu (Friendly)	Have you collected the components I require?	Andorgos	Andorgos	Kek	ITs very cool :D i love it!	Ye, seems like i'm first here. heheheh....^^ So, can any1 link a picture? Ppl say it's ugleh	Just look at the warriors it looks the same but the colour is different	N/A
/?quest=8655	Avenger's Greaves	60 Raid	60	Alliance	9950 XP | Item: Avenger's Greaves	Raids	Bring the Qiraji Bindings of Dominance, 2 Idols of the Sage, 5 Bronze Scarabs and 5 Clay Scarabs to Kandrostrasz in Ahn'Qiraj. This quest also requires Neutral faction with the Brood of Nozdormu. Qiraji Bindings of Dominance Idol of the Sage (2) Bronze Scarab (5) Clay Scarab (5) Brood of Nozdormu (Neutral)	You've acquired the items I requested, <name>?	Kandrostrasz	Kandrostrasz	N/A	N/A	N/A	N/A	N/A
/?quest=8629	Avenger's Legguards	60 Raid	60	Alliance	9950 XP | Item: Avenger's Legguards	Raids	Bring the Skin of the Great Sandworm, 2 Idols of Strife, 5 Bronze Scarabs and 5 Ivory Scarabs to Kandrostrasz inside Ahn'Qiraj. You must also attain Friendly reputation with the Brood of Nozdormu to complete this quest. Skin of the Great Sandworm Idol of Strife (2) Ivory Scarab (5) Bronze Scarab (5) Brood of Nozdormu (Friendly)	Did you bring the components I require, <name>?	Kandrostrasz	Kandrostrasz	N/A	N/A	N/A	N/A	N/A
/?quest=8630	Avenger's Pauldrons	60 Raid	60	Alliance	9950 XP | Item: Avenger's Pauldrons	Raids	Bring the Qiraji Bindings of Dominance, 2 Idols of Life, 5 Crystal Scarabs and 5 Gold Scarabs to Andorgos in Ahn'Qiraj. You must also attain Neutral reputation with the Brood of Nozdormu to complete this quest. Qiraji Bindings of Dominance Idol of Life (2) Gold Scarab (5) Crystal Scarab (5) Brood of Nozdormu (Neutral)	Have you collected the components I require?	Andorgos	Andorgos	N/A	N/A	N/A	N/A	N/A
/?quest=8700	Band of Unending Life	60 Raid	60	Both	6600 XP | Item: Band of Unending Life (1.11)	Raids	Bring 1 Qiraji Magisterial Ring, 2 Alabaster Idols, 5 Bronze Scarabs and 5 Ivory Scarabs to Windcaller Yessendra in Silithus. You must also attain Honored reputation with Cenarion Circle to complete this quest. Qiraji Magisterial Ring Alabaster Idol (2) Bronze Scarab (5) Ivory Scarab (5) Cenarion Circle (Honored)	Did you bring me the ring and materials, <name>?	Windcaller Yessendra	Windcaller Yessendra	This quest is available to [b]druids[/b] only and awards the [b]ring[/b] piece of the [url=?itemset=494]Symbols of Unending Life[/url]. [b]Symbols of Unending Life[/b] [ul] [li][b]Honored:[/b] Ring - [url=?item=21408]Band of Unending Life[/url] ([url=?quest=8700]quest[/url])[/li] [li][b]Revered: [/b] Cloak - [url=?item=21409]Cloak of Unending Life[/url] ([url=?quest=8692]quest[/url])[/li] [li][b]Exalted:[/b] Weapon - [url=?item=21407]Mace of Unending Life[/url] ([url=?quest=8708]quest[/url])[/li] [/ul] This quest requires the [url=?item=20884]Qiraji Magisterial Ring[/url], which can drop from any boss in the [url=?zone=3429]Ruins of Ahn'Qiraj[/url], as well as idols and scarabs which can either drop off trash or can be found inside [url=?object=180691]Scarab Coffers[/url]. Even though it is obtainable at any reputation level, players must reach [b]Honored[/b] with the [url=?faction=609]Cenarion Circle[/url] before being able to complete this quest.	Useless by itself, but the set bonus totaly makes up for it. :|	I kinda agree with the OP, but it is like Blizzard is afraid of making a pure feral class set, isn't it? I mean why yank some useless Int on a potentially decent feral ring and the mace as well? Surely they would know that when changing form we always change our weapons for maximum versatility. ARRGH, sucks balls if you ask me! Its the same with the genesis raiment - a little wont cut it! We want a FERAL druid class item set! WAKE UP BLIZZARD! Edited, Wed Feb 15 18:07:51 2006	The stats are changed... look at [url=www.wowwiki.com/Band_of_Unending_Life]www.wowwiki.com/Band_of_Unending_Life[/url] [i][small]Edited, Jun 27th 2006 at 3:51pm EDT by Zuljar[/small][/i]	After the upgrade, this is one of the best all-round rings ingame.
/?quest=8699	Band of Vaulted Secrets	60 Raid	60	Both	6600 XP | Item: Band of Vaulted Secrets (1.11)	Raids	Bring 1 Qiraji Magisterial Ring, 2 Azure Idols, 5 Gold Scarabs and 5 Clay Scarabs to Windcaller Yessendra in Silithus. You must also attain Honored reputation with Cenarion Circle to complete this quest. Qiraji Magisterial Ring Azure Idol (2) Gold Scarab (5) Clay Scarab (5) Cenarion Circle (Honored)	Did you bring me the ring and materials, <name>?	Windcaller Yessendra	Windcaller Yessendra	This quest is available to [b]mages[/b] only and awards the [b]ring[/b] piece of the [url=?itemset=504]Trappings of Vaulted Secrets[/url]. [b]Trappings of Vaulted Secrets[/b] [ul] [li][b]Honored:[/b] Ring - [url=?item=21414]Band of Vaulted Secrets[/url] ([url=?quest=8699]quest[/url])[/li] [li][b]Revered: [/b] Cloak - [url=?item=21415]Drape of Vaulted Secrets[/url] ([url=?quest=8691]quest[/url])[/li] [li][b]Exalted:[/b] Weapon - [url=?item=21413]Blade of Vaulted Secrets[/url] ([url=?quest=8707]quest[/url])[/li] [/ul] This quest requires the [url=?item=20884]Qiraji Magisterial Ring[/url], which can drop from any boss in the [url=?zone=3429]Ruins of Ahn'Qiraj[/url], as well as idols and scarabs which can either drop off trash or can be found inside [url=?object=180691]Scarab Coffers[/url]. Even though it is obtainable at any reputation level, players must reach [b]Honored[/b] with the [url=?faction=609]Cenarion Circle[/url] before being able to complete this quest.	Well, equip is very nice. I'd prefer more int than stamina, but hey, whatever. nice ring.	Gave up a Maiden's Circle for this (my other ring is a band of servitude) and imo the + to Crit chance is worth it. I currently have a cape of the hakkari worshippers but I think I'll wait till I get the drape of this set to get a subtlety enchant. Comments appreciated.	N/A	N/A
/?quest=8701	Band of Veiled Shadows	60 Raid	60	Both	6600 XP | Item: Band of Veiled Shadows (1.11)	Raids	Bring 1 Qiraji Ceremonial Ring, 2 Onyx Idols, 5 Stone Scarabs and 5 Crystal Scarabs to Windcaller Yessendra in Silithus. You must also attain Honored reputation with Cenarion Circle to complete this quest. Qiraji Ceremonial Ring Onyx Idol (2) Stone Scarab (5) Crystal Scarab (5) Cenarion Circle (Honored)	Did you bring me the ring and materials, <name>?	Windcaller Yessendra	Windcaller Yessendra	This quest is available to [b]rogues[/b] only and awards the [b]ring[/b] piece of the [url=?itemset=498]Emblems of Veiled Shadows[/url]. [b]Emblems of Veiled Shadows[/b] [ul] [li][b]Honored:[/b] Ring - [url=?item=21405]Band of Veiled Shadows[/url] ([url=?quest=8701]quest[/url])[/li] [li][b]Revered: [/b] Cloak - [url=?item=21406]Cloak of Veiled Shadows[/url] ([url=?quest=8693]quest[/url])[/li] [li][b]Exalted:[/b] Weapon - [url=?item=21404]Dagger of Veiled Shadows[/url] ([url=?quest=8709]quest[/url])[/li] [/ul] This quest requires the [url=?item=20888]Qiraji Ceremonial Ring[/url], which can drop from any boss in the [url=?zone=3429]Ruins of Ahn'Qiraj[/url], as well as idols and scarabs which can either drop off trash or can be found inside [url=?object=180691]Scarab Coffers[/url]. Even though it is obtainable at any reputation level, players must reach [b]Honored[/b] with the [url=?faction=609]Cenarion Circle[/url] before being able to complete this quest.	im just doing feild duty till honored then my guild will pony up the mats	N/A	N/A	N/A
/?quest=8711	Blade of Eternal Justice	60 Raid	60	Alliance	6600 XP | Item: Blade of Eternal Justice	Raids	Bring 1 Qiraji Spiked Hilt, 2 Amber Idols, 5 Bronze Scarabs and 5 Ivory Scarabs to Warden Haro in Silithus. You must also attain Exalted reputation with Cenarion Circle to complete this quest. Qiraji Spiked Hilt Amber Idol (2) Bronze Scarab (5) Ivory Scarab (5) Cenarion Circle (Exalted)	Did you bring me the components I require, <name>?	Warden Haro	Warden Haro	This quest is available to [b]paladins[/b] only and awards the [b]weapon[/b] piece of the [url=?itemset=506]Battlegear of Eternal Justice[/url]. [b]Battlegear of Eternal Justice[/b] [ul] [li][b]Honored:[/b] Ring - [url=?item=21396]Ring of Eternal Justice[/url] ([url=?quest=8703]quest[/url])[/li] [li][b]Revered: [/b] Cloak - [url=?item=21397]Cape of Eternal Justice[/url] ([url=?quest=8695]quest[/url])[/li] [li][b]Exalted:[/b] Weapon - [url=?item=21395]Blade of Eternal Justice[/url] ([url=?quest=8711]quest[/url])[/li] [/ul] This quest requires the [url=?item=20886]Qiraji Spiked Hilt[/url], which can drop from any of the later bosses in the [url=?zone=3429]Ruins of Ahn'Qiraj[/url], as well as idols and scarabs which can either drop off trash or can be found inside [url=?object=180691]Scarab Coffers[/url]. Even though it is obtainable at any reputation level, players must reach [b]Exalted[/b] with the [url=?faction=609]Cenarion Circle[/url] before being able to complete this quest.	Shammies get this and we get this crap.. seriously what an insult. Hammer of the Gathering Storm Binds when picked up Main Hand Mace 62 - 137 Damage Speed 2.40 (41.5 damage per second) +10 Stamina +9 Intellect +7 Strength Classes: Shaman Requires Level 60 Passive: Increases damage and healing done by magical spells and effects by up to 53. Gift of the Gathering Storm	Funny how the shammy one is amazingly much better, however - this is one of the few weapons with high dps and some int on it. Still.. Seems a bit unbalanced.	Hunter weapon	lol +53 damage vs 4 mana/5sec?
/?quest=8707	Blade of Vaulted Secrets	60 Raid	60	Both	6600 XP | Item: Blade of Vaulted Secrets	Raids	Bring 1 Qiraji Ornate Hilt, 2 Obsidian Idols, 5 Silver Scarabs and 5 Bone Scarabs to Warden Haro in Silithus. You must also attain Exalted reputation with Cenarion Circle to complete this quest. Qiraji Ornate Hilt Obsidian Idol (2) Silver Scarab (5) Bone Scarab (5) Cenarion Circle (Exalted)	Did you bring me the components I require, <name>?	Warden Haro	Warden Haro	This quest is available to [b]mages[/b] only and awards the [b]weapon[/b] piece of the [url=?itemset=504]Trappings of Vaulted Secrets[/url]. [b]Trappings of Vaulted Secrets[/b] [ul] [li][b]Honored:[/b] Ring - [url=?item=21414]Band of Vaulted Secrets[/url] ([url=?quest=8699]quest[/url])[/li] [li][b]Revered: [/b] Cloak - [url=?item=21415]Drape of Vaulted Secrets[/url] ([url=?quest=8691]quest[/url])[/li] [li][b]Exalted:[/b] Weapon - [url=?item=21413]Blade of Vaulted Secrets[/url] ([url=?quest=8707]quest[/url])[/li] [/ul] This quest requires the [url=?item=20890]Qiraji Ornate Hilt[/url], which can drop from any of the later bosses in the [url=?zone=3429]Ruins of Ahn'Qiraj[/url], as well as idols and scarabs which can either drop off trash or can be found inside [url=?object=180691]Scarab Coffers[/url]. Even though it is obtainable at any reputation level, players must reach [b]Exalted[/b] with the [url=?faction=609]Cenarion Circle[/url] before being able to complete this quest.	All classes has 3 invidual quests from the cenarion hold. Just like the ZG quests you need to get a certain reputation with that certain prople. for this quest you need to gather things from inside AQ (Both 20 and 40) when certain things is gathered, your can turn it in and get this sword. For this one as you see you need ot be exalted, there is one allso for friendly and honored. (havent seen a Revered type of quest)	The 3 class quests require Honored, Revered and Exaulted. Friendly gets you nothing.	WTB Exalted, PST	Which boss does this drop off of?&nbsp Is it AQ20, AQ40, and what number is the boss in sequence?&nbsp I.e., 3rd boss in AQ20? Thanks, ~Ezer
