# Quest Data for Raids - Zul'Gurub
# Generated: 2025-08-18 16:54:56
# Total quests: 38
# Comment scrape timestamp: 2025-08-18 17:54:16

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8240	A Bijou for Zanza	60	58	Both	6600 XP | Item: Zandalar Honor Token	Raids	Destroy any one of the Hakkari Bijous found in Zul'Gurub at the Altar of Zanza on Yojamba Isle. When done, speak with Vinchaxa nearby.	Have you destroyed the bijou at the Altar of Zanza? Do so, and then you will be doubly blessed by Zanza!	Vinchaxa	Vinchaxa	Worked for me, right click your Bijou at the altar is all. 75 Points for destroying the Bijou 50 Points for the honor token (Given when destroyed) 125 Points for the quest 50 Points for the honor token - (Quest reward) 50 Points for the honor token - (Comes later in the mail) --------------- 375 Total Points for the first time ============================================= 75 Points for destroying the Bijou 50 Points for the honor token --------------- 125 Total Points for all subsequent times Apparently its only worth it doing it one time...Bijous are valuable elsewhere Edited, Wed Feb 15 17:13:00 2006	In order to complete this quest you need to 'use' a bijou (any color will do) in front of the altar in the temple at Yojamba Isle. After you destroy the bijou, you get a Zandalar Honor Token (https://classicdb.ch/?item=19858) that you can use to get reputation with the Zandalarian Tribe. When you complete the quest, Vinchaxa will give you another Token.	use the bijou and it will be destoryed. Destroy the Bijou, 75points, Get one token by destroy bijou, 50points, Turn the quest, 150points, Get one token as reward, 50points, 325points after complete the quest. Its not repeatable, so only 125points every bijou then. Edited, Sun Sep 18 09:05:06 2005	Will you still get reputation when you kill mobs after hitting revered?	In 1.10 the first time quest completion is 150 reputation instead of 125 reputation stated by Nastiezo
/?quest=8201	A Collection of Heads	60 Raid	58	Both	9950 XP | Pick: [Belt of Shrunken Heads, Belt of Shriveled Heads, Belt of Preserved Heads, Belt of Tiny Heads]	Raids	String 5 Channeler's Heads, then return the Collection of Troll Heads to Exzhal on Yojamba Isle. Gurubashi Head Collection Provided Item: Sacred Cord	Do you have the collection of heads, <name>? We must stop Hakkar from gaining more power!	Exzhal	Exzhal	Actually, not sure if this is a bug or not, but it would seem that you can loot the head off any aspect. Meaning if you kill the snake boss on 5 seperate resets, you can finish this quest. We dropped all the aspects in one night and I forgot to loot the head off the Panther. The next night when we got a reset instance, I looted the final head off the snake. Easy quest, easy rep.	This quest is obtained on a little island in the northwest of Stranglethorn vale. you must collect the heads of each boss in Zul'grub and then string them together with the sacred cord that the quest giver gives you. the quest starts and ends at the same person named Exzhal.	Turning this in with neutral rep gains you +200 Reputation.	This quest is good now for those who are doing ZG. You will receive a good amount of gold after 1.10 was released and if you're doing ZG you will kill the bosses anyways :P So it gives 6g and like 100 reputation I think, and if the reward is bad you can sell it :P	and of course not worth it for a mage/warlock
/?quest=8181	Confront Yeh'kinya	58 Raid	40	Both	6200 XP | Pick: [Faded Hakkari Cloak, Tattered Hakkari Cape]	Raids	Speak with Yeh'kinya.	N/A	Prospector Ironboot	Yeh'kinya	This is part of a long chain quest designed to familiarize you with Zul'Gurub and the Zandalar Tribe. Much of the rewards are decent for their level. The Faded Hakkari Cloak is only slightly worse than everyone's favorite Hide of the Wild. Definitely a worthwhile chain for someone that doesn't want to shell out for the Hide. Here's the full quest chain: - Screecher Spirits(Feralas) - https://classicdb.ch/?quest=3520 - The Prophecy of Mosh'aru(Zul'Farrak) - https://classicdb.ch/?quest=3527 - The Ancient Egg(Hinterlands) - https://classicdb.ch/?quest=4787 - The God Hakkar(Temple of Atal'Hakkar) - https://classicdb.ch/?quest=3528 - The Lost Tablets of Mosh'aru(Eastern Plaguelands) - https://classicdb.ch/?quest=5065 - The Final Tablets(Lower Blackrock Spire) - https://classicdb.ch/?quest=4788 - Confront Yeh'kinya(Tanaris) - https://classicdb.ch/?quest=8181 - The Hand of Rastakhan(Stranglethorn Vale) - https://classicdb.ch/?quest=8182	Yeah, it sucks, you have to do these quests first: Screecher Spirits The Prophecy of Mosh'aru The Ancient Egg The God Hakkar The Lost Tablets of Mosh'aru After that, talk to Ironwhatever in Tanaris and get the quest 'Confront Yeh'kinya', talk to Yeh'whatever and get the cloak.	Does have a follow-up: [url=https://classicdb.ch/quest=8182]https://classicdb.ch/quest=8182[/url]	the really nice thing is all the xp you get from doing this chain. gnuuj counted it up and it came to 41700. i dont know about you guys, but im lvling an alt, and this chain should help a great deal. its a rogue, so i would be doing these instances anyway (i dont run LBRS on my paladin). if my memory serves me correctly, the ST part of this gives avenguard helm, lightforce dagger, and some cloth item. my paladin wore that helm until i got lightforge, so it is worth the time, and that dagger is the only one i know of to replace my coldrage dagger from RFD for a good while. ZF might drop one somewhere, but i have yet to see it(barman shanker = pain in the ass. DOTs suck for my play style) to wrap up a post im sure has started rambling and is probably bugging you by now, i think this chain is a very nice one to do for someone trying to lvl and get decent gear, especially at the same time [u]credit where credit is due:[/u] thank you, gnuuj, for providing us with the information on the total xp count	Does anyone know why this quest is in the quest log as a raid quest? Also on some of the websites that tell you what end-game content there is available to you this part comes under Zul'Gurub. Ever so slightly weird.
/?quest=8196	Essence Mangoes	60	58	Both	Item: Essence Mango 10	Raids	Additional requirements to obtain this quest: Your reputation with Zandalar Tribe must be at least Honored The extremely potent essence mango grows across many of the islands in the South Seas. A single mango will refresh those who eat it, both physically and mentally. If you've never had one, you do yourself a disservice!	N/A	Rin'wosho the Trader	Rin'wosho the Trader	They're worthless, just use the tokens to get rep.	Is there actually a point to these mangoes? They cost an honor token, but they don't have anything that makes them better than Enriched Manna Biscuits.	Quest text suggested that the mango would instantly restore health and mana. Glad I didn't get suckered into wasting my tokens.	This quest is stupid, why would you trade a token for just 10 foods? Does the quest also give the rep you would normally get from the token or something? Edited, Sun Oct 2 02:44:26 2005	Rin'wosho the Trader says: The extremely potent essence mango grows across many of the islands in the South Seas. A single mango will refresh those who eat it, both physically and mentally. If you've never had one, you do yourself a disservice! We have enough of a supply here on the isle to offer you a handful in exchange for a Zandalar Honor Token. Speak with Vinchaxa if you need to learn how to get tokens otherwise, let's get to the business at hand! ------------------------------------------------------------------------------ Continue: A fair trade, my friend - please enjoy the luscious fruits of the South Seas, with the tribe's blessing. ------------------------------------------------------------------------------ This quest only appeared after I reached honored with the Zandalar Tribe. And the Essence Mango (10 of them) that you receive restores 2550 health and 4410 mana over 30 sec. Must remain seated while eating.
/?quest=8238	Gurubashi, Vilebranch, and Witherbark Coins	60	58	Both	Item: Zandalar Honor Token	Raids	I seek the Paragons of Power known as the Coins of the Tribes. They are the currency used by the various denizens of Zul'Gurub, and each is imbued with subtle but powerful mojo. There are nine distinct kinds to be found. Should you have any extra, I will trade you one of our Honor Tokens for a set of three. You may use the Tokens with Rin'wosho the Trader; he offers our heroes special items for them. Gurubashi Coin Vilebranch Coin Witherbark Coin	N/A	Vinchaxa	Vinchaxa	Where do you turn them in?	The island is called Yojamba Isle and is located at 15,16 in Stranglethorn Vale.	25points per turn in, and the Token 50points, 75 points total	N/A	N/A
/?quest=8227	Nat's Measuring Tape	60 Raid	58	Both	650 XP	Raids	Return Nat's Measuring Tape to Nat Pagle in Dustwallow Marsh. Nat's Measuring Tape Provided Item: Nat's Measuring Tape	Hello there, <laddie/lassy>. You here to do some fishing?	Battered Tackle Box	Nat Pagle	After you turn this in, you can get mudskunk lures to summon Gahz'ranka in ZG. In addition to the lures you will need to catch 5 zulian mudskunks from muddy churning waters in ZG. I've noticed you need at least 380 fishing skill to catch them. I was able to catch with with 260 skill + aquadymamic fish attractor (+100 skill) + a the fishing pole that gives +25 to skill.	Ok.Ppl this quest is need it to summon Gahz`Ranka, the 6th boss in Zul`Gurub.Wene u have Nat's Measuring Tape quest go in Dustwallow Marsh at Nat Pagle Npc(coord 58,60)and after u can buy from him Mudskunk Lure that must be loaded with 5xZulian Mudskunk fishs(u can get them only in Zul`Gurub waters)	He's at 58,60.	If you have fishing skill, you'll be able to talk to Nat Pagle about..y'know...the weather and fishing, and big freakin' monsters that live in the water. And he'll tell you how to summon such big freakin' monsters ([url=/npc=15114]Gahz'ranka[/url]) and sells [item=19974] which is used.	Can be picked up solo by any level 70, did it as a warrior. With a bit of coordination you should be able to get to Pagle's Point (shown on various map addons as the spawn location of Gahz'Ranka) without aggroing anything. I went over the first bridge, then north down into the water and across, over the 2nd bridge, over the path south of Arlokk's temple, and shortly after south to Pagle's Pointe where I was able to pick up the measuring tape from the battered tackle box. If you manage to aggro a Frenzy while in the water, you should normally go out of combat again shortly after getting out of the water.
/?quest=8074	Paragons of Power: The Augur's Belt	60 Raid	60	Both	6600 XP | Item: Zandalar Augur's Belt (1.11)	Raids	Bring Maywiki of Zuldazar a Primal Hakkari Girdle. You must also have a reputation equal to or greater than Honored with the Zandalar Tribe. Maywiki of Zuldazar is located on Yojamba Isle, Stranglethorn Vale. Primal Hakkari Girdle Zandalar Tribe (Honored)	The Paragons of Power are what I need mon - we'll tap the power right out of them in our fight against the evil from Zul'Gurub. Do ya have them for me?	Maywiki of Zuldazar	Maywiki of Zuldazar	N/A	N/A	N/A	N/A	N/A
/?quest=8056	Paragons of Power: The Augur's Bracers (Raid)	60 Raid	60	Both	6600 XP | Item: Zandalar Augur's Bracers (1.11)	Raids	Bring Maywiki of Zuldazar a Primal Hakkari Armsplint. You must also have a reputation equal to or greater than Friendly with the Zandalar Tribe. Maywiki of Zuldazar is located on Yojamba Isle, Stranglethorn Vale. Primal Hakkari Armsplint Zandalar Tribe (Friendly)	Got the Paragons of Power from Zul'Gurub that I need? These bracers are well worth any effort ya be needin' to make!	Maywiki of Zuldazar	Maywiki of Zuldazar	N/A	N/A	N/A	N/A	N/A
/?quest=8075	Paragons of Power: The Augur's Hauberk	60 Raid	60	Both	6600 XP | Item: Zandalar Augur's Hauberk	Raids	Bring Maywiki of Zuldazar a Primal Hakkari Tabard. You must also have a reputation equal to or greater than Revered with the Zandalar Tribe. Maywiki of Zuldazar is located on Yojamba Isle, Stranglethorn Vale. Primal Hakkari Tabard Zandalar Tribe (Revered)	The Paragons of Power are a key source of magic power - the same kind of power that goes into makin' the augur's hauberk. Bring me what I need, and I'll be able to share the finest of vestments any Zandalar augur would be wantin' as their own.	Maywiki of Zuldazar	Maywiki of Zuldazar	is there a way to power rep with them	You have to do ZG so many times to ever get this, while there are other ways to get a better chest faster.	Keel bosses! Im 4k from revered, I need this !@$ty chest so I can show my TS leggs! Stupid EF vestment :(	It's become a lot easier to get the rep, only 2,8k away from revered now. Too bad that 1) i haven't got the epic item yet 2) Hakkar is tough as nails now :) And yes, it's THE chest for an elemental shammy.	N/A
/?quest=8070	Paragons of Power: The Confessor's Bindings	60 Raid	60	Both	6600 XP | Item: Zandalar Confessor's Bindings (1.11)	Raids	Bring Al'tabim the All-Seeing a Primal Hakkari Sash. You must also have a reputation equal to or greater than Honored with the Zandalar Tribe. Al'tabim the All-Seeing is located on Yojamba Isle, Stranglethorn Vale. Primal Hakkari Sash Zandalar Tribe (Honored)	The Paragons of Power... do you have them? Only when we have them will we be able to make use of the latent power stored inside them. It will be good to turn the tables on the minions of the Blood God...	Al'tabim the All-Seeing	Al'tabim the All-Seeing	N/A	N/A	N/A	N/A	N/A
