# Quest Data for World Events - Darkmoon Faire
# Generated: 2025-08-18 17:03:45
# Total quests: 44
# Comment scrape timestamp: 2025-08-18 17:55:03

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7935	10 Tickets - Last Month's Mutton	60	25	Both	Item: Last Month's Mutton	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (10)	N/A	Gelvas Grimegate	Gelvas Grimegate	this guy is going in my weird mace collection together with cookies tenderizer, petrified skull mace(or something like that) and a few others... ^^	N/A	N/A	N/A	N/A
/?quest=7932	12 Tickets - Lesser Darkmoon Prize	60	30	Both	Item: Lesser Darkmoon Prize	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (12)	N/A	Gelvas Grimegate	Gelvas Grimegate	The average value from vendoring the junk or auctioning the rare and recipes comes to around 2 gold 43 silver per prize.	A ring with +5 str/agi.	i got a 12 slot bag :/	I returned it 6 times, and always recieved lvl 31+ green item or two, together selling to vendor for 1g-1g45s	This prize gave me a Twilight Cuffs of the Owl. Level 31 green cloth bracers, 21 armor with 5 intellect and spirit. Okay I guess. Sent it off to a guildie for disenchanting. Another attempt gave me Sentinel Cloak of the Eagle, 24 armor with 5 intellect and stamina, another green level 31 item. Edited, Mon Sep 5 21:00:51 2005
/?quest=7981	1200 Tickets - Amulet of the Darkmoon	60	55	Both	Item: Amulet of the Darkmoon (1.7)	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (1200)	N/A	Gelvas Grimegate	Gelvas Grimegate	If you're the industrious melee type, and you're not in a raid guild, Darkmoon Faire offers one of the best neck pieces available to you with this item. You will have to work to get the 1200 tickets to get the item. I have found that farming rugged leather and making rugged armor kits was a fast way to get tickets. Here is a breakdown: 8 rugged armor kits = 20 tickets. You'll need 480 rugged armor kits to get the required 1200 tickets. It is completely obtainable with some work, and it is a great reward for the effort.	You can obtain either the Orb or Amulet of the Darkmoon by collecting tickets by handing in specific items. These items can range from [url=http://classicdb.ch/?item=5134]Small Furry Paw[/url] to [url=http://classicdb.ch/?item=19933]Glowing Scorpid Blood[/url] as well as many crafted items by Blacksmiths, Engineers and Leatherworkers. [b]Note:[/b] In all of this, the auction house is your friend! You can gain a head start by solely handing in [url=http://classicdb.ch/?item=5117]Vibrant Plumes[/url]. If you hand in other low level items you will gain less tickets and require more of an effort with the higher end - so don't do it! A total of [b]125[/b] [url=http://classicdb.ch/?item=5117]Vibrant Plumes[/url] is required for [b]25[/b] turn ins (5 per turn in.) Giving you a total of 300 tickets. Now you require 900 more tickets. For maximum ticket gain, at 20 tickets per turn in, you have a choice of: 10 x [url=http://classicdb.ch/?item=11404]Evil Bat Eyes[/url], 10 x [url=http://classicdb.ch/?item=19933]Glowing Scorpid Blood[/url], 8 x [url=http://classicdb.ch/?item=12644]Dense Grinding Stones[/url], 6 x [url=http://classicdb.ch/?item=15994]Thorium Widgets[/url] or 8 x [url=http://classicdb.ch/?item=15564]Rugged Armor Kit[/url]. This equates to 45 turn ins, or depending on your choice of item: [ul] [li]450 [url=http://classicdb.ch/?item=11404]Evil Bat Eyes[/url] (45 stacks.)[/li] [li]450 [url=http://classicdb.ch/?item=19933]Glowing Scorpid Blood[/url] (45 stacks.)[/li] [li]1440 [url=http://classicdb.ch/?item=12365]Dense Stone[/url] (72 stacks.)[/li] [li]810 [url=http://classicdb.ch/?item=12359]Thorium Bar[/url] (40.5 stacks,) and 270 [url=http://classicdb.ch/?item=14047]Runecloth[/url] (13.5 stacks.)[/li] [li]1800 [url=http://classicdb.ch/?item=8170]Rugged Leather[/url] (90 stacks.)[/li] [/ul] Good luck! ^_^	It depends greatly on your server's economy on which way is cheapest... Typically it's dense stone, but sometimes it's thorium bars. Here's a quick way to find out how much it's going to cost you per turnin: Multiply the cost of one stack (20) of each item by the following: 2 for rugged leather, 1.6 for dense stone, and for the widgets, .9 * Thorium Bars + .3 * Runecloth. Therefore, let's say that on your server, thorium bars cost 3g a stack, runecloth 1g, rugged leather 2g and dense stone 2g. That means each turn in costs 3g for thorium, 4g for leather, and 3.2g for stone. (for a total of 180g for 1200) Now you usually will end up using a combination, depending on what is on the AH at any given time, or your own farming skills, but this is a handy tool for those who plan on buying a majority of it.	There's absolutely no way this necklace is worth the tickets.	Rugged Armor Kits: 2400 Rugged Leather= 480 Rugged Armor Kits= 1200 Tickets (Made by Leatherworking) Thorium Widget's: 1080 Thorium Bar's AND 360 Runecloth= 360 Thorium Widget's = 1200 Ticket's (Made by Engineer's) Dense Grinding Stone: 1920 Dense Stone = 480 Dense Grinding Stone = 1200 Ticket's (Made by Blacksmith's) These are just the main things I am going to turn in, I didn't want to waste my doing the math for all the other ones. These are the correct Number's, So there is no reason to second guess it. -Othilo
/?quest=7940	1200 Tickets - Orb of the Darkmoon	60	55	Both	Item: Orb of the Darkmoon (1.7)	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (1200)	N/A	Gelvas Grimegate	Gelvas Grimegate	To get the 1200 tickets needed for this, you'll need to do 60 turnins at 20 tickets each. It depends greatly on your server's economy on which way is cheapest... Typically it's dense stone, but sometimes it's thorium bars. Here's a quick way to find out how much it's going to cost you per turnin: Multiply the cost of one stack (20) of each item by the number of stacks per turnin: 2 for rugged leather, 1.6 for dense stone, and for the widgets, .9 * Thorium Bars + .3 * Runecloth. Therefore, let's say that on your server, thorium bars cost 3g a stack, runecloth 1g, rugged leather 2g and dense stone 2g. That means each turn in costs 3g for thorium, 4g for leather, and 3.2g for stone. (for a total of 180g for 1200) Now you usually will end up using a combination, depending on what is on the AH at any given time, or your own farming skills, but this is a handy tool for those who plan on buying a majority of it.	Tickets are recovered by turning in several player crafted items. However you must actually do this profession yourself (ie to turn in thorium widgets, you must be an engineer). Be warned it took me around 1000 thorium bars and a little over 300 Runecloth to get my 1200 tickets! Well happy hunting those of you with much patience, I won't wear the necklace much to be honest but it was quite a feeling of accomplismnet =)	Correct me if I am wrong, but passive on-equip 22 spellpower is close to the max you can get in a neck item pre-BWL, no? I believe things like the Orb and other Epics have been put into the game to give solo-players and players not in a raiding guild something to work towards (and pay Blizz $$ in the process). For the effort involved (I got my tickets via Rugged Armor Kits, like most), this is not too bad an item for a dmg set.	the most spell damage you can get for a neck in the game is Choker of the Fire lord off Ragnaros(34), this item has the fifth most behind CotFL(MC), Malice Stone Pendant (Naxx), Amulet of Vek'nilash (AQ 40) and Charm of the Shifting Sands (AQ 20)	Is i really worth it?
/?quest=7933	40 Tickets - Greater Darkmoon Prize	60	45	Both	Item: Greater Darkmoon Prize	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (40)	N/A	Gelvas Grimegate	Gelvas Grimegate	i get this pattern: [item=14478]	[item=13487] Water to Undeath from this prize tonight.	2 Times in a row I have received travelers backpack, instead of me wasting 50 tickets for the same slots. Afterwards I got a lesser and I got an item worth 5g. Also. Buy Vibrant Plumes for 50g for a 10 stack... Get 24 Tickets for it.	I got a jewelcrafting recipe. wtf? Xp is a month away and i'm getting items for it *shrug* -m	for what this and the lesser prize may contain? thx
/?quest=7930	5 Tickets - Darkmoon Flower	60	6	Both	Item: Darkmoon Flower	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (5)	N/A	Gelvas Grimegate	Gelvas Grimegate	What does this look like?	N/A	N/A	N/A	N/A
/?quest=7931	5 Tickets - Minor Darkmoon Prize	60	15	Both	Item: Minor Darkmoon Prize	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (5)	N/A	Gelvas Grimegate	Gelvas Grimegate	I got a Blackfang, 2silver, and a green belt who's name escapes me at the moment.	Can you only get this 'quest' at level 60?It says level 15+ can use it.	Got a lvl 20, 12.8DPS, one-hand mace with +7 shadow spell damage.	This prize gave me a level 18 green item, a leather belt. Strength and stamina, don't remember what it was called. I sent it off to a guildie for disenchanting.	I got Shimmering Boots of the Owl, Forest Leather Mantle, Oak Mallet of the Whale, Seer's Padded Armor, and Plans: Iridescent Hammer. Not to bad, but definately not like the quest where you turn in a crystal to the crazy draenai.
/?quest=7934	50 Tickets - Darkmoon Storage Box	60	6	Both	Item: Darkmoon Storage Box	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (50)	N/A	Gelvas Grimegate	Gelvas Grimegate	Would be to a low lvl who saved up...	This is a great quest to complete when the [url=http://classicdb.ch/?faction=909]Darkmoon Faire[/url] comes around. Great for rerollers or people who want an easy way out of getting a bigger bag that is fourteen slots. Farm [url=http://classicdb.ch/?item=5117]Vibrant Plumes[/url] from the Harpies in [url=http://classicdb.ch/?zone=400]Thousand Needles[/url] or the ones in [url=http://classicdb.ch/?zone=357]Feralas[/url]. I personally found farming the harpies in [url=http://classicdb.ch/?zone=357]Feralas[/url] to be the best way to collect these plumes if you are around level 45. This is also a great spot to farm [url=http://classicdb.ch/?item=4338]Mageweave Cloth[/url].	Maybe it's just me, but unless there's something IN the bag, I can't see this being worth it, since a Runecloth Bag can be had for like 3g or less and there are at least two quests that I know of with a 14 slot bag as a reward.	There is nothing in this container. As the name says, it's an item where you can keep other stuff. Which means - there's none in it from the start.	i got one of these by accident ( clicked on the wrong line) was a little mad at myself I didnt need it I have all 16's so I put it in the AH for a 10g buyout and it sold! In about 30 min. though this was the first month the faire was active so it wouldnt happen again I just lucked out that someone hadn't seen one before lol
/?quest=7936	50 Tickets - Last Year's Mutton	60	45	Both	Item: Last Year's Mutton	World Events	Step right up, step right up! If you have tickets from the Darkmoon Faire you'd like redeemed, then just say so! You can redeem tickets in various denominations for wondrous and fantastic prizes. Don't be shy, give it a try! Darkmoon Faire Prize Ticket (50)	N/A	Gelvas Grimegate	Gelvas Grimegate	mope, foul(unholy) one, fits description perfectly	Its so fun to dual wield this thing with Crochet Hat, Blue Overalls and White Linen Shirt.	This sooo needs a Fiery Weapon enchant. -)	i wonder what blizzard is thinking...	icy enchant .*.*. Frozen mutton yum!
/?quest=7885	Armor Kits	60	40	Both	Item: Darkmoon Faire Prize Ticket 20	World Events	You might not realize this, but running a traveling carnival is costly! Everything wears down so fast it's a wonder we can turn a profit. Because of all those hidden costs, we're always looking for ways to maintain our equipment as cheaply as possible. Our tents, for instance, tear regularly but I've found that leather armor kits make great patches. Can you find and bring me some armor kits? That'll save us a bundle! Do that, and I have a fistful of Darkmoon Faire tickets for you... Rugged Armor Kit (8)	N/A	Chronos	Chronos	For leatherworkers who hope to skill up leatherworking while making a profit a great time to sell the [url=http://classicdb.ch/?item=15564]Rugged Armor Kits[/url] will be when this quest is availbile which is when the [url=http://classicdb.ch/?faction=909]Darkmoon Faire[/url] is around. The price won't be much higher then normal; but they usually well sale faster when there is a person who wants tickets for the faire.	I'm at the Darkmoon Faerie - 1.9 version - it is NOT true that any profession can turn in anything. My engineering priest can only still turn in engineering stuff. EDIT : Okay I take it back. The highest level turn ins are available for anyone. My mage's Enchanting/Tailor, and he can turn in the highest level turn ins for each profession. Yippies! Which means that lower level chars don't get turns in for other professions until you hit a certain level though. Only the highest 'level' turn ins. Edited, Mon Feb 6 06:07:16 2006	Rugged Armor Kits: 2400 Rugged Leather= 480 Rugged Armor Kits= 1200 Tickets (Made by Leatherworking) Thorium Widget's: 1080 Thorium Bar's AND 360 Runecloth= 360 Thorium Widget's = 1200 Ticket's (Made by Engineer's) Dense Grinding Stone: 1920 Dense Stone = 480 Dense Grinding Stone = 1200 Ticket's (Made by Blacksmith's) These are just the main things I am going to turn in, I didn't want to waste my doing the math for all the other ones. These are the correct Number's, So there is no reason to second guess it. Also After 1.9. You do not have to have a certain profession to turn any of these in. The quests are available to ANYONE with ANY profession. -Othilo	[quote]The quests are available to ANYONE with ANY profession.[/quote] Thanks for that info mate. I was getting bored of farming sky shadows in deadwind pass for the plumes, so farming burnin steppes dragons then getting a LW friend to make em would make a welcome change.	N/A
