# Quest Data for World Events - Midsummer
# Generated: 2025-08-18 17:04:14
# Total quests: 13
# Comment scrape timestamp: 2025-08-18 17:56:01

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=9319	A Light in Dark Places	60	50	Alliance	4950 XP | Item: Captured Flame | Item: Burning Blossom 10	World Events	Find and touch the bonfires located within Blackrock Spire, Dire Maul, Scholomance, and Stratholme, then return to the Festival Flamekeeper. Flame of Blackrock Spire Flame of Dire Maul Flame of the Scholomance Flame of the Scholomance	Have you found your way through the dark?	N/A	N/A	Dire Maul fire is after Guard Slip'kik. Stratholme fire is on the Scarlet side, by Timmy! Blackrock Spire fire is on the Lower part, near the Ogre Tribute pile. Scholomance fire is in the Viewing Room.	The Scholomance Flame is located in the Viewing Room Stratholme: Crusader Square LBRS: Urok Doomhowl's event site (5-man this, inaccessible from raiding.) Dire Maul: In the room where you get the Ogre Tannin.	Stealth guide: DM North: From the entrance, walk across the courtyard, avoiding the dogs (which have stealth detection). Hug the wall and walk into the next courtyard, keeping to the right and avoiding patrols with dogs in them. Sneak past the ogre group around the corner, and continue forwards until you reach the plant mobs. Sneak up the ramp and to the middle of the area. Loot the chest for the key, and walk to and through the door at the far north end of the courtyard. Continue down the corridor, into the room beyond and take to the left. Up the ramp, and the flame is just to the left. Be careful of the patrolling Eye, since it will probably see you standing by the flame when it comes past. + All guards can be killed for loot (vendor or Large Brilliant Shards, plus DM books). Just be careful to pull them away from nearby mobs, since they call for help and enrage when reaching low hp. A tailorer or leatherworker may enjoy a Gordok Shackle Key which leads to http://classicdb.ch/?item=18250. Straholme (scarlet): Use the main entrance. Stealth past the first group of mobs to be greeted by a wall of see-through-stealth zombies on an appropriate moment (the zombies move around, some patrol). Hug the left side, and jump over the stairs of the first building. Continue hugging the left wall until the corner, from here walk in the middle between the mob groups, watch out for patrolling Patchwork Horrors and zombies. Walk up the the gate. A druid can run in, pop barkskin and Hurricane the rats, a rogue could do it with a grenade. It's also possible simply to single kill every rat, or start in stealth, pop dash/spring and run through - you get out on the other side before it closes, after which the summoned rats will start patrolling in packs. After the gate, run between the packs up front to the other side (*), turn left and hug the wall. Stealth into the scarlet area and touch the flame. + Hearthsinger Forresten (http://classicdb.ch/?npc=10558) has one of his spawnpoints @ (*). Kill if there/you want. + After touching the fire you might want to massacre the area for possible Righteous Orb(s) or BoE dungeon set 1 pieces. This will also spawn Timmy(!). Scholomance: After entering, immediately jump down to the left, hugging the wall. Open the Iron Gate (kicks you out of stealth, make sure the patrols are heading away from you or are far away). Restealth, walk over to the doorway to the left and into The Great Ossuary. Jump down the first hole to the left, sneak across the room to somewhere near the door and wait until the mobs have moved aside enough for you to pull Rattlegore. Kill him, loot the Viewing Room key and sneak back up the stairs and back to the room you first jumped down into. Walk and jump into the corner by the Viewing Room door and open the door. It's possible without pulling the mobs, just stand as far into the corner you can while still reaching the door. Restealth, sneak into the viewing room and touch the flame. + The Scholomance key is probably the hardest (and rarest) of the old dungeon keys to get. It's a far run, but you you can take off your gear and kite a melee mob from Sorrow Hill to the entrance of Scholomance. Druids have the easiest time doing this, use r1 moonfire. Die, ghostrun through the door, ressurect. Or, get help from a keyholder. Blackrock Spire: After entering, sneak across the room to the right, jump down. Head into the corridor (watch out for the patrol) and immediately when you come out on the other side, take right and jump down. Jump down to the next out sticking ledge, and then down onto the floor. Sneak through the 'corridor' of orcs, and then up the area with spiders. Be mindful of the patrols and Mother Smolderweb. When you reach Mother Smolderweb, jump up on the beam and sneak across past the spiders. After you've cleared them, head up to the ogres. Walk through the group, stand on the edge and touch the flame. Enjoy. Silverblood (druid) <Misanthrope> Kazzak-EU	This is soloable by a mage at level 70. Lower Blackrock Spire: This is easy up to Mother Smolderweb. To get to her, run past the first few groups until you enter the main spire. Jump down from the right side of the first platform to reach a walkway that leads to the 'orc alley'. Run past them and blink past the last group before Mother Smolderweb. Here you should use one Invisibility to get past the first spider group, then wait 5 minutes at the upper walkway and use another Invisibility to get past the second group. Run past the ogres and polymorph the closest one to the flame if you have to. Jump down to the walkway you used earlier and teleport out. Dire Maul North: There are some packs of AoEable critters on the opposite side of the first room. Get rid of them and find the spot where the wall has collapsed and there's a big pile of dirt next to it. Pull Guard Mol'dar and run back to the collapsed wall. When he gets close, jump to the pile of dirt and he turns around and tries to find an alternate path to you. Jump back and hit him when he is in range. Jump back to the pile of dirt. Repeat until he's dead and loot the courtyard key from him. Continue to the courtyard, avoiding any patrols and groups. As a rule, caster ogres are easy since you resist most of their spells, so if you have to fight, polymorph a melee ogre and kill the casters first. Use the key and open the courtyard door. Kill the two ogre packs and the AoEable critters before the frost trap. Use Invisibility and run up to the platform where the tannin (and the flame) is. Teleport out. Scarlet Stratholme: Enter through the main entrance. AoE the first pack. Use Invisibility and avoid the ghouls, they can see you. You should barely have time to reach the trapped portcullis on the left. AoE the rats and wait for your Invisibility cooldown. Use an another Invisibility to reach the Crusaders' Square. Wait for your Invisibility cooldown or kill the first two Scarlets to reach the flame. Teleport out. Scholomance: Kill the first few skeletons and the patrols if you need to. Avoid the humanoids, they have a relatively small aggro radius. Keep opening the iron gates and head towards Rattlegore. Polymorph the whelp handlers and AoE the whelps. You should at most be fighting 3-5 whelps at a time. Clear the whole whelp room. Proceed to Rattlegore's room and kill the adds one by one. When both Rattlegore's room and the whelp room are empty, fire at Rattlegore and run up. Head to the furthest pit and keep casting Fireblasts / Ice Lances while Rattlegore tries to catch you. When he does, jump down. Now you have some time for a bandage or an Evocation. When Rattlegore runs back down, blink past him and run back up to the pit. Repeat until Rattlegore is dead. A Water Elemental is handy here, since it can keep firing while you are running. Loot the Viewing Room key from Rattlegore. Open the iron gate leading to the Viewing Room and go back to the entrance of Scholmance. Carefully manouver yourself to the edge of the bridge and fire at one of the magic-immune skeletons next to the door. Since you opened all of the iron gates, he should start running through Scholomance to reach you, along with his buddies. When he does, jump down, open the door with your Viewing Room key and use Invisibility. Touch the flame and teleport out.	This quest is picked up from the Festival Flamekeeper in your favorite capital city. The flamekeeper in Stormwind is in the canal district, between the two entrances to the mage quarter. If you are level 70 you will not be able to see any exclamation point above the NPC's head because the quests are too far below your level.
/?quest=9386	A Light in Dark Places	60	50	Horde	Item: Burning Blossom 10	World Events	Find and touch the bonfires located within Blackrock Spire, Dire Maul, Scholomance, and Stratholme, then speak with the Festival Flamekeeper. Flame of Blackrock Spire Flame of Dire Maul Flame of the Scholomance Flame of the Scholomance	N/A	N/A	N/A	the bonfire is in the corner of the classroom. can't miss seeing it once in the room.	LBRS: Next to the ogre event DM: North next to the trap. Scholo: Past viewing room in room with all non-agro guys that you can talk to. Strat: cant remember.	the bonfire is in Strat Scarlet side,Crusader Square you cant miss it	Hall of Destruction, upper level by the ramp.	Located right by the Urok Pile. Easily stealthed.
/?quest=9339	A Thief's Reward	60	50	Horde	4950 XP | Item: Crown of the Fire Festival	World Events	Return the Flame of Stormwind to (NAME).	N/A	N/A	N/A	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' and your crown	Just to add to this you DO have to complete all 4 cities as of 2.4.2 in order to get the crown.	It wasn't that bad on Horde side doing this either. I just did it on my druid. For both Stormwind and Ironforge it is advised to get to the tram as fast as possible. Dying your way through Ironforge front gates takes a long time. Stormwind was easy when I took the tram. Stormwind you should navigate via the waterway. You shouldn't have too much trouble, plus you can sneak right up and out of sight of the majority of players who are guarding it. I just went from the tram to the nearest water and swam the whole way popping up and taking that flag. Ironforge is straight forward, run and die. It took a lot of times dying to do that. Eventually you get there. I would take the tram and save a lot of deaths that way. There is one or two patrolling guards. They seem to both leave at the same time so it is easy to time it. Darnassus is hard to tell. Sneaking played a big roll in me figuring it out. I snuck on the boat, and then snuck up to the fire. It's outside the town so it should be easy to get to. Hiding beneath the bridge is advisable, but make sure there are no guards walking on it first. Last thing to be noted is that I got 4950exp from each flame I turned in and then another 4950 exp from getting the crown. A nice 20k exp benefit is a fairly good motivator for most people. I hope this saves a few people some trouble. Good Luck to you all. Drajoc 55 Druid Sentinals	Bonfire locations: Alliance: Thunder Bluffhttp://classicdb.ch/?maps=1638:200260 Orgrimmarhttp://classicdb.ch/?maps=1637:408359 Undercityhttp://classicdb.ch/?maps=1497:660361 Horde: Ironforgehttp://classicdb.ch/?maps=1537:624207 Stormwindhttp://classicdb.ch/?maps=1519:387617 Darnassushttp://classicdb.ch/?maps=141:558914	Exodar Map here (For Horde thieves): http://classicdb.ch/?maps=3557:417250
/?quest=9365	A Thief's Reward	60	50	Alliance	4950 XP | Item: Crown of the Fire Festival	World Events	Return the Flame of Stormwind to (NAME).	N/A	N/A	N/A	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' and your crown	Bonfire locations for the Alliance: [url=http://classicdb.ch/?maps=1638:200260]Thunder Bluff[/url] [url=http://classicdb.ch/?maps=1637:408359]Orgrimmar[/url] [url=http://classicdb.ch/?maps=1497:660361]Undercity[/url] (above ground!) [url=http://classicdb.ch/?maps=3487:695429]Silvermoon[/url] Bonfire locations for the Horde: [url=http://classicdb.ch/?maps=1537:624207]Ironforge[/url] [url=http://classicdb.ch/?maps=1519:505722]Stormwind[/url] [url=http://classicdb.ch/?maps=141:558914]Darnassus[/url] [url=http://classicdb.ch/?maps=3557:410240]Exodar[/url]	Just to add to this you DO have to complete all 4 cities as of 2.4.2 in order to get the crown.	For those curious, I did not receive anything special for using the bonfire in Exodar. There doesn't appear to be any new reward for trying to turn in the flame of Exodar or Silvermoon (since you don't even get one) if you'd done the Thief's Reward quest previously. I suppose it is obvious if you do a bit of creative searching (there is no listing for the spells Create Flame of Exodar or Silvermoon, nor items Flame of Exodar/Silvermoon), but perhaps not everyone would think of it.	N/A
/?quest=9332	Stealing Darnassus's Flame	60	50	Horde	4950 XP | Pick: [Elderberry Pie 5, Fire-toasted Bun 5, Midsummer Sausage 5, Toasted Smorc 5] | Item: Burning Blossom 25	World Events	Return the Flame of Darnassus to the Festival Talespinner. Flame of Darnassus Provided Item: Flame of Darnassus	You're practically glowing, <race>. What do you have there?	Flame of Darnassus	Festival Talespinner	The Darnassus flame is around here: http://classicdb.ch/?maps=141:558914 You do not need to enter Darnassus itself, it's outside the entrance	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' ( http://classicdb.ch/?quest=9339 )and your crown	hey if you die you respawn in the auberdine graveyard ouch!	Also note that if you DO happen to die tryin to get the flame that running across the ocean to get to your corpse is a big no no. Doing so will result in your ghost being fatigued and then dying again (yes you die as a ghost) and then leaving you with no choice but to spirit rez I learned the hard way =/	It wasn't that bad on Horde side doing this either. I just did it on my druid. For both Stormwind and Ironforge it is advised to get to the tram as fast as possible. Dying your way through Ironforge front gates takes a long time. Stormwind was easy when I took the tram. Stormwind you should navigate via the waterway. You shouldn't have too much trouble, plus you can sneak right up and out of sight of the majority of players who are guarding it. I just went from the tram to the nearest water and swam the whole way popping up and taking that flag. Ironforge is straight forward, run and die. It took a lot of times dying to do that. Eventually you get there. I would take the tram and save a lot of deaths that way. There is one or two patrolling guards. They seem to both leave at the same time so it is easy to time it. Darnassus is hard to tell. Sneaking played a big roll in me figuring it out. I snuck on the boat, and then snuck up to the fire. It's outside the town so it should be easy to get to. Hiding beneath the bridge is advisable, but make sure there are no guards walking on it first. Last thing to be noted is that I got 4950exp from each flame I turned in and then another 4950 exp from getting the crown. A nice 20k exp benefit is a fairly good motivator for most people. I hope this saves a few people some trouble. Good Luck to you all. Drajoc 55 Druid Sentinals
/?quest=9331	Stealing Ironforge's Flame	60	50	Horde	4950 XP | Pick: [Elderberry Pie 5, Fire-toasted Bun 5, Midsummer Sausage 5, Toasted Smorc 5] | Item: Burning Blossom 25	World Events	Return the Flame of Ironforge to the Festival Talespinner. Flame of Ironforge Provided Item: Flame of Ironforge	You're practically glowing, <race>. What do you have there?	Flame of Ironforge	Festival Talespinner	The flame of Ironforge is here http://classicdb.ch/?maps=1537:642250	The flame is at 60,20 in Ironforge (Hall of Explorers, westish)	The bonfire can be found in The Hall of Explorers.	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' ( http://classicdb.ch/?quest=9339 )and your crown	It wasn't that bad on Horde side doing this either. I just did it on my druid. For both Stormwind and Ironforge it is advised to get to the tram as fast as possible. Dying your way through Ironforge front gates takes a long time. Stormwind was easy when I took the tram. Stormwind you should navigate via the waterway. You shouldn't have too much trouble, plus you can sneak right up and out of sight of the majority of players who are guarding it. I just went from the tram to the nearest water and swam the whole way popping up and taking that flag. Ironforge is straight forward, run and die. It took a lot of times dying to do that. Eventually you get there. I would take the tram and save a lot of deaths that way. There is one or two patrolling guards. They seem to both leave at the same time so it is easy to time it. Darnassus is hard to tell. Sneaking played a big roll in me figuring it out. I snuck on the boat, and then snuck up to the fire. It's outside the town so it should be easy to get to. Hiding beneath the bridge is advisable, but make sure there are no guards walking on it first. Last thing to be noted is that I got 4950exp from each flame I turned in and then another 4950 exp from getting the crown. A nice 20k exp benefit is a fairly good motivator for most people. I hope this saves a few people some trouble. Good Luck to you all. Drajoc 55 Druid Sentinals
/?quest=9324	Stealing Orgrimmar's Flame	60	50	Alliance	4950 XP | Pick: [Elderberry Pie 5, Fire-toasted Bun 5, Midsummer Sausage 5, Toasted Smorc 5] | Item: Burning Blossom 25	World Events	Return the Flame of Orgrimmar to the Festival Loremaster. Flame of Orgrimmar Provided Item: Flame of Orgrimmar	You're practically glowing, <race>. What do you have there?	Flame of Orgrimmar	Festival Loremaster	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' ( http://classicdb.ch/?quest=9339 )and your crown	The bonfire is somewhere here: http://classicdb.ch/?maps=1637:408359	I had trouble with this quest since there is a 5 second period in which you can't get hit with a lot of Horde around. What I found worked best was to go around the back side of the fire and [b]sit on the top of the edge of the tent[/b]. If you're on the edge, you'll be close enough to loot and usually people won't notice you (or at least won't hit you) before you get your item. You'll know you got what you need when you get the 'Flame of Ogrimmar' (which is an item which will give you credit for the quest- it will appear in your inventory).	can a paly loot the flame with bubble?	These coords are a little more accurate: 47, 35 To get there, head right when you enter the city, and follow the road to The Drag. Keep on going. Do not turn off the road; the fire is at the end. You can't miss it ^_^
/?quest=9330	Stealing Stormwind's Flame	60	50	Horde	4950 XP | Pick: [Elderberry Pie 5, Fire-toasted Bun 5, Midsummer Sausage 5, Toasted Smorc 5] | Item: Burning Blossom 25	World Events	Return the Flame of Stormwind to the Festival Talespinner. Flame of Stormwind Provided Item: Flame of Stormwind	You're practically glowing, <race>. What do you have there?	Flame of Stormwind	Festival Talespinner	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' ( http://classicdb.ch/?quest=9339 )and your crown	Tried to do this with about five lvl 70s and me as a lvl 60 during peak hours. Bad choice. It was fun in a morbid way - if you don't mind running across Elwyn Forest every time you die - but it didn't get us any closer to getting the flame, and we just gave up because people were camping at our corpses. Lessons learned? If you want to get the Stormwind Flame (or two of the other three flames that aren't as easy to get as Darnassus), then 1) don't go in a group or attack anything - you'll just attract attention - and 2) go late at night when everyone's asleep and pretty much all that stands between you and the bonfire are some NPCs. You may have to do a little body hopping and of course a PvP player or two may try to genk you, but after you first run back from the graveyard, they'll have had to wait around bored as hell for five or six minutes and just give up. I was able to get the flame after only one death. As for the other cities, Darnassus is easy if you swim up to the shore from the right direction, stealthed or unstealthed - you can make a clean getaway. Ironforge and Exodar are also difficult, but the above advice is the same for them. Thankfully, neither are as quite as popular as Stormwind, so even during peak server times, it's possible to run in with less trouble - possible but not probable.	Don't forget once you looted the flame, 'Flame of stormwind' will accuatly be in your bag, instead of just starting a quest like all other small town's flame does.	If you run into overwhelming odds, ducking into the Stockade can save you a hike back. Of course, they may still be waiting there when you come back out...	N/A
/?quest=9325	Stealing Thunder Bluff's Flame	60	50	Alliance	4950 XP | Pick: [Elderberry Pie 5, Fire-toasted Bun 5, Midsummer Sausage 5, Toasted Smorc 5] | Item: Burning Blossom 25	World Events	Return the Flame of Thunder Bluff to the Festival Loremaster. Flame of Thunder Bluff Provided Item: Flame of Thunder Bluff	You're practically glowing, <race>. What do you have there?	Flame of Thunder Bluff	Festival Loremaster	Did this one with almost no trouble at level 65. 20,26 in the Spirit Rise is correct. Grab a lift up to the city. Be sure to be on your mount. Ride along the left path to the building that leads onto the bridge. Entrance to the building is 36,50 By the time you run across the bridge, you should lose all guard aggro. And there's no more between the bridge and the tent You may encounter opposition at the tent. This was the case for me, but I hid out and waited for them to leave. Afterwards, you can try and run out to the lift, or just find a place to drop. Be sure you have enough health to survive the drop. I didn't, and died at this point. xD If you feel like you're going to die, either because you find player opposition or the NPCs get the better of you, just die near the flame. Rez when it's safe and clear to just snatch the flame, and hearthstone out if you want. (I would've, but mine was charging)	Map: http://classicdb.ch/?maps=1638:200260	This flame is found on The Spirit Rise in Thunderbluff 20x26.	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' ( http://classicdb.ch/?quest=9339 )and your crown	gold
/?quest=9326	Stealing the Undercity's Flame	60	50	Alliance	4950 XP | Pick: [Elderberry Pie 5, Fire-toasted Bun 5, Midsummer Sausage 5, Toasted Smorc 5] | Item: Burning Blossom 25	World Events	Return the Flame of the Undercity to the Festival Loremaster. Flame of the Undercity Provided Item: Flame of the Undercity	You're practically glowing, <race>. What do you have there?	Flame of the Undercity	Festival Loremaster	bonfire camp in Undercity - [url=http://classicdb.ch/?maps=1497:680090]68 , 9[/url] this is [b]not daily[/b] quest	Alliance Complete: http://classicdb.ch/?quest=9324 http://classicdb.ch/?quest=9326 http://classicdb.ch/?quest=9325 Horde Complete: http://classicdb.ch/?quest=9331 http://classicdb.ch/?quest=9330 http://classicdb.ch/?quest=9332 For Either side it is simple, Go to the opposite Faction city and 'loot' a flame from their bonfire. Each flame begins the aforementioned quests. Once all three have been turned in you will Recieve 'A Thief's Reward' ( http://classicdb.ch/?quest=9339 )and your crown	This is at 66,36 just straight ahead as you enter	this was crazy easy... spent almost 2 hours planning... stealth vs. invis potions, swiftness, etc.. walked right in and up to the fire without seeing a single player or mob.. granted it was 5am server time	Easiest of the Horde fires to steal. Didn't even get hit by a guard.
